 	le	cor	harmonise	le	rythme	de	la	danse	</S>
e	0.933829	0.035307	0.00588526	0.00411439	0.0190319	0.00119832	0.000552016	7.21665e-05	1.03963e-05
k	0.0309708	0.937295	0.0118132	0.00346616	0.0136399	0.00120304	0.000694312	0.000383883	0.000534084
o	0.00613436	0.976942	0.00672268	0.00263524	0.00345934	0.00121245	0.000528366	0.00135701	0.00100892
n	0.0105117	0.906456	0.0579785	0.0115055	0.00637997	0.00327221	0.00150643	0.000919103	0.00147022
g	0.149557	0.594401	0.170585	0.0350901	0.00877994	0.0199	0.00324631	0.00380591	0.0146353
á	0.189079	0.678961	0.113823	0.00900725	0.00186356	0.00473437	0.000701546	0.000317176	0.00151303
y	0.22233	0.00877897	0.507589	0.191007	0.0118446	0.0316636	0.0131831	0.000733711	0.0128691
é	0.607748	0.00182395	0.193747	0.0987968	0.00295696	0.0552175	0.00889219	0.0021715	0.028646
e	0.499434	0.00436445	0.202199	0.18995	0.00243896	0.0705949	0.00886968	0.00352106	0.0186275
b	0.0310221	0.0243251	0.0596369	0.141112	0.144461	0.403091	0.126379	0.0146414	0.055331
ώ	0.0103351	0.0158966	0.0215903	0.09197	0.358294	0.26891	0.137221	0.0196381	0.0761449
r	0.0081139	0.0125188	0.0563805	0.0688317	0.433463	0.155226	0.0940945	0.03555	0.135822
ώ	0.010968	0.0082822	0.054053	0.112398	0.0764444	0.363143	0.157525	0.0522893	0.164897
s	0.00988722	0.000296181	0.0175468	0.185908	0.156997	0.166722	0.32443	0.0782946	0.059918
ώ	0.00513117	0.000541933	0.028571	0.0532884	0.0137503	0.255971	0.267656	0.193561	0.18153
b	0.00401705	0.00144752	0.00367942	0.0291505	0.0158639	0.0495776	0.120785	0.696241	0.0792374
v	0.0181354	0.000424442	0.00459467	0.0328201	0.0191134	0.0377217	0.0652444	0.807443	0.0145031
a	0.00182651	7.02578e-05	0.0016312	0.00941844	0.00865852	0.0126938	0.0257448	0.911171	0.0287856
n	0.00216561	3.09619e-05	0.000784812	0.00902737	0.0202048	0.0224615	0.0851336	0.548958	0.311234
g	0.00416553	0.00336699	0.0213033	0.0386485	0.0039019	0.0578839	0.101378	0.529842	0.23951
a	0.00296827	0.00380516	0.00750529	0.0164099	0.00207201	0.0292792	0.0289047	0.678396	0.230659
</S>	0.00769535	0.00105472	0.0129176	0.0289014	0.00386861	0.0496084	0.158729	0.254874	0.482351
