 	au	terme	de	la	saison	des	pluies	il	fait	froid	</S>
o	0.463999	0.286011	0.0886828	0.0299201	0.047246	0.0425131	0.024924	0.00957985	0.0063401	0.000204324	0.000579834
n	0.0509442	0.880306	0.031159	0.0134922	0.00649366	0.00385438	0.000831079	0.00140345	0.00339389	0.0057504	0.00237169
d	0.00831489	0.898228	0.0191578	0.0213376	0.0208129	0.0101192	0.00418331	0.00279952	0.00623288	0.00458058	0.00423319
i	0.0394624	0.902908	0.00812276	0.0128558	0.0167753	0.00546128	0.00110257	0.00106439	0.00054046	0.000425161	0.0112815
e	0.100015	0.461014	0.137625	0.0960641	0.137294	0.0370203	0.00572564	0.00520873	0.00394832	0.000290402	0.0157945
m	0.0581371	0.0256702	0.483399	0.138873	0.162438	0.067648	0.0255918	0.0133161	0.0115574	0.00116667	0.0122026
á	0.27557	0.0186171	0.0788803	0.122786	0.159412	0.169623	0.0983007	0.0494708	0.0132383	0.000323527	0.0137771
p	0.178727	0.0256759	0.0742669	0.143204	0.186971	0.197907	0.120208	0.0329789	0.0127014	0.00274016	0.0246204
f	0.0141407	0.00550873	0.0347013	0.175554	0.198296	0.179529	0.218493	0.0940386	0.0135533	0.0563875	0.00979773
á	0.0128361	0.00391957	0.0192508	0.146642	0.183925	0.171654	0.346947	0.0888593	0.00730312	0.0114295	0.00723296
á	0.00145925	0.0012151	0.0251695	0.132494	0.132979	0.177757	0.286104	0.129751	0.0166154	0.0308158	0.0656397
n	0.00819317	0.00153007	0.0501335	0.0778721	0.0678848	0.19089	0.211797	0.235495	0.128445	0.00403649	0.0237224
g	0.049868	0.0634913	0.0595126	0.0966652	0.126356	0.27003	0.0510814	0.122364	0.0801571	0.000697797	0.0797764
e	0.0106437	0.0421902	0.0465939	0.148397	0.185722	0.235118	0.0617252	0.134243	0.0805981	0.00333019	0.0514385
ó	0.00553228	0.00936306	0.0681261	0.087067	0.155225	0.210422	0.0699674	0.191723	0.132107	0.0104368	0.060031
d	0.00463844	0.00262937	0.0141538	0.0302714	0.0209088	0.0477128	0.054035	0.261858	0.340384	0.124104	0.0993045
í	0.00508584	0.00157331	0.00519897	0.0312596	0.0155178	0.0465074	0.0200903	0.0963357	0.148478	0.0869348	0.543018
l	0.017965	0.00157076	0.0204603	0.0331677	0.0281053	0.0437978	0.0337198	0.0704562	0.252772	0.356924	0.141061
a	0.00106193	0.00031921	0.00509823	0.0132316	0.00811288	0.0123909	0.0091177	0.0869928	0.198415	0.21845	0.44681
p	0.00133956	0.000583351	0.00287249	0.00526137	0.00645431	0.0100901	0.00823322	0.0394631	0.0848709	0.62759	0.213241
y	0.000105036	0.000159268	0.00084349	0.0025674	0.00177851	0.00149375	0.00434234	0.0126604	0.0223638	0.927187	0.0264989
é	0.000371217	0.00012155	0.000487138	0.00159965	0.00182694	0.00135859	0.00509819	0.00915273	0.0193841	0.923733	0.0368672
b	8.93951e-06	1.43403e-05	0.000202386	0.000622908	0.000660367	0.000639832	0.00215158	0.00551401	0.025365	0.884842	0.0799786
h	0.000472875	0.000147573	0.00322434	0.00795022	0.0130863	0.00884284	0.0279351	0.0443457	0.0960952	0.575308	0.222592
i	0.0028025	0.00171406	0.00740205	0.0207813	0.043098	0.0193939	0.0546486	0.041635	0.0673728	0.354252	0.3869
</S>	0.00185139	0.00141829	0.0081292	0.011639	0.0227943	0.016623	0.0222269	0.0291437	0.136369	0.204502	0.545304
