 	le	singe	se	balançait	au-dessus	du	chemin	</S>
k	0.443101	0.531992	0.0218582	0.00111773	0.00103835	0.00061104	0.000254257	2.71068e-05
y	0.102076	0.856376	0.0213279	0.00994732	0.00481779	0.00243092	0.00252296	0.000501219
é	0.0270618	0.965066	0.00359563	0.00225171	0.000485469	0.000142874	0.00110645	0.000289813
m	0.160591	0.552906	0.0418408	0.0231751	0.0258506	0.0139686	0.0426197	0.139048
a	0.146063	0.774888	0.0605334	0.00934035	0.00190791	0.00113141	0.000673566	0.00546293
b	0.0782118	0.131991	0.512253	0.0806834	0.0215239	0.0157799	0.00403523	0.155521
ó	0.168665	0.0646451	0.524919	0.138595	0.0106382	0.0482698	0.00217752	0.0420911
l	0.388861	0.026205	0.436509	0.0696276	0.0132312	0.02314	0.00467501	0.0377512
á	0.0814211	0.0104743	0.203817	0.0573104	0.0478381	0.0523642	0.00208795	0.544687
a	0.338496	0.0241291	0.385631	0.123992	0.0382137	0.0282036	0.00419448	0.0571405
l	0.0428312	0.0510137	0.243937	0.554659	0.0791577	0.00681767	0.0109563	0.0106277
y	0.028326	0.0393711	0.121408	0.616688	0.157136	0.00904939	0.0030634	0.0249577
έ	0.0476854	0.0892749	0.0583816	0.54517	0.221865	0.00605654	0.0123753	0.0191906
έ	0.0430228	0.0116891	0.167895	0.389477	0.18931	0.0871206	0.0076336	0.103852
m	0.0408112	0.00607022	0.301602	0.340245	0.170744	0.0759667	0.0123552	0.0522067
έ	0.0201762	0.0140909	0.274137	0.322217	0.0725412	0.221065	0.00437167	0.0714016
i	0.00940366	0.00147239	0.0828258	0.267025	0.423321	0.168417	0.0220741	0.0254604
k	0.0048734	0.00304784	0.0146832	0.107605	0.626472	0.0610994	0.163619	0.0186001
o	0.00170895	0.0042189	0.0111017	0.105729	0.481492	0.0114212	0.375068	0.00925955
ó	0.000942648	0.00534623	0.013788	0.192936	0.513089	0.0188141	0.248691	0.00639268
l	0.0101276	0.00108919	0.0162425	0.012178	0.239934	0.47255	0.0317547	0.216125
á	0.0128358	0.00137847	0.0163601	0.0390913	0.112066	0.13818	0.0300978	0.64999
k	0.0288777	0.0084412	0.0839001	0.0406783	0.072977	0.256563	0.404269	0.104295
ó	0.000232589	0.00210318	0.00632247	0.0105277	0.0328771	0.0126649	0.928316	0.00695607
ó	0.000128028	0.000401165	0.00169019	0.0187679	0.0440111	0.00854768	0.911493	0.0149608
</S>	0.00370153	0.00138235	0.0198916	0.0212985	0.0360498	0.183364	0.0708911	0.663421
