 	l'	eau	rend	la	machette	moins	tranchante	</S>
m	0.90507	0.0857828	0.00162299	0.00635473	0.000669654	0.00045158	1.98746e-05	2.85523e-05
á	0.0206399	0.95918	0.00992857	0.00377363	0.00105367	0.000461499	5.05341e-05	0.00491245
a	0.0292472	0.95906	0.00787854	0.00300773	0.000296767	1.90405e-05	0.000106379	0.000384457
m	0.128415	0.136498	0.399376	0.214418	0.00459739	0.0192439	0.00705352	0.0903984
á	0.0335998	0.909452	0.0417739	0.0127661	0.000436845	0.000157703	1.48942e-05	0.00179881
a	0.146585	0.166044	0.170031	0.415521	0.0322414	0.0169082	0.00785931	0.0448104
t	0.0133563	0.0392076	0.369089	0.418799	0.0842045	0.0189048	0.0195641	0.0368744
ú	0.00570312	0.00858196	0.442936	0.385697	0.0402001	0.0270003	0.0131488	0.0767333
n	0.0347959	0.00941245	0.369334	0.515978	0.0141934	0.00763229	0.00170864	0.0469455
ú	0.0306773	0.0081044	0.296002	0.618459	0.0197846	0.0126627	0.000892741	0.0134174
s	0.0466201	0.00569439	0.100662	0.578981	0.0343132	0.219031	0.00484472	0.00985297
á	0.0268765	0.0179234	0.299499	0.484566	0.0664231	0.0727836	0.00529449	0.0266336
o	0.0461434	0.0207247	0.0207189	0.291335	0.103609	0.449285	0.0533143	0.0148699
k	0.000839172	0.00400946	0.0345672	0.0223489	0.615855	0.0418241	0.255257	0.0252991
w	0.000619213	0.000654622	0.0586	0.0261612	0.639002	0.0170058	0.228362	0.0295955
á	0.000370694	0.000528032	0.104397	0.0489666	0.313447	0.0184843	0.426688	0.0871182
í	0.00531192	0.00180295	0.0140528	0.0266739	0.11365	0.108931	0.587909	0.141669
</S>	0.0086605	0.00390256	0.0216592	0.0305631	0.00810738	0.224831	0.414668	0.287608
