 	il	a	honte	parce	qu'	il	a	volé	</S>
w	0.598882	0.186585	0.09632	0.0441319	0.0525076	0.0162782	0.00474083	0.000352836	0.000201474
a	0.535852	0.13483	0.038688	0.167901	0.0779724	0.0281831	0.014496	0.0012829	0.000794576
a	0.172619	0.247184	0.107467	0.112999	0.188539	0.126158	0.03444	0.00140682	0.00918724
d	0.109253	0.339123	0.293955	0.01497	0.0148573	0.0295089	0.0900054	0.0456594	0.0626677
í	0.0275484	0.418971	0.401905	0.0215749	0.00501807	0.00262098	0.00732799	0.00119372	0.113839
l	0.0139199	0.101932	0.636744	0.0631978	0.013334	0.00610032	0.00673022	0.00652672	0.151515
a	0.0519125	0.0770949	0.449825	0.143095	0.0500383	0.0405006	0.0122409	0.00331935	0.171973
s	0.0566489	0.123473	0.241127	0.347672	0.0850002	0.0496492	0.0137726	0.0027129	0.0799452
ώ	0.0121081	0.179529	0.563902	0.196389	0.00643544	0.00319649	0.00236023	0.00347299	0.0326067
n	0.00536413	0.0583846	0.348061	0.218339	0.0785102	0.0650104	0.0250674	0.00588301	0.19538
i	0.0230227	0.0762007	0.41202	0.252072	0.0689691	0.0107367	0.00218892	0.000674265	0.154116
t	0.0359686	0.0492049	0.30375	0.21178	0.219549	0.124697	0.0275379	0.00535969	0.0221538
s	0.0281581	0.0159069	0.10144	0.533271	0.161525	0.139726	0.00526515	0.00167972	0.0130284
í	0.00261467	0.0135028	0.160588	0.636642	0.0823226	0.0437303	0.00526017	0.00285133	0.052488
n	0.0226187	0.0232059	0.190506	0.443323	0.118878	0.0662995	0.00933184	0.00766603	0.118171
a	0.0356583	0.0106626	0.0658255	0.338584	0.231376	0.0319476	0.0072264	0.0023062	0.276414
á	0.00617127	0.00785364	0.0462466	0.0642237	0.199934	0.379433	0.189461	0.0301917	0.0764854
y	0.00260045	0.0140228	0.0258522	0.00241713	0.00174715	0.00502539	0.138513	0.801429	0.00839369
í	0.00180223	0.00919621	0.0513558	0.0096319	0.00302897	0.00574613	0.094837	0.751996	0.0724057
b	0.000598835	0.00280494	0.0293686	0.0165932	0.00562719	0.00693635	0.0560336	0.800696	0.0813409
h	0.0014874	0.00449842	0.0808635	0.153334	0.0519002	0.0483191	0.0783892	0.509669	0.0715388
i	0.00141326	0.00560233	0.0532158	0.0702266	0.0430014	0.0750872	0.0393425	0.508014	0.204097
</S>	0.00153765	0.00350668	0.0148655	0.0614096	0.0773169	0.0594299	0.0557441	0.145458	0.580732
