 	parmi	tes	dix	femmes	laquelle	sera	baisée	aujourd'	hui	</S>
s	0.571329	0.329797	0.0139336	0.00446971	0.0190808	0.0228197	0.0145889	0.0168256	0.0060961	0.00105966
á	0.154116	0.301301	0.346341	0.12841	0.0190533	0.0180206	0.00982456	0.0186445	0.000199143	0.00409032
b	0.323985	0.429658	0.173305	0.0523496	0.00411464	0.00816722	0.00532715	0.0014809	0.00122447	0.00038871
á	0.246091	0.404245	0.078424	0.0706323	0.0303883	0.135183	0.027179	0.00332685	0.000219617	0.00431059
s	0.215855	0.432881	0.0510618	0.0530519	0.0341134	0.0405523	0.0707799	0.0326339	0.011888	0.0571836
i	0.210447	0.517458	0.0902548	0.04225	0.0184215	0.0510827	0.0190102	0.0104	0.000198833	0.0404764
á	0.270615	0.433901	0.128564	0.0414879	0.0378178	0.02341	0.00775919	0.0144669	0.00104476	0.0409338
n	0.187139	0.248879	0.331244	0.0923748	0.0542201	0.0210081	0.0137329	0.00977253	0.00123125	0.0403978
ω	0.0798058	0.739663	0.123988	0.0304015	0.0052632	0.0133005	0.000754549	0.00142215	2.90683e-05	0.00537201
d	0.0289327	0.226867	0.581208	0.0347097	0.0588677	0.0529419	0.00225078	0.00353223	2.76468e-05	0.0106621
z	0.0133392	0.0154907	0.596929	0.218864	0.0732872	0.0120453	0.0119474	0.00200863	0.000133369	0.0559547
ó	0.0105588	0.00867828	0.75204	0.183837	0.0231915	0.0024232	0.0150187	0.000421907	0.000114132	0.00371671
m	0.0684825	0.0216484	0.257333	0.15008	0.359676	0.0308143	0.0134963	0.00666535	0.000274553	0.0915299
i	0.048333	0.0381304	0.559523	0.182942	0.0958305	0.0418419	0.0240056	0.00259471	0.000136763	0.0066619
b	0.0149051	0.0274759	0.170108	0.147399	0.429087	0.120218	0.0388308	0.01675	0.00371702	0.031509
á	0.0385234	0.0234851	0.0660987	0.109695	0.321125	0.226761	0.187878	0.0156803	0.00209989	0.00865459
o	0.058971	0.0485937	0.0187742	0.0518367	0.245163	0.245842	0.209231	0.044708	0.0393058	0.0375737
k	0.00376865	0.00466509	0.0531032	0.0648821	0.436847	0.30922	0.0942202	0.0134027	0.00483264	0.0150585
w	0.00118276	0.00154618	0.0161391	0.00778565	0.502549	0.309375	0.138458	0.00953932	0.00339215	0.0100319
é	0.0069621	0.00245872	0.0212056	0.00472851	0.334288	0.233312	0.347346	0.0316696	0.00206898	0.0159601
é	0.00197885	0.00096995	0.00658635	0.0103183	0.254929	0.146531	0.402991	0.0500179	0.0578852	0.0677922
m	0.00364413	0.00286048	0.0104506	0.00838703	0.0912981	0.224202	0.299586	0.221317	0.0953143	0.0429397
i	0.00769273	0.00431794	0.0839111	0.0525827	0.0511041	0.0887987	0.492111	0.109748	0.018176	0.0915586
p	0.00562278	0.00784522	0.0131644	0.00976497	0.0623573	0.228056	0.339132	0.193889	0.0513459	0.0888222
á	0.00163606	0.00189836	0.0173291	0.00771467	0.0405801	0.0971401	0.494206	0.110422	0.0987406	0.130333
b	0.00493896	0.00658981	0.010462	0.010631	0.0394573	0.104741	0.204638	0.144141	0.21093	0.263472
h	0.00386389	0.00166744	0.00570102	0.00666823	0.0748117	0.10352	0.229642	0.145299	0.232937	0.19589
a	0.00214728	0.00136071	0.00981373	0.00489683	0.113893	0.217527	0.212118	0.23526	0.0637139	0.139269
y	0.0031706	0.000480319	0.00268945	0.00427162	0.0442698	0.0476286	0.258577	0.246409	0.20753	0.184974
é	0.059024	0.0237173	0.0724901	0.0229936	0.0561529	0.112653	0.186582	0.143991	0.144637	0.177758
a	0.00565064	0.00212803	0.00871472	0.00438287	0.034233	0.170801	0.0616228	0.235236	0.0961448	0.381086
d	0.0128324	0.0051634	0.0151057	0.0168734	0.0453973	0.0491417	0.0328886	0.113527	0.0756354	0.633435
í	0.00392911	0.00355175	0.0267927	0.0347831	0.0174479	0.0114023	0.012648	0.0126824	0.00422412	0.872539
n	0.00322805	0.00136612	0.00139337	0.00165563	0.00686147	0.0104253	0.0189747	0.0703033	0.0425452	0.843247
d	0.0194999	0.0208626	0.0309909	0.0442954	0.0199618	0.0459386	0.015611	0.0903389	0.0222976	0.690203
a	0.0024928	0.0054631	0.0314075	0.0245686	0.0170733	0.0352634	0.0195672	0.0891543	0.0187616	0.756248
</S>	0.00084944	0.000444023	0.0141624	0.00535519	0.0152855	0.0609049	0.0287496	0.0737395	0.00601803	0.794491
