 	dans	ce	village	on	parle	mal	de	ngala	parce	qu'	elle	a	fait	une	bonne	récolte	d'	ignames	</S>
p	0.597604	0.290598	0.0114825	0.0630434	0.00475877	0.00152298	0.00473232	0.000574008	0.0022939	0.00648872	0.000753738	0.000889405	0.000697061	0.00108195	0.0035095	0.00190037	0.00764646	0.000370367	5.2381e-05
o	0.0531898	0.0642719	0.857021	0.011054	0.00513651	0.000734513	0.000159073	0.000239371	0.00299109	0.000679295	0.000520024	0.000549692	0.00114925	0.000627598	0.000382754	0.000272775	0.000181195	0.000543052	0.000296754
o	0.00258383	0.00421625	0.982388	0.0038837	0.00309255	0.000185896	7.50581e-05	0.000133112	0.000430573	0.000472814	0.000417792	0.000285675	0.00046692	0.000454755	0.000257489	0.000101473	4.22209e-05	0.000335928	0.000175486
y	0.141174	0.517765	0.0230584	0.256673	0.00574477	0.0175867	0.00382139	0.000658579	0.00618855	0.00330295	0.00179456	0.00440821	0.00231253	0.00354025	0.0036093	0.00133921	0.00377274	0.000261157	0.0029875
é	0.0722513	0.328413	0.0910783	0.217555	0.0298276	0.0266935	0.0618238	0.0196503	0.0266734	0.0352719	0.0182368	0.00773701	0.00171489	0.00241073	0.00211253	0.014394	0.0197124	0.00891025	0.0155332
b	0.0960105	0.199308	0.0560561	0.245655	0.0318786	0.0649603	0.0519267	0.0943556	0.0208179	0.0276989	0.0093982	0.00668577	0.00326047	0.00572167	0.00234414	0.00615859	0.0194877	0.00391785	0.0543577
á	0.233735	0.237635	0.00315973	0.182502	0.10042	0.0731772	0.0311179	0.00869884	0.0586391	0.0112703	0.00740326	0.00423806	0.00615517	0.00573967	0.0136002	0.013585	0.00589633	0.000812233	0.00221524
a	0.195028	0.316123	0.00614455	0.0739124	0.0460178	0.0461406	0.0224798	0.00978941	0.0785221	0.0257413	0.0344105	0.00609276	0.00569944	0.00307184	0.00409028	0.0283478	0.00990399	0.0689196	0.0195643
y	0.0119114	0.0207483	0.00278024	0.556005	0.213693	0.0778099	0.0117021	0.017038	0.0192934	0.00873925	0.0105791	0.00831929	0.00640485	0.0034561	0.00354591	0.00733894	0.00423816	0.00311292	0.0132841
o	0.0226758	0.0631664	0.0234028	0.140585	0.336622	0.0930524	0.0645035	0.0779072	0.0343977	0.0231598	0.0195902	0.0122896	0.00523838	0.00469686	0.00286319	0.0207337	0.0134146	0.012955	0.0287461
b	0.0167151	0.0214664	0.00286232	0.068177	0.204949	0.31918	0.141722	0.100221	0.0264361	0.0119476	0.00453037	0.00337862	0.00174284	0.00434909	0.00126739	0.0203719	0.00942352	0.00481972	0.0364407
h	0.0473455	0.0674032	0.000852434	0.177437	0.460637	0.0855079	0.0147855	0.0315405	0.0892118	0.00704349	0.00302145	0.00161412	0.00245674	0.00262937	0.00303242	0.00213859	0.000598797	0.000823347	0.00191993
á	0.0238629	0.0303926	0.00343318	0.162526	0.204245	0.239966	0.0294959	0.0151547	0.157511	0.0221459	0.0127798	0.00714191	0.0170243	0.0166682	0.0154188	0.00912642	0.00465985	0.00821456	0.0202333
n	0.001576	0.00621239	0.000464764	0.0566215	0.0874576	0.170961	0.304501	0.0234974	0.0859485	0.0610932	0.0244709	0.00642513	0.00231888	0.00249788	0.00563586	0.0432339	0.0710463	0.0267063	0.0193316
g	0.000752554	0.00336744	1.63175e-05	0.00451198	0.0235985	0.323462	0.147563	0.439295	0.0297264	0.00521945	0.00212799	0.00176629	0.00105737	0.00142883	0.000394393	0.00100452	0.00229419	0.000133655	0.0122794
a	3.48603e-05	0.000171131	9.19161e-06	0.00102795	0.00734308	0.0270571	0.0126393	0.942075	0.00378814	0.00045059	0.000453718	0.000413655	0.00057789	0.000823148	0.000113993	0.000269211	0.000275852	0.000111114	0.00236534
l	0.000450192	0.00190445	0.000266855	0.00673395	0.0272083	0.0747612	0.108663	0.625422	0.0417169	0.0170795	0.00952385	0.0059079	0.00347648	0.00968949	0.00406814	0.0135014	0.0204286	0.00333135	0.0258666
a	0.000569919	0.00442445	0.000782855	0.0274332	0.0965132	0.0542665	0.117307	0.215545	0.225562	0.0815096	0.0635716	0.0103694	0.00428453	0.00496636	0.00672208	0.0277935	0.0338782	0.0167108	0.00778999
m	0.000366348	0.00123348	0.000233917	0.0110341	0.023874	0.028041	0.0684896	0.0227406	0.144623	0.111292	0.0391684	0.0157647	0.0076845	0.020911	0.0520878	0.147338	0.163207	0.118798	0.0231131
í	0.00416613	0.00233905	4.191e-05	0.00200612	0.00313172	0.0414603	0.126985	0.00101378	0.0125412	0.0109206	0.0312407	0.019937	0.00948728	0.00739364	0.0134947	0.299496	0.12651	0.24461	0.0432249
d	0.000481275	0.00118759	0.000304159	0.0094415	0.0293705	0.0302827	0.0237636	0.0141023	0.237428	0.0344165	0.0356151	0.0153094	0.0173794	0.0246077	0.033221	0.10693	0.036628	0.324389	0.0251424
z	0.00113221	0.000588973	7.3956e-05	0.00150062	0.0342867	0.0464008	0.0106582	0.0057957	0.134141	0.0102175	0.00877376	0.0261456	0.0363148	0.032543	0.00502606	0.0651979	0.0297815	0.198749	0.352673
á	0.00161494	0.00178796	0.000708102	0.00108407	0.0238482	0.042511	0.024031	0.0105578	0.0454066	0.01277	0.0179683	0.0169839	0.0175893	0.0239153	0.00255358	0.208571	0.0248795	0.39435	0.128869
á	0.000153022	0.000165784	6.02334e-05	0.00170493	0.00611019	0.0094917	0.00944835	0.000731901	0.0299506	0.0339173	0.0201738	0.0199976	0.0182559	0.0269133	0.0285003	0.0497738	0.0503402	0.481331	0.21298
g	0.000668288	0.00288099	0.000247715	0.0091774	0.0049601	0.0136393	0.0149051	0.0028916	0.034729	0.0784666	0.0593493	0.117724	0.0671195	0.0724992	0.061527	0.035187	0.174172	0.0289221	0.220934
h	0.0018048	0.00175629	3.32983e-05	0.00416542	0.0159634	0.0358499	0.0134828	0.00130893	0.16903	0.047851	0.0244237	0.0451985	0.0419604	0.0325471	0.0147275	0.0155918	0.0440265	0.0295163	0.460762
á	0.000252106	0.000351961	7.44944e-05	0.000974958	0.0140096	0.050835	0.0232553	0.00787455	0.0718202	0.0345445	0.0166476	0.0588431	0.0642471	0.088663	0.0221973	0.0306914	0.0800382	0.0270342	0.407645
</S>	0.000134176	0.000132536	0.000117727	0.000780392	0.00195469	0.00462424	0.0108817	0.000536718	0.0164691	0.0797293	0.0336632	0.0400073	0.0318792	0.0497581	0.0464	0.0580331	0.128167	0.103405	0.393326
