 	il	a	versé	les	arrhes	sur	la	dot	de	sa	femme	</S>
w	0.847401	0.0809598	0.0297306	0.0270369	0.00261544	0.00456761	0.00386506	0.000185181	0.000424967	0.0031721	2.48855e-06	3.85436e-05
a	0.677707	0.145165	0.00419067	0.0802998	0.00408397	0.0484357	0.0166042	0.000644511	0.00102273	0.0215678	0.000238318	4.07529e-05
á	0.12403	0.505259	0.281743	0.0487974	0.00347664	0.0141374	0.00739746	0.00146964	0.00252982	0.00627441	0.00441148	0.000473449
s	0.00560432	0.0811123	0.824442	0.0238803	0.0365412	0.00194739	0.000954397	0.00762996	0.00690815	0.00148956	0.00129298	0.00819723
í	0.000794867	0.0225156	0.927085	0.00587302	0.0178928	0.000536147	0.000326203	0.0028063	0.00463298	0.000686389	0.00192603	0.0149252
í	0.00721388	0.0297321	0.695059	0.0242852	0.0172352	0.00277152	0.00285442	0.00512043	0.029235	0.00616964	0.00320415	0.177119
s	0.0333635	0.114598	0.215561	0.573552	0.0120334	0.0123055	0.00667634	0.00309738	0.00599814	0.00939377	0.00365429	0.00976638
i	0.0114285	0.0849589	0.219452	0.254593	0.116344	0.0775241	0.03118	0.0055518	0.0399953	0.119413	0.0197485	0.0198108
e	0.103338	0.0955948	0.0360047	0.426774	0.0438852	0.0904408	0.0742833	0.00772649	0.0122667	0.075234	0.0216822	0.0127698
b	0.00217609	0.00779378	0.0123813	0.118627	0.76986	0.0323031	0.00580244	0.0230884	0.0141	0.000668165	0.00106802	0.0121316
y	0.00230382	0.00562889	0.00498618	0.058886	0.88068	0.027908	0.0035438	0.0100632	0.00316484	0.000202761	0.00109575	0.00153709
é	8.02824e-05	0.00132844	0.0015782	0.0184289	0.952014	0.0149712	0.00211399	0.00164767	0.00414051	0.000111962	0.000147635	0.0034377
m	0.000500236	0.00886443	0.0440856	0.0958633	0.551714	0.0978441	0.0468536	0.010368	0.0481051	0.00724394	0.000324083	0.0882337
b	0.00195106	0.00650818	0.00530428	0.0864767	0.425788	0.335156	0.105494	0.00600128	0.0104031	0.00335437	0.00133017	0.012233
o	0.00182496	0.0042494	0.0116406	0.0698125	0.505232	0.297703	0.0621189	0.00348994	0.0097252	0.000858134	0.000487879	0.0328567
y	0.0068202	0.0210535	0.0539241	0.22329	0.0718428	0.419905	0.131773	0.0372104	0.0145294	0.00326661	0.000302831	0.0160814
