 	la	chambre	du	malade	dégage	l'	odeur	ammoniacale	des	urines	</S>
n	0.33055	0.329934	0.125924	0.152351	0.0069055	0.0305988	0.0222958	0.000304125	0.000723722	0.000230343	0.000183262
d	0.18513	0.806617	0.00426681	0.00225546	2.73937e-05	0.000596014	0.000498075	6.63318e-05	7.49192e-05	0.000448135	1.98061e-05
é	0.0654093	0.93142	0.000763322	0.000395974	0.000155984	0.000219834	0.000371517	0.000475183	1.94452e-05	0.000631313	0.000138277
e	0.219439	0.66819	0.0293143	0.0460484	0.000825692	0.00229053	0.0106544	0.00361128	0.00117664	0.00437077	0.0140792
y	0.0926174	0.0724816	0.635138	0.114808	0.0306326	0.0194643	0.00320589	0.00709344	0.00265763	0.000278323	0.0216235
ó	0.240157	0.0610472	0.293949	0.106615	0.0835689	0.0460335	0.0200155	0.035055	0.0311892	0.00289033	0.0794801
k	0.516552	0.108116	0.0816118	0.131646	0.0544296	0.0217833	0.0326766	0.0138208	0.010214	0.00651503	0.0226343
ω	0.00677319	0.00485605	0.0395183	0.588711	0.211023	0.0155707	0.0934647	0.0267552	0.000377319	0.00974532	0.00320554
n	0.00597358	0.00390728	0.0264718	0.788285	0.113742	0.0169327	0.0380969	0.00386248	0.00025761	0.00087411	0.00159582
í	0.11765	0.174576	0.0678476	0.379522	0.0693327	0.0437369	0.077012	0.032967	0.00141209	0.00459073	0.0313536
é	0.0547994	0.0313463	0.101608	0.0127805	0.119569	0.532816	0.0610699	0.0349647	0.0305888	0.000878861	0.019579
d	0.00772953	0.00497878	0.0637029	0.021027	0.163874	0.385185	0.0882231	0.169827	0.0666932	0.00259443	0.0261658
í	0.00479566	0.00225718	0.0079102	0.000996704	0.0521662	0.344973	0.0869892	0.320614	0.0782199	0.00448641	0.0965914
l	0.00260053	0.000913554	0.00481846	0.00138471	0.0255262	0.177287	0.108318	0.422381	0.151826	0.0131057	0.091839
a	0.00102549	0.000599893	0.00692551	0.000844007	0.0077474	0.0429423	0.0150831	0.662697	0.113892	0.00503005	0.143213
l	0.00233902	0.000381338	0.00101458	0.00130255	0.00559352	0.0214185	0.116945	0.773747	0.0292987	0.0220216	0.0259384
á	0.00181238	0.00061647	0.00124638	0.000733202	0.00509464	0.00811038	0.0175818	0.885617	0.035645	0.0309144	0.0126279
n	0.00147085	0.000345819	0.001815	0.000692439	0.00417733	0.0202817	0.0350698	0.624605	0.170629	0.0764924	0.0644205
g	0.000861991	0.000769753	0.00132586	0.00325282	0.00267014	0.0401548	0.246327	0.513052	0.104081	0.0571622	0.0303432
í	0.000993037	0.00323822	0.00114197	0.00169069	0.000594469	0.017697	0.263955	0.454991	0.068818	0.145789	0.0410915
l	0.00109047	0.000267152	0.0019474	0.00106975	0.00243085	0.0255711	0.0185929	0.235628	0.467278	0.0712291	0.174895
á	0.00447631	0.00126746	0.00328845	0.00147131	0.00930478	0.0219271	0.0321265	0.422817	0.23542	0.184866	0.083036
n	0.00558819	0.000736349	0.00212168	0.00133112	0.00399152	0.0074731	0.0125343	0.0592733	0.235213	0.642222	0.0295153
d	0.00719923	0.00902863	0.000637768	0.000377852	0.00059809	0.00742869	0.0249129	0.0774592	0.0825165	0.698137	0.091704
z	0.00242053	0.0149505	0.00105964	0.000504529	0.00104328	0.00707684	0.0138833	0.0947121	0.105501	0.612146	0.146703
í	7.57919e-05	0.000330415	1.3585e-05	1.61093e-05	7.5528e-05	0.000652523	0.00535901	0.00651021	0.00541131	0.958307	0.0232484
n	0.000107167	0.000229348	9.40611e-05	0.000211092	0.000237132	0.0130185	0.0372337	0.0456087	0.0192414	0.429304	0.454715
y	0.00191873	0.00281917	0.00188285	0.0014834	0.0016067	0.0211008	0.0309097	0.0480691	0.0343212	0.453762	0.402126
ε	0.000224483	0.000490664	0.000211827	0.00015213	0.000344318	0.00401089	0.0150041	0.0200585	0.00774757	0.693526	0.258229
</S>	0.00195768	0.000965555	0.00195679	0.00106454	0.00127415	0.0242571	0.00543381	0.0475455	0.0429027	0.0497577	0.822885
