 	cette	femme	est	venue	contracter	une	dette	auprès	de	moi	</S>
o	0.920057	0.0687496	0.00783685	0.000144104	0.000248471	0.000977808	0.00145966	8.37066e-05	0.000422329	1.60468e-05	4.64295e-06
y	0.0134342	0.981704	0.00195207	0.00153009	0.000943988	0.000225983	9.00992e-05	4.81003e-06	2.83142e-05	3.62796e-05	5.04167e-05
ú	0.964976	0.00957418	0.00685283	0.0135693	0.00206774	0.000793389	0.000200413	2.71207e-05	0.000621649	0.000709194	0.000608439
r	0.877277	0.011971	0.00533422	0.0205953	0.0218219	0.0198548	0.00317504	0.000207828	0.00987425	0.0107199	0.0191686
u	0.894287	0.0247696	0.0182719	0.00151663	0.00780824	0.0281434	0.00667562	0.000306243	0.00339856	0.00905484	0.00576804
w	0.219156	0.232688	0.467257	0.0176614	0.00189041	0.00572962	0.00218091	0.00753769	0.0175963	0.00666	0.021642
ó	0.286951	0.003834	0.185925	0.00866814	0.00420894	0.0736849	0.057231	0.157832	0.0878295	0.03265	0.101186
a	0.00436111	0.00110284	0.892845	0.0265877	0.00338896	0.00683378	0.00144105	0.00340125	0.00682924	0.00112245	0.0520863
y	0.00111799	0.000320893	0.171236	0.705349	0.0757861	0.00876066	0.00566606	0.0112763	0.00222981	0.000681044	0.0175759
ε	0.0680164	0.00172528	0.0457724	0.843764	0.0258673	0.00226881	0.000465546	0.00023624	0.00126374	0.00163934	0.00898119
i	0.0546773	0.00123613	0.136182	0.637484	0.0302795	0.0184009	0.00177962	0.000753875	0.0228641	0.0174314	0.0789111
o	0.0176924	0.0020413	0.400551	0.126892	0.107465	0.0930526	0.0352923	0.0162693	0.0698707	0.0583125	0.0725608
k	0.000505951	0.000688539	0.00642342	0.0727295	0.807553	0.0487271	0.0502651	0.00679205	0.00119417	0.00199502	0.00312586
ó	4.23559e-05	3.6758e-06	0.00160528	0.0223893	0.86302	0.021279	0.0344777	0.0467357	0.00085079	0.000155883	0.00944014
á	0.000157239	7.95095e-06	0.0123521	0.0404264	0.879187	0.0192401	0.0121118	0.0245387	0.00127744	6.37315e-05	0.0106377
m	0.00207469	6.6773e-05	0.0567672	0.0101481	0.0913858	0.515848	0.0728797	0.0637423	0.154396	0.00989436	0.022797
b	0.00857767	0.000475909	0.00140928	0.000157237	0.00252001	0.135187	0.385624	0.0434866	0.0759247	0.157987	0.18865
e	0.0026794	2.96422e-05	0.000274521	6.83077e-05	0.00145778	0.11736	0.709539	0.07158	0.0263824	0.0568936	0.0137355
a	0.000543548	1.59449e-05	0.00239277	0.000383296	0.00488165	0.188865	0.486207	0.265954	0.0235748	0.00406512	0.0231172
m	0.000266403	6.75554e-06	0.0051256	0.000703073	0.00890726	0.244052	0.146503	0.208484	0.296525	0.0190779	0.0703481
b	0.00683864	0.000294621	0.00168649	0.000211793	0.000759644	0.0796748	0.242928	0.0303819	0.130442	0.0790257	0.427757
v	0.000720682	7.23904e-05	5.92708e-05	2.39763e-05	0.000240011	0.0411036	0.853405	0.0282356	0.0174773	0.0410304	0.0176314
á	0.00123074	3.39325e-05	0.000241951	0.000240557	0.00138681	0.0942612	0.53926	0.146965	0.0616476	0.0404893	0.114243
a	0.000789112	4.31286e-06	0.000198162	0.000174618	0.00268753	0.0518057	0.244567	0.360669	0.0488124	0.00767728	0.282615
n	0.000216221	2.30324e-06	0.0030402	0.000276913	0.0016798	0.0571053	0.0547489	0.221851	0.385526	0.0407915	0.234762
g	0.00801161	5.1837e-05	0.0018322	0.000473561	0.00105739	0.0624603	0.028768	0.0109632	0.203541	0.354077	0.328764
á	0.0044382	0.000147334	0.000642619	0.000176773	0.000730346	0.0615728	0.0138561	0.0114179	0.104335	0.700372	0.102311
</S>	0.000479463	7.23552e-06	0.00060325	3.31201e-05	0.000768324	0.0224266	0.0232918	0.0648154	0.528221	0.15779	0.201564
