 	cette	maison	manque	de	gardiens	</S>
n	0.392151	0.58295	0.00793012	0.00658687	0.00963726	0.000744136
d	0.172726	0.826929	3.55711e-05	0.000172501	0.000105313	3.20375e-05
é	0.0132775	0.986335	0.000130631	0.000146118	8.56406e-05	2.48853e-05
e	0.318455	0.662989	0.00387967	0.00281361	0.00206375	0.00979835
y	0.424441	0.246709	0.205417	0.0570014	0.00800438	0.0584276
é	0.57595	0.204451	0.137511	0.0309687	0.00159709	0.0495218
é	0.420503	0.120895	0.279923	0.0664921	0.00715651	0.105031
m	0.0235107	0.0163704	0.763342	0.14786	0.00926378	0.0396535
i	0.0311489	0.00297353	0.328662	0.534254	0.00262785	0.100333
k	0.00488782	0.000641063	0.849788	0.100887	0.00475712	0.0390393
á	0.000708466	5.69983e-05	0.962114	0.0190421	0.00682839	0.0112505
m	0.00962408	0.00549166	0.798052	0.13619	0.0193405	0.0313015
b	0.0469134	0.0047352	0.335384	0.365011	0.0464093	0.201548
á	0.0595651	0.0118076	0.163426	0.142466	0.151502	0.471233
a	0.0698255	0.0227746	0.0725066	0.585749	0.131799	0.117345
k	0.00341597	0.00127467	0.0718448	0.50848	0.377545	0.0374395
y	0.000160984	3.10118e-05	0.0602858	0.047795	0.873682	0.0180448
έ	0.000248599	4.90173e-05	0.0476597	0.0669418	0.796121	0.0889802
έ	0.00321064	0.000189152	0.0284077	0.221847	0.418253	0.328092
l	0.00893994	0.000688409	0.00977234	0.180153	0.451046	0.3494
i	0.0233237	0.00432525	0.0202808	0.185379	0.17345	0.593241
</S>	0.00377405	0.000176908	0.00746985	0.094552	0.0830738	0.810953
