 	la	manière	dont	son	pied	s'	est	gonflé	me	rend	triste	</S>
e	0.283336	0.216853	0.180915	0.0393488	0.0572529	0.0210852	0.0177783	0.0110336	0.00893157	0.0113025	0.00733972	0.144823
f	0.00577926	0.000382339	0.000737938	0.00063148	0.361632	0.00962508	0.0392982	0.552502	0.000699902	0.0196396	0.00873253	0.000339196
ú	0.00114777	0.000668216	0.000293913	0.00183016	0.4383	0.013241	0.00886101	0.498272	0.00220387	0.0243867	0.00441797	0.0063774
ú	0.000559748	0.000334489	5.54651e-05	8.83878e-05	0.271403	0.0137934	0.0131677	0.691795	0.000423862	0.00761565	0.000273557	0.000489544
s	0.266156	0.121729	0.0270298	0.0508317	0.101902	0.0895886	0.0467079	0.0446401	0.0320059	0.0596058	0.0320358	0.127768
ú	0.0835983	0.0137832	0.0235157	0.0354405	0.090722	0.0488674	0.0751842	0.0622009	0.094148	0.119631	0.0912176	0.261691
l	0.278852	0.141347	0.0600766	0.0819164	0.0336829	0.0910382	0.111992	0.0251656	0.0162532	0.0281008	0.0309135	0.100663
ú	0.439331	0.0414679	0.0849973	0.0690305	0.0125397	0.0427905	0.0528556	0.009951	0.0337629	0.0345298	0.036052	0.142692
y	0.0587671	0.0472564	0.0772453	0.0628509	0.191642	0.147764	0.246794	0.0383004	0.0109291	0.0220829	0.00497746	0.0913905
é	0.0719565	0.0390556	0.06163	0.092719	0.342366	0.0736492	0.0594515	0.0383842	0.0575037	0.0799746	0.0170769	0.0662321
é	0.0242307	0.0266873	0.0813391	0.201371	0.285621	0.112372	0.0646789	0.0282216	0.0190516	0.0253363	0.00849942	0.122591
m	0.00338056	0.00113146	0.00438197	0.0259445	0.138343	0.25707	0.441022	0.0436474	0.00956045	0.0234659	0.00497092	0.0470821
i	0.00116988	0.000250794	0.00220806	0.0362559	0.0486528	0.375369	0.472291	0.0172232	0.0260594	0.0117146	0.000852527	0.00795317
f	0.00259432	0.000274854	0.00102146	0.00561387	0.100205	0.11734	0.276747	0.463886	0.00384938	0.0135832	0.000584391	0.0142994
ú	0.00167354	0.00023131	0.00119758	0.0115924	0.181195	0.0702617	0.054531	0.545983	0.0118329	0.078807	0.0033421	0.0393523
ú	0.00277219	0.00020319	0.000830583	0.00530851	0.0950044	0.0202132	0.0334614	0.706434	0.00685437	0.0542187	0.00578226	0.0689175
s	0.00531871	0.00255231	0.0113978	0.16257	0.0449592	0.165444	0.160796	0.211929	0.118612	0.0486662	0.0122026	0.055551
a	0.136473	0.0133464	0.0274089	0.168593	0.0760564	0.0831208	0.0984007	0.0211589	0.161695	0.0482062	0.09221	0.0733311
w	0.00383732	0.00306036	0.0142419	0.348403	0.0145249	0.175144	0.105817	0.0119541	0.265666	0.0211351	0.0174238	0.0187923
a	0.00982607	0.013307	0.0204144	0.530506	0.0616603	0.145447	0.0397297	0.0169845	0.0711285	0.0366613	0.0187937	0.0355418
e	0.0040727	0.00520205	0.00851806	0.221283	0.0266288	0.103637	0.0515171	0.0287593	0.335137	0.107044	0.018152	0.0900489
k	0.00574081	0.00121621	0.00216215	0.00800406	0.0201846	0.0411636	0.0530824	0.254981	0.0760916	0.326451	0.0162339	0.194689
o	0.000423459	0.000489674	0.000126669	0.00265973	0.0301498	0.00655349	0.00692626	0.372193	0.0257018	0.477457	0.0166448	0.0606738
o	0.000383247	0.000128897	4.57461e-05	0.000282186	0.0161614	0.00695464	0.0189578	0.753224	0.0101352	0.147708	0.00490125	0.0411173
y	0.00218456	0.00104565	0.000518103	0.00250601	0.00538436	0.0183018	0.102024	0.0160151	0.207662	0.464581	0.0280966	0.151681
é	0.226242	0.0697588	0.0252559	0.0305786	0.0106118	0.0188628	0.025941	0.00286868	0.217917	0.201573	0.0947821	0.0756085
