 	le	rat	zebré	ressemble	à	la	panthère	</S>
m	0.46191	0.509863	0.00801412	0.00542765	0.00308169	0.0115733	8.15657e-05	4.81421e-05
b	0.139483	0.766138	0.0518559	0.0231409	0.00601543	0.00158493	0.000529738	0.0112525
έ	0.0651587	0.928388	0.00259833	0.000532102	0.000169539	0.00032932	0.00274612	7.80406e-05
n	0.127817	0.84339	0.0113783	0.00223995	0.00330352	0.00113779	0.00109204	0.00964142
d	0.224998	0.73111	0.0185749	0.020703	0.00276665	0.000543014	0.000102247	0.00120272
έ	0.114773	0.821095	0.0302721	0.0191603	0.00409422	0.000679344	0.00169681	0.00822897
a	0.17336	0.131073	0.582931	0.0537901	0.0141434	0.00811923	0.00212493	0.0344576
d	0.249748	0.0602877	0.297584	0.262246	0.0587447	0.0151597	0.00757069	0.0486588
i	0.0337183	0.0143789	0.2884	0.267416	0.172265	0.0108369	0.00406005	0.208924
n	0.0308273	0.00696838	0.182158	0.348643	0.244269	0.0151859	0.000821243	0.171128
d	0.0218527	0.0389746	0.231541	0.284921	0.180791	0.117424	0.0600112	0.0644844
é	0.00620308	0.0247425	0.144142	0.416833	0.133225	0.0771453	0.144422	0.0532873
n	0.0073576	0.00766106	0.1391	0.381039	0.230977	0.13266	0.0340703	0.0671345
g	0.00700233	0.0211806	0.18654	0.407	0.197479	0.0342233	0.0457415	0.100833
é	0.0233004	0.202177	0.0421915	0.300022	0.114073	0.06423	0.24343	0.0105758
y	0.00357037	0.00169339	0.0419861	0.165068	0.325506	0.248896	0.0827231	0.130556
á	0.0163942	0.00353916	0.0455577	0.100351	0.249957	0.431963	0.088741	0.063496
n	0.00445462	0.000776579	0.0118537	0.110457	0.307411	0.354582	0.143424	0.0670414
g	0.00432766	0.00609119	0.00892757	0.0660905	0.286172	0.389834	0.134063	0.104494
w	0.00115782	0.0122547	0.0125102	0.116664	0.270112	0.22384	0.170717	0.192744
ε	0.00144179	0.00462979	0.0220822	0.120988	0.475035	0.0677435	0.131001	0.177078
</S>	0.000341329	0.000401655	0.0103915	0.0986938	0.249215	0.0326237	0.00524136	0.603092
