 	prends	soin	de	l'	enfant	je	vais	puiser	de	l'	eau	</S>
k	0.454209	0.25778	0.138712	0.0994428	0.00907953	0.00844933	0.0107898	0.00274723	0.00761861	0.0100207	0.000500606	0.000650122
y	0.173275	0.714151	0.0704262	0.0137801	0.0010709	0.00470513	0.00922695	0.00383421	0.00668591	0.00225376	0.000354567	0.000236426
έ	0.0482867	0.204519	0.663116	0.026877	0.00782178	0.00648694	0.00904931	0.0126278	0.0135014	0.00158303	0.0022874	0.00384369
é	0.255231	0.28666	0.25797	0.0775778	0.000804238	0.0087878	0.0152444	0.00454553	0.0193135	0.0123787	0.00507691	0.0564106
l	0.148182	0.0686377	0.339846	0.110771	0.00236523	0.0269949	0.0216565	0.0192317	0.0371894	0.0236537	0.00752256	0.193949
έ	0.215214	0.0530782	0.0669665	0.0161901	0.00189811	0.0191967	0.0344203	0.0505859	0.0577239	0.0548126	0.0375569	0.392357
m	0.13222	0.0298871	0.251772	0.186628	0.129256	0.106901	0.0428247	0.0221288	0.0189062	0.0275255	0.00431535	0.0476344
w	0.0838501	0.00747895	0.138162	0.175318	0.204865	0.0366143	0.0804437	0.0682247	0.0264968	0.0100415	0.0249304	0.143575
á	0.00422425	0.00187298	0.0243105	0.0273626	0.880516	0.00570694	0.0133903	0.00916158	0.00634517	0.00105904	0.0190181	0.00703229
n	0.0545738	0.00155398	0.00695154	0.141484	0.751139	0.0217418	0.0072551	0.00144023	0.00202485	0.00275669	0.00438452	0.00469436
a	0.00917078	0.00335184	0.0224352	0.280269	0.63815	0.0264062	0.00472011	0.00192058	0.00117101	0.00190078	0.000687335	0.00981655
n	0.029746	0.0480473	0.217424	0.156331	0.0169937	0.288169	0.114267	0.0649208	0.023874	0.0205028	0.00493965	0.0147851
g	0.0179281	0.0180072	0.0775663	0.157956	0.0530001	0.46418	0.121523	0.0228787	0.00982094	0.0187652	0.00255227	0.0358227
á	0.00496809	0.01324	0.0760766	0.205971	0.0440927	0.472242	0.124616	0.0398665	0.00668344	0.0060691	0.00118853	0.00498602
l	0.0170171	0.00539979	0.116578	0.114837	0.0094029	0.194742	0.28442	0.141221	0.0555339	0.034214	0.00949672	0.017138
í	0.00632346	0.00519714	0.0381987	0.0403197	0.00187727	0.229979	0.261052	0.212577	0.0359309	0.0122849	0.00662098	0.14964
i	0.0146824	0.00481719	0.0967997	0.0672708	0.00482492	0.0817156	0.130642	0.449488	0.090004	0.0255984	0.0160713	0.0180858
d	0.0038559	0.00275923	0.015613	0.00616251	0.00148916	0.01664	0.19597	0.632054	0.0545143	0.00261237	0.0060658	0.0622645
z	0.0050659	0.00239353	0.0621313	0.0229543	0.000119233	0.028277	0.461024	0.244309	0.116497	0.0036585	0.00516667	0.0484043
w	0.00696742	0.00391529	0.0885274	0.0896418	0.00141897	0.0500492	0.585098	0.124732	0.0360385	0.00325937	0.00123243	0.0091195
á	0.0015505	0.000763491	0.0264865	0.0332142	0.00432915	0.0358914	0.16001	0.190864	0.191181	0.0683663	0.0219885	0.265355
o	0.00196875	0.000694584	0.00953295	0.0706009	0.00752645	0.139213	0.0976757	0.211672	0.200261	0.188089	0.0493169	0.0234492
t	0.00482498	0.00832352	0.0161192	0.00393943	0.000331069	0.00586897	0.0519849	0.572491	0.21042	0.0237775	0.0800722	0.0218472
ó	0.00109578	0.00900267	0.0223014	0.000968383	0.00025731	0.00316727	0.0289225	0.581629	0.244322	0.00567363	0.0512546	0.0514049
á	0.000201173	0.00161553	0.00597804	0.00082235	4.59387e-05	0.00257362	0.0152216	0.487836	0.335895	0.0148439	0.0221195	0.112848
m	0.00100453	0.000478076	0.00522135	0.0115452	0.000663205	0.0184329	0.014353	0.0316677	0.145874	0.396156	0.271543	0.103061
á	0.000573255	0.000547607	0.00453786	0.00843666	0.00999794	0.00106117	0.00345293	0.0358176	0.0461251	0.0419119	0.754346	0.0931918
a	0.00154413	0.000480651	0.00867975	0.0137917	0.00049557	0.0136129	0.00935406	0.0230205	0.0690541	0.240731	0.578566	0.0406692
m	0.00113934	0.000314261	0.00356149	0.00180123	0.000284726	0.00193737	0.00896887	0.0297242	0.0993506	0.107845	0.320077	0.424996
í	0.00113865	0.0013776	0.010573	0.010181	0.000833487	0.00140468	0.0126549	0.0491793	0.0944348	0.081065	0.642233	0.0949242
b	0.000893792	0.000332338	0.00406075	0.00582118	0.000156063	0.00395013	0.0175321	0.0563079	0.177566	0.277728	0.318396	0.137255
é	0.00310993	0.00185897	0.0144499	0.0130254	0.000168277	0.016817	0.0135058	0.0384813	0.199496	0.158639	0.388189	0.152259
á	0.000320103	0.000432378	0.00344466	0.00176554	0.000345358	0.00484256	0.00257177	0.0278727	0.115032	0.0687226	0.368097	0.406554
</S>	0.00266807	0.000545456	0.00836215	0.0107748	0.00115897	0.0174626	0.0166708	0.0117808	0.0445816	0.202058	0.168057	0.515881
