 	l'	oiseau	qui	était	dans	cet	arbre	s'	est	envolé	</S>
n	0.322754	0.420557	0.182317	0.00766528	0.00921404	0.00650987	0.040533	0.0073186	0.00206423	0.000173132	0.000894735
y	0.26607	0.683138	0.0435159	0.000360141	0.00177465	0.00323611	0.000886739	0.000623871	0.000198162	0.000167343	2.86379e-05
ω	0.0428621	0.896865	0.0118565	0.00927615	0.00946378	0.0182863	0.00453178	0.00437218	0.00104639	0.000236909	0.0012028
s	0.00868341	0.985155	0.00230307	0.000160627	0.00020393	0.000234551	0.000295325	0.000336552	0.000104547	2.30043e-05	0.0025
í	0.0432079	0.0475767	0.0763816	0.0238136	0.0601212	0.127972	0.0164025	0.0485553	0.0267826	0.00159566	0.527591
y	0.157656	0.00684556	0.716333	0.0363849	0.0301698	0.00695058	0.00678386	0.012969	0.009188	0.000822236	0.0158973
e	0.37794	0.0386549	0.373765	0.048486	0.0357282	0.0588021	0.0100793	0.03054	0.0151184	0.00016363	0.0107231
é	0.476139	0.00803326	0.408032	0.0299656	0.0250537	0.029222	0.00278748	0.00827353	0.00473221	0.000150569	0.0076108
d	0.0122475	0.00194668	0.0633252	0.637189	0.180226	0.0249966	0.00638355	0.0161272	0.021822	0.00340217	0.0323341
z	0.000670365	4.57567e-05	0.00539636	0.691762	0.227393	0.0147579	0.00324479	0.00562326	0.00915931	0.000862435	0.0410852
e	0.0258399	0.000849903	0.075867	0.707431	0.0798403	0.0954803	0.0014225	0.00428673	0.00263974	9.54172e-05	0.00624679
s	0.00134327	8.8988e-05	0.0564808	0.39731	0.284896	0.0393213	0.0370115	0.0212646	0.021254	0.0122071	0.128822
a	0.0128394	0.000298261	0.0339008	0.232389	0.305643	0.238157	0.0666207	0.0481085	0.0114907	7.89483e-05	0.0504728
a	0.00994906	0.000330328	0.0675628	0.148223	0.190776	0.415401	0.0988763	0.0419748	0.00866735	0.00109418	0.0171453
m	0.00168771	0.000757404	0.00814266	0.098148	0.348625	0.199476	0.183315	0.0816678	0.0364519	0.0196939	0.022035
í	0.000991986	0.000214791	0.00549138	0.087208	0.102768	0.376812	0.145432	0.185512	0.0774347	0.000200698	0.0179344
b	0.00527914	0.000540904	0.00885922	0.0455723	0.118631	0.162952	0.37913	0.166563	0.0611875	0.00631609	0.0449687
v	0.00583101	0.000965333	0.00220686	0.00720869	0.0341387	0.0592861	0.710913	0.118934	0.0295668	0.00427736	0.026672
ú	0.00124576	0.000462219	0.00064465	0.00329032	0.0230201	0.0433602	0.802105	0.0670231	0.0143087	0.00396731	0.0405727
a	0.00373958	0.00257811	0.00276001	0.00321038	0.0760007	0.213687	0.564372	0.0653282	0.0134034	0.0363622	0.018558
d	0.00114509	2.00726e-05	0.0103339	0.00550413	0.0655294	0.0453321	0.194724	0.329474	0.263412	0.0345815	0.0499439
í	0.00166768	0.000157541	0.00607678	0.0165183	0.1488	0.11702	0.0508753	0.274289	0.223798	0.00157384	0.159224
á	0.00114464	6.6662e-05	0.00477251	0.0121031	0.0520034	0.0238975	0.0896269	0.200151	0.313308	0.170676	0.13225
m	0.00296342	0.000234364	0.00727646	0.0101265	0.0314249	0.00966629	0.0187487	0.130288	0.566542	0.136359	0.0863697
i	0.000974121	0.000111761	0.00269407	0.0163364	0.0261038	0.0611257	0.025935	0.198951	0.553126	0.00916274	0.105479
s	0.000168257	1.81709e-05	0.000381322	0.00337693	0.0120408	0.0109856	0.0251161	0.0527824	0.327265	0.445915	0.12195
á	0.000232615	9.13154e-05	0.000713657	0.00858799	0.0563461	0.0352822	0.00810457	0.046051	0.301683	0.202691	0.340217
á	0.000528714	1.77611e-05	0.000843343	0.00349436	0.0101397	0.0181455	0.0118821	0.0531055	0.16223	0.233558	0.506055
o	0.00643434	0.000426378	0.0142323	0.0149024	0.0368657	0.0424315	0.0461309	0.127851	0.273097	0.186676	0.250953
f	5.91064e-05	6.16187e-05	0.000392297	0.00117711	0.00554268	0.00157001	0.00234846	0.00348013	0.0318043	0.929657	0.0239069
u	3.18542e-05	0.000120833	0.0012294	0.00254142	0.0163167	0.00495455	0.0046691	0.00571644	0.0316799	0.830732	0.102008
m	4.5551e-05	8.44161e-05	7.63374e-05	0.000119497	0.00414166	0.00504069	0.00302564	0.0020362	0.00881439	0.712895	0.26372
b	0.00687332	0.00354087	0.00288782	0.000413283	0.0357761	0.245701	0.168029	0.105967	0.224741	0.0272823	0.178789
a	0.0744584	0.00141618	0.00343186	0.00135008	0.0334196	0.188378	0.238453	0.0589414	0.0446771	0.120749	0.234727
</S>	0.00573723	0.000462391	0.00942505	0.00215528	0.0128902	0.0118347	0.0291953	0.0679156	0.182681	0.0568421	0.620861
