 	le	manioc	que	tu	as	abondonné	au	feu	est	déjà	trop	cuit	</S>
i	0.534887	0.392054	0.0446178	0.00683141	0.0067611	0.00154162	0.00948608	0.0011046	0.0014389	9.23381e-05	0.00101823	0.000107006	5.98017e-05
k	0.0382036	0.941857	0.00294859	0.000263778	0.00231649	0.009839	0.00140054	0.000353918	0.000529498	0.000766498	0.000416199	0.000621237	0.000483238
ώ	0.0135239	0.975252	0.00356231	0.000549023	0.00114704	0.00243644	0.00192865	4.17733e-05	0.000253402	0.000191051	0.000218772	0.000543335	0.000352734
ώ	0.0387977	0.839601	0.0819578	0.0133404	0.00297864	0.00182186	0.0110899	0.000507651	0.00122354	0.000521995	0.00141124	0.0025667	0.00418117
b	0.417159	0.102296	0.383822	0.0143419	0.0139272	0.013498	0.00993066	0.00334299	0.0125634	0.00197929	0.00273984	0.00123826	0.0231617
í	0.0919967	0.0655471	0.234067	0.0721808	0.0734864	0.0250167	0.0375989	0.00855051	0.0410261	0.00956701	0.0141472	0.02668	0.300135
í	0.0634675	0.034776	0.243306	0.222129	0.197783	0.0467403	0.0198486	0.036749	0.0204383	0.00643233	0.0148398	0.0170146	0.0764752
y	0.00382779	0.00549657	0.0495165	0.0339809	0.160376	0.547335	0.0300702	0.0600835	0.0373471	0.0151841	0.00814362	0.00555534	0.0430838
í	0.00170837	0.000947402	0.0272589	0.0566434	0.0894238	0.772226	0.0133666	0.00270959	0.00385307	0.00947714	0.00612531	0.00194903	0.0143118
í	0.00524993	0.00216186	0.0902388	0.0582467	0.0504563	0.524743	0.0568363	0.0109487	0.0189963	0.0240487	0.0241917	0.00772717	0.126154
n	0.00524165	0.00103416	0.049927	0.223419	0.148324	0.0778016	0.264878	0.19985	0.0150785	0.00361296	0.00435022	0.00158796	0.00489489
ω	0.00982752	0.000992501	0.0276671	0.440021	0.243243	0.13114	0.086827	0.0337014	0.00343347	0.00118555	0.00598733	0.00357978	0.0123934
ó	0.00275423	0.00178536	0.0370845	0.0108706	0.0293908	0.155427	0.639633	0.0360989	0.0438999	0.016927	0.0066606	0.00526829	0.0141996
m	0.00673872	0.00405976	0.00193096	0.000674904	0.0064493	0.0990325	0.51779	0.13995	0.106443	0.0961413	0.00708299	0.00823312	0.00547417
í	0.007485	0.00217122	0.00218237	0.000773809	0.00964229	0.00245137	0.0758331	0.793328	0.0506599	0.034695	0.00103833	0.00219543	0.017544
á	0.00367497	0.00323172	0.00495258	0.00172643	0.00995326	0.013219	0.161908	0.619486	0.0904173	0.0538846	0.00413816	0.0177677	0.0156403
í	0.00117494	0.00229484	0.00729362	0.00694412	0.0241305	0.0584849	0.0414976	0.125649	0.339344	0.279931	0.0649136	0.0172179	0.0311237
m	0.0034783	0.00629152	0.00311764	0.00138699	0.00835361	0.0648465	0.034712	0.0838539	0.175449	0.458827	0.0819099	0.0515983	0.0261761
i	0.00790853	0.00161624	0.00394492	0.000709139	0.00274706	0.00494471	0.0286188	0.100823	0.212311	0.429738	0.121991	0.0404587	0.0441884
s	0.00127165	0.00155064	0.000226786	3.34502e-05	0.000221558	0.0114255	0.0313565	0.0423831	0.133378	0.664696	0.0379815	0.048456	0.0270194
á	0.000304698	0.000503029	0.000182715	0.000137534	0.000514554	0.0320134	0.015147	0.0063091	0.0353222	0.792074	0.0288229	0.0273827	0.0612862
á	0.000648984	5.49719e-05	0.00103654	0.00107883	0.00234104	0.0108098	0.0155912	0.0126106	0.103338	0.477891	0.0789779	0.0534981	0.242122
o	0.00171708	0.000474497	0.0070388	0.0113129	0.0120868	0.0103672	0.046759	0.0477845	0.155791	0.153909	0.449087	0.0852524	0.018419
l	0.000700117	0.00223224	0.000323273	5.28387e-05	0.000340663	0.00652222	0.0165781	0.00847651	0.0553527	0.496313	0.102662	0.236108	0.074339
e	0.00224305	0.00224169	0.00324168	0.000433388	0.00247886	0.0625325	0.0301667	0.00669421	0.0554967	0.449845	0.139453	0.143707	0.101467
a	0.000226256	0.000176298	0.000753378	0.000325113	0.000539395	0.00529847	0.0309766	0.00100715	0.0401595	0.348648	0.0815658	0.0455939	0.44473
</S>	0.00143619	0.000541726	0.0101917	0.00674015	0.00857065	0.00534682	0.0149127	0.00723723	0.0854825	0.0643092	0.403965	0.168981	0.222285
