 	la	trompe	de	l'	éléphant	est	longue	</S>
b	0.455059	0.422426	0.060854	0.0171986	0.0230824	0.0192538	0.000427137	0.00169876
v	0.1355	0.616779	0.0702221	0.0654719	0.0765811	0.0222505	0.0108694	0.00232636
w	0.111393	0.708105	0.032524	0.0811739	0.0547472	0.00250466	0.0036625	0.00588935
ω	0.554149	0.297235	0.0299099	0.0271548	0.0245743	0.00741721	0.00309556	0.0564641
s	0.317987	0.356184	0.114035	0.0355742	0.0191997	0.014465	0.00458998	0.137966
ω	0.360355	0.292686	0.149474	0.0394372	0.0256915	0.0176953	0.00386342	0.110798
b	0.190213	0.201829	0.325884	0.0894195	0.0196412	0.044726	0.0118068	0.116481
á	0.161413	0.230512	0.293584	0.191828	0.0738579	0.0228407	0.00502612	0.020938
n	0.147139	0.183161	0.252628	0.168277	0.134071	0.0234732	0.00529318	0.0859572
d	0.150422	0.0797822	0.22004	0.237447	0.160257	0.0261053	0.00339054	0.122556
z	0.066129	0.035193	0.203535	0.229549	0.33116	0.0289487	0.0158577	0.089628
ω	0.0435896	0.117528	0.155054	0.141989	0.374271	0.0149901	0.04388	0.108698
i	0.0444634	0.0887712	0.160568	0.118896	0.352973	0.0568666	0.098786	0.0786757
ó	0.0402335	0.0219028	0.274617	0.211398	0.108941	0.254595	0.0219371	0.0663754
d	0.0589875	0.0106345	0.118498	0.114958	0.0553715	0.363111	0.197577	0.0808632
í	0.00233182	0.000272287	0.0170158	0.0270799	0.0064851	0.106471	0.0977455	0.742598
o	0.00982388	0.0026172	0.0927537	0.136142	0.0478849	0.272341	0.222525	0.215912
l	0.00540743	0.00618237	0.00660454	0.0121919	0.0173803	0.0261526	0.8443	0.0817811
a	0.00473712	0.00874007	0.00998893	0.0141768	0.0092705	0.0504284	0.79606	0.106598
á	0.000975666	0.00443415	0.0221966	0.0315381	0.0183392	0.0714771	0.370122	0.480917
</S>	0.00579271	0.00439249	0.049069	0.0867025	0.022313	0.240445	0.123751	0.467535
