 	celles-ci	sont	mes	boucles	d'	oreilles	celles-là	sont	à	toi	</S>
m	0.132931	0.702649	0.0681149	0.0459861	0.0193939	0.0133596	0.00140607	0.00827847	0.00690104	9.3522e-05	0.000886278
í	0.0469754	0.166082	0.398305	0.214986	0.0550837	0.0100396	0.00366239	0.024416	0.0370379	0.00232456	0.0410875
m	0.0398293	0.163597	0.137839	0.540101	0.0626387	0.0153079	0.00565226	0.00886726	0.00511004	0.00978769	0.0112691
y	0.00270424	0.0607627	0.101798	0.769574	0.0363093	0.00550514	0.00150496	0.00408085	0.000788777	0.00165242	0.0153196
e	0.00440209	0.0133534	0.032562	0.919467	0.00940541	0.00700252	0.00223078	0.0025679	0.000406319	0.00213884	0.00646408
r	0.0244686	0.0879261	0.114356	0.66414	0.0427248	0.0212976	0.0040121	0.00818907	0.00180205	0.00182097	0.0292631
é	0.116855	0.148882	0.349136	0.328249	0.0164777	0.00335576	0.00394136	0.00275058	0.00137012	0.00132299	0.0276594
m	0.0695521	0.119334	0.360602	0.17376	0.185056	0.0340926	0.0105225	0.0109482	0.00405588	0.000497608	0.0315802
á	0.010497	0.0456095	0.158688	0.400794	0.31299	0.0349691	0.0101007	0.0112218	0.00141785	0.00154865	0.0121634
t	0.00556196	0.0234737	0.396527	0.300686	0.14728	0.0474495	0.0244984	0.0104417	0.00615404	0.0235192	0.0144081
ú	0.00765106	0.0241158	0.0280555	0.52529	0.242604	0.130025	0.0226717	0.00850961	0.000645314	0.0025337	0.00789896
e	0.0113336	0.0133388	0.011316	0.525244	0.27652	0.115525	0.0111723	0.00458724	0.000804976	0.000646419	0.0295118
m	0.00416891	0.0087806	0.0378691	0.0272321	0.482363	0.350595	0.0414921	0.0191588	0.00242295	0.000492522	0.025425
á	0.0100346	0.0663989	0.104664	0.104633	0.29144	0.237681	0.0551656	0.0518607	0.00743647	0.00357321	0.0671138
n	0.00956601	0.0139736	0.0667499	0.02856	0.149976	0.365952	0.283368	0.035218	0.0154409	0.0189259	0.0122695
g	0.00203677	0.0028865	0.0876222	0.00588236	0.013303	0.0118674	0.73442	0.010051	0.0144547	0.106008	0.011468
á	0.0011024	0.00142133	0.144968	0.00979765	0.0171121	0.0107849	0.737293	0.00381552	0.00497144	0.0639472	0.00478616
m	0.00186799	0.00230055	0.00948337	0.0078467	0.119108	0.233572	0.323813	0.151656	0.0952758	0.021091	0.033986
í	0.00203305	0.0224786	0.0218532	0.0183731	0.0423752	0.279298	0.056666	0.160906	0.0392558	0.0178828	0.338879
i	0.00378067	0.00828546	0.0143568	0.00590069	0.0532531	0.200156	0.165243	0.226054	0.0681532	0.150843	0.103973
m	0.00232528	0.00380132	0.00381965	0.00664078	0.0135305	0.126756	0.138555	0.212464	0.044448	0.122158	0.325501
á	0.000774656	0.0157937	0.0220152	0.0191968	0.0392168	0.338423	0.0516404	0.205604	0.0586044	0.068047	0.180685
n	0.00103124	0.00337193	0.0064632	0.00748386	0.022888	0.07249	0.0425592	0.245246	0.12957	0.0998771	0.369019
ω	0.000891507	0.0017258	0.023245	0.00408004	0.00498833	0.0070506	0.195061	0.0759506	0.124835	0.498176	0.0639962
</S>	0.000474632	0.00131449	0.00758128	0.00304321	0.0224635	0.01962	0.19414	0.112379	0.0738815	0.0863492	0.478754
