 	la	belle	famille	m'	implique	dans	des	affaires	que	je	ne	connais	pas	</S>
a	0.330338	0.475979	0.184402	0.00566581	0.000183365	0.000631173	0.000461216	0.000564094	0.000457296	0.000808523	0.000396964	4.05362e-05	3.9238e-05	3.29096e-05
b	0.276013	0.39219	0.152636	0.0126697	0.0897041	0.0146573	0.00705986	0.0015252	0.00160518	0.0137536	0.00731294	0.016018	0.0103021	0.00455274
v	0.166988	0.492942	0.171709	0.0197793	0.0272596	0.0314797	0.0359049	0.00469892	0.00691151	0.0201931	0.00668693	0.00501952	0.00721192	0.00321618
ú	0.0988202	0.599253	0.233625	0.00459703	0.0202684	0.0203289	0.00755003	0.00147202	0.00133202	0.0074028	0.00182178	0.000853986	0.000357493	0.00231752
ε	0.133106	0.708605	0.145398	0.000622633	0.00119854	0.00199013	0.00164821	0.000488366	0.000447119	0.0010622	0.000427669	0.000402814	0.00103449	0.0035681
b	0.0913609	0.0946972	0.48169	0.0504222	0.0261942	0.0501209	0.0145531	0.00963309	0.0116024	0.0109175	0.0296723	0.0143618	0.00372837	0.111046
á	0.0537992	0.121544	0.20686	0.047059	0.0101593	0.0618507	0.11901	0.0899762	0.0706931	0.0547668	0.0523585	0.0161338	0.0120397	0.0837502
a	0.0469459	0.0778116	0.200495	0.451611	0.0345832	0.0267394	0.0260632	0.015822	0.0156294	0.0205447	0.0176884	0.00892066	0.00902051	0.0481255
l	0.00298563	0.00353579	0.0248625	0.0912093	0.809046	0.0337344	0.00700427	0.00204976	0.00138235	0.00313266	0.00336622	0.00643684	0.00118696	0.0100676
á	0.00732634	0.0050267	0.0121239	0.00916908	0.787913	0.0316755	0.0150954	0.00218661	0.00497982	0.0165672	0.00935044	0.0130935	0.00527749	0.0802157
á	0.00224052	0.00355027	0.011609	0.0444996	0.796345	0.0308645	0.00655276	0.00142021	0.00192747	0.0175037	0.00267753	0.00327781	0.00190683	0.0756251
s	0.014566	0.00623541	0.0584202	0.307064	0.0658429	0.375676	0.0495994	0.0355677	0.0238697	0.0179007	0.0186707	0.007118	0.00334007	0.0161296
á	0.0305191	0.0220229	0.0238906	0.0985177	0.151013	0.282203	0.10314	0.0767567	0.0439347	0.0462584	0.0171772	0.00947479	0.0124962	0.0825956
n	0.0091239	0.0117057	0.0426868	0.224393	0.0148563	0.14963	0.184123	0.158769	0.0922745	0.069124	0.0134066	0.00589823	0.0125013	0.0115075
g	0.0199277	0.0463969	0.00929383	0.30816	0.00834382	0.0672232	0.0915515	0.0471936	0.0313417	0.325771	0.00644421	0.000849726	0.00358854	0.0339143
