 	le	vent	a	déraciné	ce	grand	arbre-là	</S>
o	0.913805	0.0554994	0.0213785	0.0010083	0.00388228	0.00408648	0.000307609	3.24476e-05
p	0.00841651	0.975548	0.0119876	0.00318818	0.000129843	0.00012843	0.000356451	0.000244943
a	0.000441099	0.985133	0.000483303	0.0131214	4.96352e-05	7.79922e-05	0.000379476	0.000314357
ε	0.00697097	0.976009	0.00486853	0.0106163	0.000177916	0.000548836	0.000547243	0.000261271
p	0.4068	0.0478931	0.506269	0.0149985	0.00882871	0.00309962	0.000665033	0.0114462
ε	0.382454	0.0892843	0.109684	0.0613456	0.0770067	0.0344743	0.0220626	0.223688
ó	0.126204	0.0390529	0.558932	0.0377635	0.110883	0.0383724	0.0117241	0.0770672
f	0.25807	0.00602369	0.385599	0.13527	0.144528	0.0299027	0.00554807	0.0350584
u	0.0415503	0.00499741	0.225646	0.154381	0.240729	0.230675	0.0353936	0.0666279
l	0.0214494	0.00286004	0.0496443	0.635617	0.189029	0.0388062	0.0122542	0.0503402
u	0.0433582	0.0096261	0.132289	0.316631	0.344308	0.0720922	0.0149833	0.0667114
i	0.0270725	0.000256701	0.0959073	0.0202416	0.666715	0.160596	0.0123906	0.0168203
b	0.0101859	0.00171122	0.0314524	0.0891131	0.220199	0.345886	0.188092	0.113361
v	0.00622763	9.3468e-05	0.00391014	0.0117547	0.0889989	0.53169	0.285423	0.0719022
ú	0.00202067	0.000151774	0.00241714	0.0363738	0.183773	0.613703	0.11774	0.0438204
a	0.00617386	0.000209933	0.00255628	0.089447	0.515748	0.28394	0.0623399	0.0395852
l	0.00761402	0.000117693	0.0166248	0.00817134	0.253602	0.440788	0.148065	0.125017
í	0.0088636	0.000890003	0.00604046	0.00631291	0.0425418	0.115997	0.284389	0.534965
n	0.00893551	0.000412105	0.00401418	0.00397704	0.0763387	0.190609	0.558155	0.157558
έ	0.0032006	6.52263e-05	0.0012574	0.00222446	0.0857166	0.124575	0.648102	0.134859
d	0.000571411	4.35118e-05	0.00227022	0.00107304	0.0759395	0.0892538	0.34519	0.485658
í	0.000393231	2.66562e-05	0.000415129	0.00337163	0.0186289	0.0360417	0.590172	0.350951
i	0.00221928	2.31687e-05	0.00193341	0.00240217	0.0524926	0.0896635	0.282873	0.568393
</S>	0.00519602	0.00051433	0.00570291	0.0151937	0.0236993	0.0599047	0.370203	0.519586
