 	les	soldats	ont	surpris	des	voleurs	dans	la	nuit	</S>
a	0.615485	0.309004	0.0197499	0.0043424	0.0178583	0.0263344	0.00158384	0.00198567	0.00354286	0.000113609
m	0.0516735	0.889708	0.0142008	0.0100117	0.00272108	0.00213051	0.00341213	0.00627348	0.0164725	0.003396
b	0.240833	0.591838	0.079223	0.00988992	0.0227563	0.0300071	0.0075335	0.0019169	2.355e-05	0.0159781
ω	0.0491112	0.849119	0.0174632	0.0157392	0.0378758	0.00870202	0.00826543	0.00415179	0.000120867	0.00945117
r	0.0745105	0.861051	0.0180032	0.0098205	0.0157385	0.00236732	0.00312585	0.00240387	0.000108403	0.0128707
i	0.0726077	0.790972	0.0161862	0.00706543	0.0195185	0.00123559	0.00714711	0.00636355	0.0013478	0.077556
á	0.150567	0.0756906	0.626322	0.0589266	0.0344034	0.0127575	0.0154086	0.00897076	0.00162694	0.0153263
b	0.134736	0.00929961	0.38171	0.290291	0.0356784	0.0119327	0.0479445	0.042965	0.00790851	0.0375339
v	0.053061	0.0366514	0.0843975	0.607551	0.0778585	0.0212	0.0421612	0.0566291	0.0055499	0.0149407
u	0.175104	0.0489604	0.0743109	0.479117	0.111696	0.032527	0.0409229	0.0313064	0.00101593	0.00503917
m	0.102681	0.0209592	0.0773279	0.350222	0.248337	0.0522962	0.0516056	0.0378515	0.00430162	0.0544175
b	0.137763	0.0310908	0.0373568	0.0403717	0.577125	0.132268	0.0224293	0.00992996	0.000205682	0.0114594
u	0.0699649	0.0386126	0.0109678	0.126235	0.667199	0.0288138	0.0158569	0.0111164	0.0022793	0.0289546
s	0.0113302	0.00841217	0.0775064	0.188703	0.402584	0.114568	0.0821563	0.0411221	0.0102332	0.063384
u	0.0479317	0.0233117	0.0276447	0.124533	0.562859	0.00967242	0.0749135	0.0459028	0.00243518	0.0807958
m	0.0188609	0.0022289	0.0683387	0.0770868	0.268376	0.259847	0.165479	0.0917593	0.0224573	0.0255662
í	0.0185055	0.00807206	0.025751	0.0238201	0.42684	0.29789	0.0836246	0.0360436	0.000349398	0.0791031
b	0.00876209	0.00207713	0.0129358	0.0343545	0.12312	0.514381	0.16137	0.0583393	0.0575964	0.0270633
h	0.00774692	0.0114225	0.00782319	0.117669	0.111982	0.529756	0.0521494	0.0278154	0.0780894	0.055547
i	0.0148983	0.0151365	0.00377159	0.201177	0.210255	0.259103	0.0504111	0.0425431	0.0664976	0.136207
l	0.0032153	0.00212725	0.0119547	0.0503413	0.0546957	0.0945135	0.339903	0.210474	0.137298	0.0954775
a	0.00633761	0.00926893	0.0172207	0.0610105	0.050456	0.0312366	0.164049	0.125753	0.163231	0.371437
k	0.00277516	0.00156527	0.0034791	0.0102242	0.0430584	0.0556508	0.161282	0.15242	0.385594	0.183951
ó	0.000901294	0.000921419	0.00175266	0.0415769	0.0109559	0.0104632	0.0610889	0.0412097	0.803559	0.0275705
l	0.000259062	0.00104656	0.000674596	0.0279567	0.0156797	0.0055001	0.0289345	0.0382961	0.814995	0.0666576
i	0.00117543	0.00984535	0.00250635	0.0382662	0.0339717	0.0140548	0.0827296	0.112087	0.608866	0.0964977
</S>	0.00177835	0.00476641	0.00570262	0.00922634	0.0241617	0.0145367	0.12108	0.157749	0.192573	0.468426
