 	ces	chiens	sont	en	train	de	s'	accoupler	</S>
a	0.914826	0.0503144	0.0184231	0.00713054	0.00327815	0.00182881	0.000700415	0.00309697	0.000401816
m	0.729553	0.212929	0.010914	0.00292936	0.00180739	0.00119117	0.00283152	0.0333965	0.00444823
b	0.114242	0.739586	0.0626686	0.0169581	0.027612	0.0088663	0.00367403	0.00157638	0.0248165
v	0.0191262	0.97524	0.00115351	0.00106719	0.00254084	8.15613e-05	0.000253575	0.000454341	8.31614e-05
á	0.0195824	0.972652	0.00212204	0.00301636	0.00168796	6.53713e-05	9.75644e-05	0.000165851	0.000610002
n	0.0785242	0.84123	0.0360446	0.0197713	0.0139301	0.000783184	0.00236521	0.000946986	0.00640419
d	0.28818	0.457346	0.0441914	0.0359114	0.00123525	0.00760978	0.00471251	0.000601759	0.160211
é	0.257107	0.594113	0.0544061	0.0570433	0.00194487	0.00397639	0.00974201	0.000207032	0.0214605
b	0.027978	0.00350708	0.614902	0.102518	0.0146629	0.133647	0.0426285	0.000410985	0.0597447
á	0.203919	0.0185838	0.25469	0.105811	0.0246494	0.150307	0.103367	0.00184041	0.136833
b	0.125638	0.0082165	0.174679	0.261699	0.27694	0.0953349	0.0293248	0.00515911	0.0230087
ó	0.291286	0.0692254	0.158242	0.126685	0.17562	0.113767	0.0377341	0.0177822	0.00965809
b	0.0507208	0.0115297	0.107163	0.368307	0.332398	0.0637485	0.0580946	0.00233814	0.00570019
á	0.216072	0.0202137	0.231631	0.153901	0.0243672	0.225573	0.0645682	0.00733277	0.0563407
a	0.0521876	0.00454542	0.157509	0.200598	0.117325	0.287867	0.122803	0.0328842	0.0242803
l	0.00755369	0.0378919	0.0165665	0.00318026	0.0040244	0.308573	0.331457	0.043221	0.247532
é	0.0039796	0.0352942	0.00448057	0.00115263	0.00328738	0.0989021	0.349217	0.24155	0.262137
a	0.00120604	0.000993574	0.00479666	0.00567203	0.00309472	0.185879	0.370833	0.0252684	0.402257
a	0.00189911	0.000551972	0.0236374	0.00808745	0.000275	0.0554768	0.526148	0.0651496	0.318774
b	0.0101165	0.0109243	0.0176538	0.00608342	0.00124662	0.0234758	0.277227	0.324276	0.328997
i	0.00586639	0.00685515	0.00874763	0.00625444	0.0103032	0.0123416	0.0222742	0.898679	0.0286787
a	0.00343131	0.00430719	0.00366477	0.0012624	0.000519119	0.0224385	0.114993	0.517815	0.331569
</S>	0.0115718	0.00188882	0.0339602	0.0141468	0.00168654	0.0301765	0.306048	0.11354	0.486982
