 	j'	ai	eu	une	intuition	</S>
n	0.938915	0.0367003	0.00432709	0.0103014	0.00956554	0.000190664
g	0.93934	0.0337799	0.0010592	0.00460909	0.0211846	2.69093e-05
á	0.783709	0.161528	0.0096544	0.00659295	0.0383873	0.000128584
o	0.161459	0.322436	0.0843868	0.10109	0.255693	0.074936
l	0.00303086	0.14007	0.798336	0.0186032	0.0268754	0.0130847
ó	0.0063726	0.111335	0.655744	0.0348098	0.169413	0.0223256
n	0.00064469	0.0832653	0.657444	0.219058	0.0374501	0.00213778
g	0.00490232	0.0574898	0.425929	0.273865	0.14315	0.0946636
ó	0.00982416	0.0522369	0.213964	0.247168	0.414708	0.0621001
b	0.0153482	0.053103	0.108992	0.358505	0.263637	0.200414
ó	0.00932314	0.00611886	0.0516979	0.27667	0.203522	0.452667
m	0.0196905	0.0332511	0.0830575	0.155853	0.173687	0.534461
ó	0.000551313	0.00536753	0.0461546	0.241671	0.102621	0.603635
o	0.00135481	0.0104013	0.0375124	0.314892	0.175698	0.460142
k	5.79453e-05	0.00364809	0.0669316	0.157517	0.286458	0.485387
y	1.02084e-05	0.00135666	0.139804	0.142341	0.116304	0.600184
é	0.000152131	0.00478341	0.188894	0.475239	0.104821	0.226111
n	0.000292146	0.00531336	0.124132	0.233643	0.0637172	0.572902
a	0.00019098	0.00205877	0.0455696	0.0653805	0.0905754	0.796225
</S>	0.00990312	0.0319259	0.0579941	0.140748	0.0653244	0.694105
