 	le	feu	que	j'	ai	allumé	dans	la	cuisine	a	tenu	longtemps	</S>
m	0.727825	0.0912921	0.0637057	0.0145098	0.00781087	0.00057069	0.00480144	0.0116714	0.0578352	0.0138045	0.00523671	0.000532345	0.000404213
í	0.0184066	0.951721	0.010651	0.000845833	0.00601187	0.00414441	0.000678151	0.00203899	0.000264927	0.00126348	4.67901e-05	0.000171638	0.00375507
á	0.206536	0.604882	0.0306328	0.00482335	0.0626779	0.0655531	0.00356327	0.00633314	0.00249296	0.00525439	0.000393632	0.00353156	0.00332565
m	0.0810065	0.221231	0.293159	0.153427	0.0721436	0.0108244	0.00868825	0.00682736	0.0017308	0.0058522	0.00443419	0.0204081	0.120268
í	0.0261602	0.893506	0.0298656	0.00153643	0.024789	0.0193593	0.000749467	0.000463127	7.34534e-05	0.00157306	6.12764e-05	8.6132e-05	0.00177644
í	0.0999305	0.247495	0.188786	0.0677336	0.154763	0.0763459	0.0162687	0.021355	0.00840619	0.0265838	0.00806047	0.0173064	0.0669653
p	0.00814977	0.00847942	0.0550296	0.125925	0.340135	0.294669	0.0902295	0.0158193	0.00814106	0.00336753	0.0113929	0.0156411	0.023021
f	0.00304457	0.00142449	0.0184296	0.00408887	0.0419225	0.661803	0.105262	0.0259718	0.0406543	0.00513683	0.00976259	0.0202035	0.062296
u	0.0221041	0.00306207	0.00436604	0.00387168	0.0687315	0.497159	0.295935	0.0299188	0.0511249	0.00163581	0.00914408	0.00390175	0.00904484
r	0.0354446	0.00605815	0.0808557	0.0356816	0.11436	0.159511	0.181658	0.110103	0.173531	0.025814	0.0140206	0.0114077	0.0515539
ú	0.0308098	0.0177918	0.246606	0.0995554	0.167637	0.0643728	0.177767	0.0707522	0.0235775	0.0277825	0.00413518	0.00579129	0.0634223
n	0.00636409	0.00234822	0.219781	0.435079	0.146261	0.0129901	0.0741144	0.0476725	0.011497	0.0205304	0.0185277	0.00201854	0.00281623
g	0.00436088	0.00432641	0.0471118	0.662849	0.179464	0.0112403	0.0169963	0.0431899	0.00959976	0.0123641	0.000700806	0.00136653	0.00643038
á	0.00210368	0.00391687	0.0519952	0.73433	0.148548	0.0124425	0.0110293	0.0229832	0.00424159	0.003854	0.000377546	0.000924744	0.00325401
s	0.00509372	0.00129655	0.0736042	0.0365596	0.0555934	0.035881	0.206992	0.282021	0.115007	0.0722489	0.0999328	0.00688629	0.00888408
á	0.038577	0.00447207	0.0275984	0.0972527	0.0942253	0.0408506	0.200602	0.229016	0.0873896	0.0611671	0.0237378	0.0251932	0.0699189
k	0.0209339	0.00322779	0.0113467	0.0210534	0.0395777	0.0174608	0.0489289	0.248342	0.416352	0.121382	0.0318769	0.0142885	0.00522891
ú	0.000142742	3.27713e-05	0.000156499	9.11487e-05	0.000288105	0.000822108	0.0106579	0.0480171	0.853156	0.00404389	0.0475258	0.0275282	0.00753803
k	0.00214758	0.000132334	0.000381116	0.000378835	0.000922387	0.0010558	0.0120915	0.0417322	0.833944	0.0176837	0.0854574	0.0018798	0.00219353
u	0.00184325	8.41395e-05	0.000497849	9.48002e-05	0.000388587	0.000397084	0.0128579	0.0327998	0.862293	0.0191664	0.0519237	0.0036659	0.013988
í	0.002038	0.000140874	0.00117559	0.000417287	0.00277037	0.0011973	0.0414068	0.113303	0.360382	0.208137	0.231486	0.00456759	0.0329785
p	0.00222241	0.000297232	0.00522356	0.00110252	0.00388945	0.00115151	0.0394273	0.0580036	0.0151384	0.15799	0.505856	0.11294	0.0967577
ώ	0.000212894	3.94749e-05	0.00138763	0.000258655	0.000707775	0.00194609	0.0181697	0.0641915	0.158605	0.031262	0.371037	0.149788	0.202395
r	0.000200187	3.52647e-05	0.00301481	0.00170621	0.00228194	0.0032812	0.0240364	0.107695	0.146882	0.151898	0.366824	0.0770473	0.115098
i	0.000268071	0.000247846	0.0052308	0.00167905	0.00203043	0.00522993	0.0410782	0.138106	0.257516	0.126766	0.180881	0.141163	0.0998044
</S>	0.0045114	0.000963134	0.0236945	0.0129593	0.0139667	0.00102392	0.0137078	0.0501613	0.0133707	0.304905	0.234175	0.14358	0.182982
