 	cet	étang	est	profond	</S>
e	0.898562	0.0813126	0.0160441	0.00254672	0.00153463
t	0.201869	0.777425	0.00948195	0.010615	0.000609545
ó	0.0441859	0.918449	0.006398	0.0283792	0.0025882
n	0.0256602	0.94772	0.00401054	0.00967078	0.0129389
g	0.428439	0.488461	0.0160738	0.0453832	0.021643
o	0.112836	0.871774	0.0029485	0.0022039	0.0102372
y	0.328826	0.259815	0.368557	0.00587762	0.0369249
é	0.882992	0.0389687	0.0650502	0.00350708	0.00948209
é	0.797352	0.0293734	0.128245	0.0102445	0.0347857
d	0.297312	0.0180912	0.462231	0.135912	0.0864545
í	0.01967	0.000217971	0.106845	0.0849656	0.788302
l	0.0501683	0.00153849	0.263867	0.502117	0.182309
i	0.00680322	0.00179302	0.124362	0.384229	0.482813
l	0.00827925	0.00595603	0.0710354	0.711838	0.202891
ω	0.00894791	0.00423532	0.0279944	0.835306	0.123516
b	0.00376741	0.00574688	0.137003	0.710852	0.14263
h	0.0703564	0.00311872	0.278458	0.53223	0.115837
í	0.00270231	0.002693	0.0706851	0.694643	0.229276
</S>	0.0036814	0.0053321	0.0902911	0.330009	0.570686
