 	il	tomba	en	bas	de	l'	arbre	</S>
w	0.953844	0.0277681	0.00762887	0.00421641	0.00254687	0.00256723	0.00111909	0.000309878
a	0.887836	0.00818502	0.0181709	0.0261976	0.0113844	0.0266865	0.0213493	0.000189908
a	0.551989	0.19617	0.118313	0.0350079	0.0223226	0.0223128	0.00327681	0.0506074
b	0.0885387	0.288509	0.314346	0.222793	0.0308249	0.0223926	0.00492979	0.027665
v	0.0340297	0.59209	0.21664	0.111671	0.0214929	0.00517427	0.00314705	0.0157558
e	0.0441168	0.683377	0.199881	0.059797	0.00787194	0.00137766	0.00183607	0.00174312
m	0.0151206	0.141669	0.313807	0.208647	0.161458	0.028314	0.0170153	0.113969
ó	0.044766	0.255842	0.35171	0.196834	0.0730037	0.0233636	0.00409417	0.0503871
t	0.0604842	0.0781404	0.206292	0.470116	0.106484	0.0359755	0.0203645	0.0221439
s	0.0319628	0.0331482	0.184505	0.548582	0.125258	0.0186719	0.0280258	0.0298459
í	0.00107197	0.0116601	0.132901	0.401225	0.308511	0.0576932	0.0703664	0.0165714
n	0.00976068	0.0426013	0.108932	0.407648	0.185476	0.034686	0.0668527	0.144043
a	0.0164102	0.0197106	0.0736584	0.129676	0.278288	0.10274	0.0599647	0.319552
y	0.0135483	0.0238658	0.101783	0.140887	0.361745	0.215388	0.0283801	0.114403
á	0.0373777	0.00476864	0.0346673	0.072367	0.274141	0.366431	0.0727691	0.137478
i	0.0286227	0.00219725	0.0133438	0.0290898	0.110578	0.294624	0.478336	0.0432083
b	0.00225003	0.0057234	0.00837264	0.0112358	0.0331436	0.112206	0.766221	0.060848
v	0.0071322	0.00961514	0.0194048	0.0219286	0.0252063	0.0655551	0.841959	0.00919845
ú	0.000542406	0.00209401	0.0071181	0.00782976	0.0133129	0.0266415	0.931067	0.0113946
a	0.0010451	0.000211828	0.00292516	0.00509048	0.0477441	0.16772	0.456383	0.31888
</S>	0.00140722	0.00358433	0.0113136	0.00819697	0.0776872	0.197125	0.244538	0.456148
