 	tiens	ce	livre	</S>
p	0.932508	0.0434609	0.0238268	0.000204116
i	0.933164	0.0052092	0.0612686	0.000358045
á	0.871945	0.0309193	0.0251111	0.0720244
l	0.0680897	0.291954	0.117679	0.522278
e	0.0192031	0.130898	0.037477	0.812422
k	0.0303784	0.379767	0.252696	0.337158
á	0.0222302	0.0268676	0.894392	0.0565103
s	0.0103512	0.0302393	0.847991	0.111418
i	0.128414	0.0918046	0.693694	0.0860878
d	0.00216587	0.309586	0.0608056	0.627443
í	0.00104472	0.139167	0.232622	0.627167
</S>	0.00231409	0.274449	0.176306	0.54693
