 	la	poule	mange	le	cafard	</S>
t	0.351241	0.633367	0.0120668	0.00323524	2.40478e-05	6.58982e-05
s	0.0120512	0.987106	0.000437198	0.000260898	3.64915e-05	0.000108018
ó	0.0180958	0.980016	0.000841552	0.000369835	0.000579666	9.65902e-05
s	0.0223723	0.969277	0.00441748	0.000947993	0.000553498	0.00243163
ó	0.262693	0.631228	0.0513637	0.00395668	0.00696109	0.0437974
l	0.255399	0.167121	0.390111	0.127098	0.011365	0.0489066
á	0.118244	0.0230657	0.246279	0.0735032	0.0356605	0.503247
a	0.743083	0.0377936	0.111758	0.0862556	0.0101287	0.0109812
d	0.0210438	0.00515763	0.561969	0.1281	0.274207	0.0095217
z	0.0021067	0.000381349	0.648668	0.172659	0.144682	0.0315024
á	0.0209768	0.00183352	0.552666	0.0829198	0.275621	0.0659827
á	0.0139503	0.00272088	0.106377	0.406662	0.108246	0.362044
p	0.0326652	0.00252531	0.0675692	0.497681	0.267009	0.13255
έ	0.00262751	0.00759723	0.00951758	0.0300972	0.91494	0.0352206
n	0.0296863	0.0143565	0.0636313	0.200457	0.517964	0.173905
d	0.194325	0.023836	0.0350327	0.145634	0.514919	0.0862533
z	0.109572	0.0791348	0.0945165	0.171133	0.3773	0.168344
í	0.0122306	0.0152636	0.0358752	0.0775966	0.276441	0.582593
</S>	0.0151518	0.00139668	0.0208961	0.115853	0.134392	0.712311
