 	il	a	préféré	le	poisson	à	la	viande	</S>
w	0.579392	0.331473	0.0415815	0.0201475	0.00307732	0.0108459	0.00927482	0.00265503	0.00155326
a	0.327504	0.390816	0.0209602	0.0841654	0.0359364	0.0325209	0.069995	0.0372259	0.000875866
á	0.255723	0.398559	0.0922855	0.106943	0.0410773	0.0389121	0.0276729	0.00435574	0.0344711
t	0.0328567	0.301648	0.524657	0.0237244	0.0446128	0.0240579	0.0153405	0.00284823	0.030254
ó	0.00771156	0.0946324	0.710084	0.0588384	0.0339604	0.0272867	0.0111531	0.000648241	0.0556856
n	0.0139633	0.162672	0.665789	0.0902619	0.0175437	0.0223099	0.0105782	0.001332	0.0155506
i	0.0563766	0.137624	0.614575	0.0841594	0.0293545	0.0300552	0.0116987	0.00141537	0.0347417
o	0.260281	0.106778	0.0465009	0.414119	0.0761558	0.0399034	0.030304	0.0143941	0.0115636
d	0.00781349	0.0430563	0.385516	0.224026	0.25813	0.0489576	0.0114894	0.00401344	0.0169972
z	0.000301037	0.012277	0.130568	0.150254	0.568787	0.0494347	0.018619	0.00437068	0.0653897
á	0.0115006	0.0488316	0.211601	0.180934	0.47273	0.0223864	0.00709733	0.00291009	0.0420091
n	0.0145078	0.0189125	0.0249342	0.145458	0.305376	0.184547	0.103364	0.0126921	0.190208
y	0.00418998	0.0263876	0.0403095	0.123726	0.203724	0.147633	0.10197	0.176362	0.175699
a	0.000615318	0.00370109	0.0119215	0.0461426	0.206205	0.135511	0.0974666	0.230402	0.268035
m	0.000354449	0.00286534	0.0118792	0.0888658	0.128442	0.379026	0.227563	0.0252892	0.135715
a	0.00616408	0.00656591	0.00238065	0.0921324	0.0834027	0.157659	0.231052	0.243024	0.177619
m	0.00242609	0.0044319	0.0051794	0.0883939	0.0716924	0.211315	0.220274	0.0970876	0.2992
í	0.00389402	0.0061292	0.00203956	0.0532354	0.108772	0.124728	0.296066	0.139355	0.265781
k	0.00152123	0.00689457	0.00427611	0.0532848	0.0728344	0.16284	0.203911	0.317106	0.177332
i	0.00201494	0.0106652	0.0385853	0.0383204	0.029983	0.303795	0.242201	0.0553424	0.279093
i	0.000370829	0.00135397	0.0123442	0.0281898	0.0222799	0.165173	0.0919185	0.014391	0.663979
s	0.000802846	0.00278335	0.00628012	0.0320444	0.0202133	0.192123	0.27159	0.0956913	0.378472
a	0.00111152	0.00584555	0.0111723	0.0437433	0.0309028	0.121074	0.187035	0.32325	0.275866
o	0.00299544	0.0035059	0.00190787	0.0185289	0.0222434	0.0447407	0.145399	0.172623	0.588056
d	0.000667029	0.0163469	0.101147	0.0848265	0.0843053	0.136721	0.20441	0.0981808	0.273396
z	0.000115557	0.00252129	0.0199643	0.0306831	0.164428	0.0917103	0.15779	0.0846774	0.44811
á	0.00170942	0.00431537	0.0177121	0.0243713	0.341738	0.0506786	0.115454	0.100056	0.343966
a	0.00240708	0.000773284	0.000429924	0.00609601	0.0255806	0.0525537	0.122705	0.0325827	0.756871
l	0.00204975	0.00556538	0.0125325	0.0337079	0.0650641	0.0936317	0.101918	0.223808	0.461723
á	0.00238833	0.0121052	0.0250984	0.0493816	0.0726437	0.13915	0.186938	0.0894977	0.422797
s	0.00244296	0.00408167	0.00326617	0.0300841	0.0245167	0.0540688	0.194129	0.270622	0.416789
w	0.00164377	0.00202975	0.00503778	0.0110129	0.0542796	0.0311131	0.0846322	0.490154	0.320097
é	0.00145942	0.000730821	0.00155771	0.010425	0.0541336	0.0244999	0.0847788	0.423445	0.39897
</S>	0.000148718	0.000276035	0.000791808	0.00627191	0.0100419	0.060099	0.153675	0.124376	0.644319
