 	ma	soeur	m'	a	donné	un	peu	de	poisson	</S>
b	0.209369	0.71956	0.0228186	0.0153351	0.00952547	0.00944801	0.00603864	0.00605825	0.00153678	0.000309745
o	0.117916	0.711793	0.105397	0.0380698	0.00312196	0.00296062	0.00183663	0.00883233	0.00962063	0.000452663
l	0.0240053	0.92062	0.0392753	0.00824283	0.00210929	0.00120059	0.000760367	0.000819557	0.00127932	0.00168728
a	0.225091	0.624965	0.0642519	0.0350741	0.0196262	0.0107375	0.00298511	0.00488285	0.00537706	0.00700959
ó	0.175855	0.275283	0.174976	0.120355	0.0516087	0.0306503	0.0287964	0.0314881	0.0108841	0.100103
p	0.0552556	0.141126	0.0559131	0.42327	0.207716	0.0416619	0.019525	0.0128363	0.00701945	0.035677
έ	0.00258256	0.109432	0.00509604	0.327977	0.385	0.0765157	0.0262494	0.00322751	0.00301725	0.0609024
ε	0.0538732	0.0313035	0.0369142	0.0962106	0.279647	0.130687	0.0633097	0.0202826	0.00666203	0.28111
n	0.0119732	0.00830582	0.223855	0.277204	0.229001	0.106775	0.0646049	0.0568438	0.0090559	0.0123812
g	0.14856	0.0146619	0.610612	0.112008	0.0380852	0.024155	0.0192341	0.0109645	0.00761943	0.0141003
á	0.167272	0.0476549	0.697184	0.0409809	0.0124989	0.0116498	0.00447157	0.00465905	0.00195087	0.0116776
y	0.00323276	0.00487386	0.0329364	0.0809077	0.160396	0.298086	0.194923	0.175241	0.0402938	0.00910915
a	0.0179475	0.0053869	0.0649801	0.12007	0.176411	0.209949	0.199507	0.114517	0.0475309	0.0437015
á	0.0175044	0.0127442	0.0640758	0.0460423	0.0721839	0.192891	0.199665	0.16225	0.153641	0.0790025
s	0.00428704	0.00198995	0.0101183	0.0344209	0.0465296	0.0958049	0.164876	0.314973	0.179094	0.147906
w	0.00541768	0.000838821	0.0102169	0.0229471	0.0325645	0.0534448	0.12279	0.138588	0.256783	0.356409
é	0.00532183	0.000737341	0.0107706	0.0139936	0.0274482	0.0756423	0.173016	0.150539	0.431649	0.110883
</S>	0.00017567	0.00011526	0.0027379	0.0140479	0.0356335	0.0751933	0.134463	0.230952	0.133186	0.373496
