 	cet	homme	a	chanté	un	chant	de	tristesse	</S>
m	0.821488	0.130746	0.0234547	0.00301782	0.0135505	0.00188111	0.00514519	0.000552954	0.000163572
o	0.756881	0.111466	0.0305888	0.00784109	0.0109127	0.00296585	0.00575323	0.0232367	0.0503552
r	0.711864	0.27458	0.00325239	0.00273103	0.00203896	0.00278701	0.000631301	0.000354277	0.00176074
o	0.738024	0.214713	0.00762957	0.00221867	0.0058034	0.00334819	0.00246611	0.0100018	0.0157957
w	0.763034	0.0884423	0.126554	0.00747873	0.00378672	0.000645933	0.00144706	0.000217786	0.00839351
ó	0.337273	0.0379427	0.195313	0.0383654	0.166377	0.0113067	0.139354	0.00757003	0.0664982
á	0.087602	0.0171707	0.498577	0.134678	0.07096	0.00510937	0.0450879	0.0019646	0.13885
y	0.00234718	0.00428824	0.120354	0.70821	0.061996	0.0626148	0.0156929	0.00259778	0.0218995
é	0.000804363	0.000833427	0.0187756	0.957302	0.00755752	0.00946709	0.000738274	0.000723988	0.00379821
m	0.00992609	0.00564572	0.0467254	0.816367	0.0635256	0.027176	0.00813078	0.00534967	0.017154
b	0.0021661	0.00444986	0.082659	0.686636	0.138548	0.0550747	0.0104639	0.0017875	0.0182146
i	0.0279536	0.0121345	0.0407544	0.271448	0.475193	0.0413327	0.0729522	0.0122645	0.0459677
o	0.0187508	0.00529799	0.122353	0.112594	0.544713	0.0391547	0.114139	0.0189447	0.0240516
n	0.000285865	0.00266589	0.00109282	0.0111859	0.0418654	0.894025	0.0240218	0.021929	0.00292821
d	0.000892567	0.00248219	0.00143419	0.0719689	0.0577691	0.79276	0.024155	0.0215933	0.0269444
z	0.000344774	0.00257199	0.000928166	0.0197866	0.0516261	0.836045	0.0365887	0.0286234	0.0234852
é	0.00185983	0.0149225	0.00430949	0.019148	0.039381	0.77515	0.0299951	0.0151722	0.100062
m	0.00649466	0.0185917	0.0113872	0.0187388	0.0522253	0.623544	0.131345	0.0111679	0.126506
b	0.038961	0.00769785	0.00749783	0.00400878	0.0961699	0.180102	0.364762	0.0311393	0.269661
é	0.0191091	0.0159807	0.00313825	0.00265526	0.154367	0.24702	0.191968	0.047682	0.318081
m	0.000231671	0.000307145	0.00901663	0.00298901	0.0296118	0.0520031	0.446434	0.0160001	0.443406
á	0.0770184	0.0184701	0.0305299	0.0008371	0.0419028	0.0404502	0.512742	0.0348404	0.243209
n	0.00178798	0.000413272	0.00518577	0.00600352	0.0152798	0.0147692	0.215449	0.667831	0.0732797
y	4.0561e-05	1.73688e-05	2.40352e-05	0.0010779	0.000408057	0.000683693	0.00419619	0.970021	0.0235312
i	4.01476e-05	2.71326e-05	2.83838e-05	0.00167136	0.000305271	0.000655178	0.00219886	0.985076	0.00999722
n	1.58296e-05	9.16776e-05	2.77482e-05	0.0020647	0.00105469	0.0118437	0.0212077	0.89926	0.064434
g	0.000385923	0.00143295	0.000611189	0.00128305	0.00513792	0.0159392	0.163496	0.160605	0.651109
a	0.000234234	0.000631189	0.000559806	0.00451002	0.0226239	0.0161215	0.0788034	0.29215	0.584366
</S>	0.00130525	0.0016496	0.00486235	0.00101472	0.0104716	0.00319517	0.138202	0.0797682	0.759531
