 	le	soleil	brille	beaucoup	</S>
m	0.694761	0.268733	0.0325731	0.0030906	0.000842415
w	0.0920215	0.722237	0.0865597	0.00773778	0.0914436
é	0.0239771	0.973257	0.00106499	0.000702768	0.000997889
s	0.373112	0.543707	0.0215432	0.00144809	0.0601898
é	0.292896	0.544668	0.0624049	0.0119068	0.0881252
m	0.668658	0.0946404	0.181913	0.0119204	0.0428684
ó	0.430752	0.269638	0.20541	0.0367846	0.0574155
o	0.393181	0.308358	0.18467	0.0385476	0.075244
b	0.0851992	0.0807004	0.555802	0.159607	0.118691
á	0.0586342	0.117535	0.338275	0.248932	0.236624
l	0.008086	0.0426723	0.101402	0.0660457	0.781794
á	0.0569515	0.0554831	0.355911	0.241253	0.290402
o	0.0247404	0.0606733	0.461046	0.290885	0.162655
y	0.00378352	0.00394969	0.0681139	0.633723	0.29043
í	0.00651911	0.00871023	0.137838	0.40014	0.446792
í	0.0023105	0.00464169	0.104429	0.201576	0.687043
</S>	0.00306785	0.00278508	0.0711444	0.237044	0.685959
