 	l'	oncle	m'	a	promis	de	l'	argent	</S>
n	0.964073	0.0264935	0.00447766	0.00220439	0.00154308	0.000457035	0.000691545	4.95507e-05	9.9582e-06
g	0.642189	0.322683	0.0340754	0.000864502	3.18163e-05	2.79199e-05	0.000115539	1.15853e-05	7.06344e-07
ó	0.413626	0.429206	0.139996	0.0113792	0.000952284	0.000772693	0.00144967	0.00253614	8.20022e-05
l	0.0396456	0.768126	0.0777818	0.0472021	0.0359598	0.00326918	0.00309858	0.0206487	0.00426875
ó	0.423994	0.286538	0.0939417	0.0345937	0.0102005	0.025604	0.035784	0.0492837	0.0400607
m	0.111099	0.212737	0.516635	0.0987971	0.00956986	0.00884719	0.0139058	0.0114687	0.0169407
i	0.386319	0.150751	0.144331	0.195622	0.051062	0.0122411	0.0150687	0.0149277	0.0296776
á	0.178384	0.0215116	0.464671	0.269042	0.0298268	0.00949803	0.0104571	0.00183653	0.0147725
s	0.0035706	0.00928833	0.164368	0.477398	0.27654	0.0327581	0.00502732	0.000966029	0.0300828
e	0.00430483	0.0115114	0.19739	0.438286	0.316259	0.0179022	0.00338198	0.000228869	0.0107359
r	0.00184074	0.00444243	0.0494202	0.185832	0.6659	0.0551881	0.00595953	0.00281742	0.0285997
i	0.00327123	0.00352995	0.25388	0.455243	0.161098	0.055045	0.0308736	0.00313176	0.0339279
w	0.00348773	0.00176237	0.392495	0.347506	0.0359478	0.0760231	0.113526	0.0174297	0.0118218
á	0.0213678	0.000997259	0.271703	0.22563	0.262307	0.0927142	0.0767532	0.0178548	0.0306725
b	0.0224918	0.00264951	0.476257	0.189202	0.0485321	0.0886016	0.0960759	0.0502799	0.0259095
e	0.00728772	0.00125798	0.0572528	0.076654	0.582807	0.187753	0.0167708	0.0643146	0.00590259
a	0.000955334	0.000682974	0.0656753	0.0905469	0.319298	0.392528	0.0748037	0.023803	0.0317072
b	0.000239463	0.000123804	0.0284979	0.082302	0.0277659	0.489501	0.348051	0.00166041	0.021859
ó	0.00824751	0.000686913	0.04083	0.0751136	0.0660901	0.471144	0.101423	0.00476182	0.231703
k	0.000600677	0.000275962	0.022323	0.0371488	0.00661373	0.180256	0.508655	0.0204269	0.2237
u	0.00018491	5.43693e-05	0.00135801	0.00535367	0.0173501	0.826435	0.0630379	0.000299483	0.0859261
l	0.000328567	0.000150745	0.000863744	0.00740034	0.334538	0.529469	0.0558334	0.0024026	0.0690134
u	0.000658081	5.77763e-05	0.00137104	0.00803294	0.107005	0.386585	0.236684	0.010847	0.248759
</S>	0.000552219	0.000109485	0.00658947	0.0140016	0.00245629	0.0932868	0.452762	0.0386345	0.391607
