 	il	a	fait	une	brûlure	de	cigarette	</S>
w	0.97219	0.0207413	0.00295557	0.00166439	0.000232882	0.00206346	0.000129452	2.26658e-05
a	0.971303	0.0164998	0.00190352	0.00300797	0.000921176	0.00499165	0.00119464	0.000178163
á	0.0569898	0.701108	0.199043	0.031802	0.00147403	0.00444348	0.00129003	0.00384982
m	0.00841685	0.322387	0.440055	0.16828	0.0243653	0.0179182	0.00810787	0.0104697
i	0.00231459	0.0971313	0.217992	0.37212	0.247015	0.0343892	0.0029819	0.026055
t	0.00071246	0.0445393	0.465589	0.364519	0.0735606	0.0134121	0.00924694	0.0284201
u	0.000908851	0.0636288	0.402361	0.434214	0.0289317	0.0133086	0.00552497	0.0511225
m	0.000597995	0.0263585	0.295786	0.585395	0.017799	0.00533077	0.00139306	0.0673402
b	0.00425263	0.0149574	0.102619	0.596222	0.170592	0.0487852	0.00743866	0.0551327
á	0.00384776	0.00820227	0.0328507	0.266793	0.367944	0.195529	0.0266002	0.0982324
i	0.0108135	0.0169175	0.0189143	0.0652135	0.213683	0.440114	0.178863	0.0554816
k	0.000357256	0.000424166	0.00336243	0.0051333	0.00503953	0.048036	0.926635	0.0110123
έ	2.76243e-05	0.000202227	0.00252875	0.00237695	0.000430486	0.0130643	0.973474	0.00789588
έ	6.24859e-05	0.00054126	0.00456405	0.00474632	0.00407371	0.0330992	0.735448	0.217465
</S>	0.000665527	0.00280487	0.0114876	0.0134535	0.0120122	0.136158	0.243812	0.579606
