 	pourquoi	se	larmoie	t-il	</S>
w	0.928712	0.0669803	0.00335472	0.000772224	0.000181177
a	0.924408	0.0637261	0.00502272	0.00423048	0.00261266
l	0.518344	0.442438	0.0112056	0.00748575	0.0205258
á	0.405716	0.355173	0.0304917	0.0252905	0.183329
a	0.467136	0.283651	0.0296111	0.0892359	0.130366
m	0.0152836	0.747683	0.204369	0.0213641	0.0112997
ε	0.0113874	0.432502	0.482357	0.0276887	0.0460658
r	0.00515264	0.250106	0.57167	0.0667589	0.106312
έ	0.0662405	0.368235	0.428625	0.0694007	0.0674993
έ	0.0556241	0.0519818	0.707154	0.138488	0.0467525
m	0.00881919	0.0266201	0.358241	0.554172	0.0521477
ó	0.000761795	0.0082485	0.303281	0.56405	0.123658
n	0.00686048	0.0234693	0.119894	0.772311	0.0774657
d	0.0252485	0.0319475	0.0225769	0.728246	0.191981
e	0.00777574	0.00211169	0.00211315	0.572301	0.415698
</S>	0.00397942	0.0170359	0.0149467	0.374843	0.589195
