 	cet	étang	a	des	têtards	rouges	</S>
e	0.738954	0.245087	0.00814402	0.0017033	0.0057506	0.000306235	5.45715e-05
t	0.105364	0.867521	0.0234699	0.00237519	0.000347666	0.000594217	0.000328455
ó	0.0151696	0.964143	0.00900584	0.00338718	0.00183089	0.00536472	0.0010992
n	0.00446829	0.984773	0.00315848	0.00124004	0.000311888	0.00122202	0.00482596
g	0.174003	0.765865	0.01256	0.0155806	0.00780948	0.0105301	0.0136514
o	0.0993203	0.890235	0.00380882	0.00278442	0.00152822	0.000671902	0.00165102
y	0.18791	0.139549	0.605354	0.0328575	0.00786661	0.00500003	0.0214633
é	0.819026	0.0437976	0.0843444	0.0273375	0.00733926	0.00591871	0.0122366
é	0.694703	0.0472387	0.14793	0.0468105	0.0367701	0.0117256	0.0148212
d	0.0918178	0.024483	0.610588	0.170318	0.0138096	0.0384951	0.0504886
í	0.0117937	0.000137814	0.298935	0.406102	0.00833148	0.0234441	0.251257
l	0.0070017	0.000253433	0.165015	0.224853	0.132141	0.097899	0.372837
a	0.00339944	0.000834475	0.0829911	0.344768	0.208912	0.0789557	0.280139
b	0.0405465	0.00347375	0.0573653	0.251465	0.24636	0.352722	0.048068
έ	0.0380293	0.00331366	0.0308834	0.187804	0.463415	0.259719	0.0168362
b	0.00379435	0.000264978	0.00699902	0.077556	0.602086	0.270858	0.0384423
ε	0.00851936	0.000348305	0.0394372	0.157906	0.727339	0.0464091	0.0200408
n	0.00151051	0.000496394	0.0100693	0.0950218	0.274409	0.335852	0.282641
g	0.0214571	0.00937212	0.0339833	0.298523	0.306557	0.213818	0.11629
í	0.0433955	0.0186613	0.00998546	0.140812	0.369582	0.14424	0.273324
</S>	0.0433439	0.00304288	0.0254054	0.0977505	0.249	0.115679	0.465779
