 	les	enfants	de	l'	époque	actuelle	ne	respectent	plus	les	parents	</S>
b	0.556056	0.367778	0.0560293	0.00735184	0.00357717	0.00204285	0.000514876	8.14749e-05	0.0043548	0.00179092	0.000378752	4.41926e-05
á	0.0117103	0.977017	0.00875689	0.00136816	0.000274075	6.65668e-05	7.69683e-05	1.36079e-05	0.000125048	0.000319569	0.000233662	3.83907e-05
n	0.0494927	0.859082	0.0339908	0.0368315	0.0148969	0.00263267	0.000658754	0.000684617	0.000791957	0.000525962	9.14608e-05	0.000320456
a	0.0696666	0.908213	0.00637029	0.00251256	0.000808675	0.00217689	0.000209968	0.000110929	0.000209481	0.000270273	0.000426616	0.00902523
b	0.308738	0.172055	0.29681	0.0819336	0.0202592	0.0395112	0.0121131	0.0047799	0.0165177	0.0155052	0.0131638	0.0186139
á	0.0483081	0.0686486	0.294652	0.290292	0.151686	0.0229237	0.0126216	0.00245948	0.0329897	0.0343674	0.0129303	0.0281208
p	0.0344985	0.0650438	0.376535	0.270713	0.120068	0.0276239	0.0152022	0.0124412	0.0153337	0.014211	0.00601488	0.0423146
á	0.0306345	0.022013	0.114501	0.202625	0.337609	0.0125712	0.0201333	0.223883	0.0211407	0.00603714	0.00345282	0.00539815
a	0.107124	0.0218194	0.0984038	0.203613	0.376192	0.0108635	0.00679012	0.119591	0.0164889	0.00659193	0.000579084	0.0319438
r	0.0185562	0.00576794	0.0736231	0.258169	0.450473	0.135388	0.0305879	0.00761347	0.00800793	0.00558665	0.000716918	0.00551059
á	0.189173	0.0344371	0.159519	0.132093	0.0747582	0.281933	0.0199604	0.00826245	0.0115198	0.0109762	0.00896761	0.0684
a	0.0103562	0.00275326	0.0612101	0.136849	0.340475	0.343131	0.0482001	0.0153575	0.00947342	0.00883226	0.00426843	0.0190941
d	0.00936568	0.00173183	0.046564	0.0707716	0.0653568	0.367529	0.291733	0.103025	0.0228759	0.0116667	0.00176881	0.00761201
í	0.00644539	8.20322e-05	0.00841808	0.0204666	0.0147995	0.363812	0.312726	0.12238	0.0287919	0.0177075	0.00216479	0.102207
á	0.00650195	0.000334885	0.0124367	0.02564	0.040203	0.274541	0.34486	0.169568	0.0407488	0.020379	0.00392511	0.0608616
d	0.00929272	0.00143721	0.00822441	0.0169959	0.0307599	0.473548	0.267964	0.113903	0.0418124	0.0207935	0.00669735	0.00857157
i	0.00674039	0.000159267	0.00182492	0.00289872	0.00231861	0.587793	0.156726	0.126491	0.0205868	0.0136445	0.0114826	0.0693348
t	0.00501346	0.000282396	0.00615434	0.0124589	0.0179095	0.371155	0.227916	0.193935	0.0726118	0.0329563	0.0137254	0.0458823
á	0.00126655	0.000892223	0.00935473	0.0512997	0.195114	0.0847893	0.100472	0.375583	0.136277	0.0202803	0.00708544	0.0175858
á	0.00338893	0.000633999	0.00922441	0.0232337	0.0356386	0.0881373	0.141548	0.452671	0.125501	0.0424217	0.00947423	0.0681275
l	0.01074	0.00107949	0.00924764	0.0121373	0.00742003	0.101124	0.16705	0.243098	0.241343	0.11135	0.038539	0.0568723
a	0.00729715	0.00021777	0.0132559	0.00853505	0.00197712	0.0438665	0.0992113	0.287122	0.135517	0.0743294	0.096774	0.231897
n	0.00563234	0.00093653	0.009646	0.00756425	0.00569127	0.0637178	0.0526469	0.194515	0.226049	0.0984278	0.25188	0.0832938
g	0.0412199	0.00951755	0.00885759	0.00438522	0.00112179	0.141348	0.0381068	0.0727392	0.124901	0.0618522	0.388882	0.107069
ó	0.00502093	0.0123657	0.00541068	0.00278249	0.000821716	0.150846	0.0254205	0.0597615	0.0924823	0.0693863	0.541656	0.0340459
o	0.0002151	0.000355212	0.00067178	0.000360688	0.000210703	0.0110161	0.00227009	0.0132001	0.0121136	0.0103506	0.862638	0.0865978
ω	0.00144514	9.34895e-05	0.00292304	0.00188243	0.00105316	0.0121616	0.0169064	0.0208413	0.278847	0.182359	0.29924	0.182247
k	0.0028185	9.07078e-05	0.00453207	0.00265561	0.000774986	0.00378395	0.0181786	0.0244767	0.253406	0.23957	0.26323	0.186483
a	9.47872e-05	4.62116e-05	0.00731561	0.00283104	0.00048132	0.000248803	0.00403603	0.0704648	0.453586	0.231323	0.106492	0.123081
n	0.00245449	0.000601629	0.00663462	0.00353404	0.00152472	0.000479079	0.00705782	0.187555	0.280227	0.140477	0.105346	0.264109
d	0.0032222	0.000140228	0.0113512	0.0088643	0.00626402	0.00346158	0.0105803	0.128535	0.391763	0.16264	0.0896337	0.183545
á	0.00213813	0.000236479	0.0117283	0.007625	0.00337825	0.0114962	0.0266179	0.180185	0.180043	0.138515	0.138694	0.299342
έ	0.00678062	0.000305136	0.00447209	0.00766112	0.00604699	0.0156953	0.015751	0.0190401	0.163774	0.227393	0.245764	0.287316
</S>	0.00184414	0.000672253	0.0211036	0.00960265	0.00114323	0.0111829	0.0156532	0.0333761	0.184321	0.296442	0.203436	0.221223
