 	il	invoque	les	âmes	de	ces	ancêtres	</S>
w	0.949024	0.0104621	0.0215381	0.00217925	0.00563739	0.0108406	0.000272303	4.62756e-05
a	0.921769	0.00893588	0.0423633	0.00223592	0.0058013	0.0181225	0.000754688	1.71736e-05
l	0.203176	0.573202	0.140878	0.0144665	0.0441059	0.00840477	0.00204462	0.0137225
á	0.0261967	0.0822415	0.177845	0.127989	0.166405	0.0263232	0.0123759	0.380624
a	0.125243	0.223737	0.361777	0.02541	0.0703918	0.0303478	0.0126851	0.150409
s	0.00631464	0.857027	0.108258	0.0168424	0.00346644	0.000225208	0.000919076	0.00694769
é	0.000262799	0.993267	0.00556069	0.000517497	0.000102961	6.5039e-06	9.92655e-06	0.000272482
b	0.00829618	0.685757	0.162072	0.0115146	0.0115536	0.002018	0.000649571	0.11814
h	0.016001	0.481702	0.446907	0.0355147	0.00967392	0.00331983	0.000475184	0.0064066
í	0.0183753	0.233279	0.277983	0.0666668	0.0339516	0.0396461	0.0307357	0.299363
l	0.0496442	0.0652362	0.659035	0.104785	0.0368501	0.047525	0.0112471	0.0256773
á	0.0163237	0.0499883	0.369063	0.0238929	0.0751878	0.117397	0.0269416	0.321205
i	0.0221126	0.0275618	0.359766	0.119246	0.190656	0.194214	0.0700945	0.0163491
l	0.000227106	0.00454012	0.0843888	0.85342	0.0501975	0.00148219	0.00253574	0.00320845
í	0.00106583	0.0543523	0.124299	0.568036	0.19972	0.004218	0.00882953	0.0394787
m	0.000206434	0.0147752	0.0709107	0.46247	0.260023	0.0248851	0.0333498	0.133381
i	0.00121652	0.00256274	0.0384118	0.393455	0.366451	0.0705555	0.0744004	0.0529471
m	0.000138716	0.0030407	0.0527043	0.382828	0.48172	0.00749213	0.00765024	0.064426
á	0.000614023	0.00162509	0.0196037	0.222439	0.403122	0.0622412	0.150982	0.139373
a	0.0067511	0.00335955	0.0229423	0.0535365	0.304951	0.338711	0.24464	0.0251083
k	0.000595681	0.0101753	0.0345009	0.186305	0.580666	0.0726742	0.036321	0.0787621
a	4.81456e-05	0.00445283	0.0338906	0.420178	0.482023	0.00589411	0.0148327	0.0386801
a	7.03251e-05	0.00262246	0.0173586	0.35082	0.43159	0.0272403	0.0579861	0.112312
g	0.000274779	0.00207866	0.0179654	0.025116	0.265375	0.471605	0.0480821	0.169504
h	0.000798071	0.0031929	0.0179864	0.0578584	0.193792	0.102599	0.0425764	0.581197
á	0.000448218	0.0029821	0.0124433	0.0515483	0.417983	0.134124	0.107736	0.272736
b	0.000336435	0.000249638	0.00375286	0.00444984	0.0788799	0.527554	0.168003	0.216774
á	0.000853835	0.000377539	0.00490841	0.00910974	0.0478817	0.303669	0.609957	0.0232419
w	0.000554374	0.000363282	0.00140992	0.00177569	0.0200238	0.137353	0.78727	0.0512504
a	0.0037605	0.00126147	0.0075984	0.0212318	0.0718161	0.182911	0.532843	0.178578
</S>	0.000489366	0.000756833	0.00521237	0.00496114	0.12381	0.264866	0.0433448	0.55656
