 	sa	mère	l'	a	tapé	parce	qu'	il	est	mendiant	</S>
n	0.880804	0.0342389	0.027298	0.00880759	0.0184347	0.0127812	0.0147108	0.00214776	0.000528826	1.64397e-05	0.000232329
g	0.207604	0.773787	0.00979272	0.00544954	0.00227026	0.000439928	0.00020239	0.000314672	6.19076e-05	6.055e-06	7.12426e-05
ó	0.0121967	0.984908	0.000859344	0.000888842	0.000483627	0.000276622	6.49194e-05	0.000167853	7.70041e-05	4.874e-05	2.88763e-05
o	0.00382104	0.994671	0.000447107	0.000148623	0.000822987	2.93942e-05	1.135e-05	1.8642e-05	5.59588e-06	7.49307e-06	1.6956e-05
á	0.0486458	0.0851185	0.586556	0.160552	0.0448297	0.0169077	0.0341483	0.0138125	0.00280877	0.000384979	0.00623585
b	0.01615	0.108845	0.0804827	0.220988	0.451236	0.00873076	0.00631989	0.0108147	0.0628162	0.0115023	0.0221151
έ	0.00204542	0.000816113	0.0141719	0.11269	0.806242	0.0208767	0.0136289	0.00928559	0.012084	0.000366414	0.00779236
r	0.0425878	0.0129288	0.0937036	0.21263	0.370896	0.0870936	0.0494223	0.0399059	0.0502406	0.0026902	0.0379008
i	0.104391	0.00307361	0.142611	0.171852	0.249957	0.133162	0.149853	0.0319076	0.00560969	0.000447476	0.00713521
w	0.0236148	0.00216237	0.162931	0.0622649	0.0364774	0.18253	0.424484	0.0895485	0.00611932	0.00300015	0.00686757
a	0.0477297	0.000412023	0.0769581	0.0597071	0.0829422	0.297138	0.270388	0.152766	0.00456797	0.000949435	0.00644181
t	0.00944673	0.000172005	0.0977462	0.0416266	0.0115393	0.23672	0.463139	0.129767	0.00430727	0.000414933	0.00512096
s	0.00836911	0.000369455	0.0181357	0.010817	0.0257454	0.402681	0.333361	0.111169	0.0123395	0.0620541	0.0149589
í	0.00101549	0.000123625	0.0119295	0.0189113	0.127237	0.232512	0.471957	0.115339	0.0108099	0.00364343	0.00652155
n	0.0035315	0.000937357	0.0384011	0.0490119	0.0620437	0.158154	0.44531	0.159555	0.00991389	0.0113759	0.0617659
a	0.00685992	0.00334188	0.013614	0.0329413	0.00489739	0.0883142	0.106905	0.381277	0.0228716	0.00912749	0.32985
w	0.00211261	0.000693057	0.0253641	0.0321052	0.00997349	0.090137	0.307414	0.39802	0.105242	0.00455317	0.0243857
a	0.0174595	0.000706035	0.0273355	0.0206949	0.0113805	0.234653	0.35106	0.23314	0.0358338	0.0221199	0.0456165
a	0.00214715	0.000351055	0.0122378	0.00624066	0.00191192	0.0438097	0.250904	0.322583	0.214036	0.0536884	0.0920901
d	0.000256144	0.000227789	0.00694591	0.0225726	0.0132042	0.00187232	0.00501795	0.032067	0.828089	0.0234232	0.0663235
í	0.0003132	0.000211822	0.00719913	0.0268585	0.00418318	0.00337681	0.00230845	0.0229782	0.387094	0.0788494	0.466627
l	0.00319703	0.000168333	0.0174361	0.0287383	0.00395988	0.00332848	0.00926258	0.023591	0.39781	0.0795624	0.432946
o	0.00364795	5.83656e-05	0.00896951	0.0245362	0.0054536	0.0143572	0.0187655	0.0178145	0.119281	0.148156	0.63896
t	0.000333197	8.24494e-05	0.000963027	0.00210124	0.00120943	0.000451628	0.000334995	0.00190654	0.0479423	0.835693	0.108982
é	9.65801e-06	4.38572e-05	0.000165278	0.000371981	0.00272734	0.000305135	0.000161192	0.000522056	0.0179122	0.956088	0.0216931
m	5.57546e-05	6.41616e-06	5.08073e-05	6.63759e-05	0.000913617	0.000538868	0.000702524	0.00148156	0.0206126	0.903491	0.0720803
a	4.75654e-05	6.69404e-06	0.000143179	0.000461933	0.00181425	0.000514067	0.000410535	0.00148011	0.108664	0.677637	0.20882
</S>	0.00698546	0.000181823	0.00880251	0.0095437	0.00864632	0.00955208	0.01862	0.00855937	0.0842528	0.0535477	0.791308
