 	les	hommes	apportent	de	longs	fagots	de	bois	là	où	il	y	a	une	veillée	mortuaire	</S>
a	0.60775	0.364422	0.00651011	0.00590239	0.00309022	0.00722017	0.000980722	0.000887482	0.000501857	0.0012314	0.000416571	0.000559517	6.27148e-05	8.17836e-05	0.000359162	1.24868e-05	1.09525e-05
b	0.257301	0.630504	0.0531125	0.0104044	0.0101416	0.0172389	0.00222756	0.00207417	0.000809657	0.00092012	0.00077307	0.000464837	0.00062885	0.00260532	0.00736343	0.00173046	0.00170017
a	0.12342	0.79137	0.0539521	0.0111893	0.00192886	0.00281135	0.00289284	0.00396021	0.0019074	0.00199937	0.000808179	0.000552243	0.000223322	0.000131017	0.00105957	8.63644e-05	0.00170772
a	0.0743441	0.771021	0.0394351	0.0324792	0.0123389	0.0108398	0.00734762	0.0133432	0.00472251	0.00527443	0.00281972	0.0015641	0.00102478	0.000528593	0.00471612	0.000249495	0.017951
b	0.277938	0.38199	0.0810171	0.0472585	0.023483	0.00972876	0.0154941	0.00967867	0.0106152	0.0115643	0.011004	0.0157772	0.0152968	0.00936557	0.0260071	0.000112963	0.053669
á	0.067874	0.16941	0.222639	0.143839	0.0367716	0.0235573	0.0627618	0.0495568	0.0325353	0.0260067	0.0169243	0.0245041	0.0143199	0.0075315	0.0625672	0.000543601	0.0386579
a	0.0753419	0.432069	0.122898	0.0522781	0.0316452	0.0177286	0.0241857	0.0167135	0.0174987	0.0182824	0.0284704	0.0250952	0.0248464	0.0172098	0.0260788	0.00870487	0.0609529
y	0.01749	0.0408955	0.764253	0.0601815	0.0185479	0.0124668	0.00594627	0.00839033	0.00388644	0.00325086	0.00413342	0.00424971	0.00931201	0.00778934	0.0265151	0.00196666	0.0107254
a	0.0391382	0.0362542	0.556987	0.106227	0.0739077	0.0276724	0.0144131	0.0122278	0.00312603	0.00267165	0.00286534	0.00210561	0.0098524	0.0205541	0.0328106	0.00710321	0.0520837
á	0.0759497	0.0464808	0.216242	0.100629	0.0176859	0.00451991	0.0185064	0.0178623	0.0146751	0.00442365	0.00196447	0.00212416	0.0109868	0.0423359	0.0956462	0.00192399	0.328044
l	0.0828006	0.032329	0.438915	0.206014	0.0563692	0.0236744	0.0142477	0.00643702	0.0132257	0.0239423	0.016785	0.0156206	0.012317	0.00791137	0.0223009	0.00259923	0.0245112
i	0.0130143	0.00577439	0.317339	0.155365	0.0425255	0.0401598	0.0480256	0.0384709	0.0223977	0.023806	0.020083	0.0234718	0.0203297	0.0414598	0.0208078	0.0253892	0.141581
l	0.0218901	0.0198805	0.493116	0.28813	0.0347887	0.0129275	0.0160105	0.0118134	0.0090902	0.014816	0.0141721	0.00938539	0.00656783	0.00952489	0.0106667	0.00491562	0.0223044
a	0.00484133	0.00244052	0.365088	0.222612	0.0407837	0.030816	0.0392275	0.0408992	0.0140938	0.0128013	0.010027	0.0104238	0.0130362	0.0310197	0.0204888	0.0180891	0.123313
b	0.0121061	0.011545	0.451183	0.302846	0.0306068	0.0110689	0.026611	0.0242761	0.0188483	0.019994	0.0215713	0.0126304	0.00879376	0.01195	0.00687702	0.0115975	0.0174951
h	0.0159891	0.159916	0.550666	0.217814	0.00826778	0.00377524	0.00982986	0.0183887	0.0044151	0.00224467	0.00162061	0.000825291	0.000633012	0.000452811	0.00286306	0.000794011	0.00150531
a	0.0181271	0.0474904	0.454618	0.23255	0.00838644	0.00381642	0.0166602	0.0365972	0.0142362	0.0109002	0.00436783	0.00352844	0.00566932	0.00321427	0.0869404	0.000756225	0.0521418
a	0.00517662	0.00818695	0.207051	0.624524	0.0324434	0.0127451	0.0249472	0.0234944	0.00535831	0.0067359	0.00202327	0.00187965	0.00167747	0.00241176	0.015558	0.000203589	0.0255839
m	0.0043407	0.00313798	0.205834	0.433316	0.150566	0.0354568	0.0608035	0.0383579	0.0141108	0.0077857	0.00548238	0.00607085	0.00619906	0.00410784	0.0150977	0.000587687	0.00874431
á	0.0312104	0.003834	0.044665	0.129376	0.0649212	0.0117497	0.196185	0.0771068	0.145581	0.125798	0.0716137	0.0297684	0.0119109	0.00636244	0.0099787	0.00125549	0.0386833
k	0.0136603	0.00990161	0.0370415	0.156041	0.17688	0.106153	0.150915	0.200435	0.0427808	0.0219072	0.0166089	0.012575	0.0135637	0.0125091	0.0138862	0.00864204	0.00649918
ó	0.000614358	0.00380287	0.0377101	0.167362	0.0279523	0.0315185	0.12074	0.529621	0.0449898	0.00329587	0.00198246	0.00202962	0.00280095	0.00343383	0.0046025	0.00670515	0.0108384
n	0.000575764	0.00155299	0.0683682	0.211961	0.0350276	0.0253925	0.135249	0.39416	0.0461085	0.00681646	0.00941573	0.00958671	0.0117861	0.00594772	0.00996328	0.00652195	0.0215662
