 	la	femme	a	porté	une	robe	noire	car	elle	est	en	deuil	</S>
o	0.896331	0.0867028	0.00406504	0.000759418	0.00139713	0.004309	0.00202722	0.0018106	0.00163028	0.000310954	0.000563585	4.72922e-05	4.56882e-05
y	0.0498043	0.938883	0.00468916	0.00287157	0.000922486	0.000364907	0.000364481	0.000417998	0.000475544	0.000314036	0.00024135	0.000320927	0.000330349
ú	0.973286	0.0247623	0.000239272	0.000378731	0.000692919	9.8887e-05	0.000116253	0.000153427	6.53991e-05	6.55162e-05	3.34199e-05	3.21837e-05	7.60702e-05
r	0.989662	0.00328372	0.000127322	0.000418094	0.00187736	0.00045553	0.000338542	0.00103184	0.000498583	0.000417744	0.000447772	0.000413523	0.00102761
u	0.81357	0.0149084	0.0325703	0.00966722	0.0238782	0.0156748	0.0156242	0.0192961	0.0200912	0.00732431	0.00517837	0.00511322	0.0171035
á	0.0834141	0.0260797	0.565487	0.0800253	0.0173559	0.0205685	0.0266906	0.0263562	0.0347276	0.0315249	0.0231525	0.00688277	0.0577346
l	0.0283937	0.00337571	0.303411	0.566677	0.0387526	0.00638864	0.00372457	0.00393732	0.00293604	0.0165409	0.0107832	0.00198044	0.013099
á	0.00258869	0.000128406	0.112578	0.804777	0.0491182	0.00283543	0.00126782	0.00124857	0.00076496	0.00595589	0.00572524	0.00156745	0.0114443
r	0.0280508	8.67036e-05	0.0292652	0.830226	0.0844739	0.00458991	0.00150689	0.00335133	0.00186976	0.00387155	0.00343483	0.000773057	0.00849991
i	0.0505536	0.000285772	0.294474	0.35799	0.182854	0.0223086	0.0118971	0.0201193	0.0238246	0.00944336	0.00530726	0.00369335	0.017249
o	0.03139	0.00114441	0.278227	0.153692	0.271071	0.0971775	0.0361716	0.0292848	0.0371069	0.013297	0.0164136	0.00823409	0.0267895
k	0.00422701	0.000287161	0.010867	0.254518	0.46542	0.201289	0.0355861	0.0114818	0.00287902	0.00498588	0.00360075	0.00328655	0.00157203
á	0.000840441	3.61498e-06	0.00434236	0.0986668	0.53588	0.153433	0.159498	0.0187825	0.00269229	0.00911171	0.00263747	0.00771318	0.00639863
n	0.00310631	1.31424e-05	0.0194655	0.168286	0.347449	0.201262	0.0718466	0.0319639	0.015242	0.0338915	0.0216493	0.0165239	0.0693007
d	0.00322206	8.99613e-06	0.0467262	0.178879	0.327262	0.182696	0.0602452	0.0692612	0.0401001	0.0154257	0.00919125	0.00505517	0.0619273
