 	je	suis	fatigué	</S>
n	0.966864	0.0296626	0.00118755	0.0022862
g	0.998328	0.00153279	1.17901e-05	0.000127625
á	0.979012	0.0188379	0.00112141	0.0010286
n	0.291018	0.617835	0.0302833	0.060863
d	0.284314	0.122982	0.00152562	0.591179
z	0.307525	0.177618	0.0795152	0.435342
ó	0.355918	0.255852	0.2038	0.184429
r	0.0939529	0.0320357	0.15406	0.719951
o	0.0182353	0.0334319	0.755381	0.192952
é	0.00471045	0.0648522	0.419392	0.511046
m	0.00261144	0.138213	0.360936	0.498239
i	0.00648874	0.40147	0.0575134	0.534528
s	0.000456672	0.0707007	0.169763	0.75908
y	0.00375	0.219143	0.501596	0.275512
é	0.05497	0.271537	0.241584	0.431909
l	0.0014829	0.189521	0.287895	0.521101
e	0.000900439	0.0301931	0.247529	0.721378
</S>	0.000564263	0.0580902	0.127802	0.813544
