 	le	chien	aboie	</S>
m	0.80486	0.187505	0.00741988	0.000214736
v	0.171158	0.768888	0.0158033	0.044151
á	0.138105	0.854841	0.00487292	0.00218086
n	0.191334	0.784438	0.000393355	0.0238345
d	0.259565	0.30014	0.00240242	0.437892
é	0.338713	0.495876	0.011168	0.154242
l	0.471663	0.116182	0.0826923	0.329463
á	0.288354	0.0942288	0.0299143	0.587503
a	0.782209	0.0744353	0.0790405	0.0643152
b	0.0736414	0.0943715	0.751487	0.0804998
ó	0.017731	0.0708951	0.864489	0.0468851
m	0.00624854	0.011949	0.873409	0.108393
o	0.165056	0.019082	0.51038	0.305482
n	0.0174796	0.013426	0.0257407	0.943354
a	0.0883522	0.153571	0.0683545	0.689723
</S>	0.0180905	0.00659568	0.0396967	0.935617
