 	ainsi	se	termine	le	conte	</S>
e	0.544453	0.378928	0.0592852	0.0167071	0.000187199	0.000439961
t	0.605372	0.328237	0.0483776	0.0102434	0.00136406	0.00640595
s	0.0883391	0.201532	0.684891	0.015394	0.00112089	0.00872375
é	0.141742	0.157492	0.559026	0.0813084	0.0159341	0.044497
e	0.0426108	0.0677083	0.807967	0.0624501	0.00553298	0.013731
é	0.00739949	0.0592176	0.120308	0.75465	0.0273913	0.0310336
s	0.00853583	0.0255391	0.0234639	0.731404	0.127364	0.0836941
í	0.000726939	0.000964588	0.00153443	0.143338	0.714815	0.138621
í	0.000664569	0.00445553	0.0385012	0.202008	0.478214	0.276157
b	0.000676355	0.00404752	0.00418582	0.148187	0.456018	0.386885
v	0.000569162	0.00531597	0.0213141	0.0948223	0.717891	0.160088
ú	0.00163879	0.00280938	0.00990038	0.0279918	0.717593	0.240067
u	0.0124012	0.00202151	0.0266106	0.0655795	0.240553	0.652834
</S>	0.00903607	0.0116639	0.00648945	0.124955	0.132263	0.715593
