 	son	enfant	a	grandi	</S>
m	0.913096	0.0816329	0.00479821	0.000375222	9.77389e-05
w	0.00808491	0.976856	0.0104923	0.000503597	0.00406298
á	0.000245136	0.999751	1.19352e-06	1.56815e-06	1.31639e-06
n	0.219508	0.771666	0.0044227	2.19145e-05	0.00438206
a	0.215105	0.429025	0.0244549	0.0124851	0.31893
y	0.858736	0.0216866	0.104436	0.00418194	0.0109596
a	0.638958	0.0417407	0.128144	0.147012	0.0441446
w	0.58256	0.0348873	0.314649	0.0309463	0.0369578
a	0.65734	0.0309284	0.241278	0.0187996	0.0516531
á	0.0424192	0.0150841	0.815028	0.0721133	0.0553558
m	0.00470623	0.000251432	0.5287	0.358821	0.107521
i	0.00714745	0.00328485	0.277642	0.310235	0.401691
y	0.00241696	0.00165768	0.0392348	0.786413	0.170278
ó	0.0032466	0.000996569	0.0569276	0.783615	0.155215
l	0.00171793	0.000141257	0.0613761	0.487228	0.449537
a	0.0329683	0.00481981	0.136439	0.153319	0.672454
</S>	0.0791414	0.00209076	0.341798	0.0701408	0.506829
