 	qui	s'	inquiète	pour	moi	</S>
o	0.677723	0.261587	0.0386264	0.0166665	0.00446446	0.000933291
k	0.288802	0.44438	0.15866	0.0212178	0.0279434	0.0589966
y	0.144683	0.167215	0.250344	0.1212	0.167667	0.148891
e	0.0274923	0.152014	0.461975	0.133133	0.060361	0.165024
m	0.363706	0.192508	0.212583	0.12471	0.0357136	0.0707795
i	0.157195	0.125006	0.322893	0.174982	0.0373479	0.182576
i	0.0671956	0.160615	0.235372	0.285678	0.152189	0.0989494
n	0.00281659	0.0461617	0.382803	0.219127	0.0785751	0.270517
g	0.0746202	0.0291395	0.0458778	0.0401109	0.628369	0.181883
á	0.00268024	0.00321339	0.0102097	0.0103819	0.960338	0.0131774
n	0.00303731	0.00389091	0.0764688	0.411946	0.284671	0.219985
d	0.00513406	0.0113406	0.0735256	0.206905	0.459628	0.243467
a	0.00116278	0.00100011	0.00611804	0.0211729	0.568893	0.401653
</S>	0.000902934	0.00452335	0.0350563	0.0706273	0.283847	0.605043
