 	le	toit	de	cette	maison	est	fait	en	tôles	</S>
m	0.743782	0.125307	0.0958114	0.00737903	0.0110557	0.00832081	0.00338061	0.00443535	0.000297835	0.000230069
w	0.0572282	0.747356	0.0867443	0.0160378	0.0086635	0.0225115	0.0173914	0.0115144	0.000876125	0.0316766
a	0.00143943	0.993147	0.0011829	0.00152478	0.000944153	0.000152637	8.79779e-05	9.17578e-05	0.00138704	4.24093e-05
n	0.177871	0.718056	0.0313533	0.0218831	0.00212892	0.00539524	0.014171	0.00985621	0.00250061	0.0167849
d	0.0807671	0.636003	0.031435	0.0997995	0.0258769	0.00879266	0.0235928	0.0174686	0.0436575	0.0326072
z	0.0338941	0.923725	0.00708295	0.00737409	0.0016087	0.00116631	0.00202039	0.000759672	0.00646362	0.0159051
á	0.103607	0.769008	0.0183884	0.0163968	0.0204175	0.00280813	0.00243846	0.0022434	0.011918	0.0527742
m	0.349767	0.101823	0.390926	0.0613902	0.0291361	0.0262801	0.00713514	0.00316549	0.000225105	0.0301516
á	0.336962	0.019022	0.119558	0.21251	0.195561	0.0835901	0.00701164	0.0126237	0.00239199	0.0107704
n	0.248954	0.0255318	0.101699	0.182306	0.39998	0.0192628	0.00573009	0.00624608	0.00529872	0.00499049
d	0.0136342	0.0020421	0.0151668	0.101696	0.849249	0.00246945	0.00208365	0.00302771	0.00764513	0.00298578
é	0.00107235	0.0064034	0.0168433	0.147532	0.760544	0.0028016	0.00311799	0.0012988	0.0586555	0.00173165
e	0.00995071	0.00654508	0.212395	0.208281	0.238035	0.140471	0.109442	0.0329864	0.00419469	0.0377001
y	0.012589	0.000947507	0.168898	0.128299	0.0710309	0.487062	0.0732688	0.0179215	0.000320191	0.0396627
é	0.0325378	0.00193641	0.0955147	0.335804	0.17556	0.224883	0.0720906	0.0343537	0.00489554	0.0224244
ó	0.0241213	0.00100677	0.0676469	0.310771	0.106429	0.29438	0.0986512	0.0531291	0.00914811	0.0347166
d	0.0181287	0.0012593	0.028416	0.0602549	0.0612603	0.340294	0.397729	0.0289627	0.0171404	0.0465545
i	0.00331501	0.001886	0.0113361	0.117909	0.0194774	0.161704	0.546223	0.0672958	0.0200133	0.0508411
m	0.0116062	0.00138075	0.0279763	0.139425	0.0387032	0.179735	0.411876	0.101115	0.0578624	0.0303208
á	0.00147506	0.00179909	0.0144841	0.232331	0.0251127	0.153096	0.202003	0.160644	0.148823	0.0602322
n	0.00380383	0.00112532	0.00957849	0.0682103	0.0396942	0.0766971	0.17942	0.406448	0.161723	0.0532999
d	0.00154718	0.000919102	0.0052536	0.0601665	0.114362	0.0128244	0.0625617	0.182356	0.526045	0.0339645
z	8.95908e-05	0.000316828	0.000358244	0.00487938	0.0546197	0.00206869	0.0174761	0.0216532	0.8905	0.00803853
a	3.12358e-05	0.00156935	0.00183907	0.0270498	0.00760689	0.00672843	0.0327348	0.0462328	0.857787	0.0184202
n	6.98621e-05	0.000675315	0.00708817	0.0203765	0.00375213	0.0254257	0.122159	0.236985	0.287398	0.29607
d	0.000248512	0.00116429	0.0021631	0.00929551	0.00284489	0.0207007	0.135688	0.256976	0.476238	0.0946815
z	0.000478328	0.00360938	0.00190894	0.0156298	0.0119247	0.0117503	0.0494188	0.0852491	0.669463	0.150568
a	0.00060099	0.0016713	0.0037011	0.0099925	0.00645476	0.025103	0.0801189	0.0897932	0.623346	0.159218
</S>	0.000403522	3.44683e-05	0.00496412	0.00802307	0.00275058	0.0717907	0.140691	0.180839	0.00842525	0.582079
