 	le	camion	qui	est	parti	pour	boundji	est	déjà	loin	</S>
o	0.639361	0.257381	0.0397974	0.0197562	0.00425962	0.0269262	0.00693953	0.00449279	0.000565535	4.20293e-05	0.000479181
t	0.0291309	0.938674	0.0108679	0.00462428	0.00652141	0.00163941	0.00106768	0.000699956	0.00110643	0.0027145	0.00295379
ω	0.00501876	0.964509	0.00380222	0.00183701	0.0131255	0.00193609	0.00604577	0.000501681	0.000150955	0.00222279	0.000849935
m	0.00724993	0.963817	0.00960501	0.00174532	0.00296417	0.00247762	0.00721159	0.000649379	0.000220915	0.00248889	0.00157062
b	0.032934	0.809187	0.0422833	0.00481524	0.00691427	0.0108537	0.0292303	0.00321642	0.000403045	0.000457908	0.0597051
í	0.0486178	0.647736	0.0425384	0.027406	0.0307141	0.0172378	0.0663432	0.0115729	0.00969475	0.00815899	0.0899798
l	0.38457	0.0998686	0.417194	0.0420283	0.00217744	0.0202951	0.00443268	0.0128077	0.000922918	0.000165759	0.0155373
i	0.461739	0.120909	0.11287	0.0177123	0.00898832	0.0515648	0.0418345	0.0401956	0.00179785	0.00198197	0.140406
m	0.27652	0.026429	0.342874	0.271213	0.0223615	0.0234115	0.00445614	0.0130116	0.00671226	0.000574235	0.0124367
ó	0.508294	0.0225164	0.234406	0.10341	0.0227386	0.0662372	0.024317	0.011755	0.000955857	3.26761e-05	0.00533669
ó	0.18184	0.0112026	0.212326	0.163083	0.121894	0.160632	0.110265	0.020683	0.00511046	0.00186481	0.0110986
d	0.058281	0.00410655	0.0158667	0.180667	0.388663	0.153752	0.0741387	0.0158194	0.0636541	0.0419714	0.00307999
z	0.00234736	0.00261703	0.0067477	0.0440433	0.657758	0.0663935	0.0744538	0.00600471	0.0224242	0.065449	0.0517609
w	0.0434385	0.00299614	0.0158646	0.0568029	0.647677	0.0449359	0.165988	0.00717323	0.00376161	0.00305514	0.00830663
é	0.0858052	0.00262762	0.0195666	0.0522308	0.175479	0.116368	0.448121	0.0358786	0.0121347	0.00728499	0.044503
e	0.0445167	0.00156646	0.0492528	0.081355	0.0507924	0.357571	0.285114	0.0927842	0.0162328	0.0055531	0.0152612
b	0.0112586	0.0070918	0.00967085	0.0333714	0.0916106	0.22755	0.429574	0.0710855	0.0099542	0.0129619	0.0958708
ω	0.00845462	0.00666235	0.0103039	0.0582181	0.0502505	0.279839	0.447551	0.0765665	0.0263	0.00913088	0.0267235
n	0.00332964	0.00835104	0.0161425	0.016781	0.0204383	0.222378	0.555399	0.0735971	0.0057423	0.0157438	0.0620976
g	0.0596114	0.0545822	0.0427688	0.0312858	0.0583387	0.226499	0.338954	0.0862949	0.00301189	0.00428068	0.094373
ω	0.029726	0.0623309	0.101235	0.0102457	0.0146989	0.184138	0.512783	0.0442368	0.000686017	0.000906355	0.0390129
ó	0.00829704	0.000569778	0.0185044	0.0166361	0.00632095	0.214615	0.0616905	0.576826	0.0526433	0.00706278	0.0368345
m	0.0182174	0.00684085	0.00826636	0.0241975	0.0187549	0.033229	0.0122974	0.159755	0.467355	0.22817	0.022916
i	0.00508459	0.00228011	0.00434837	0.0120323	0.00937152	0.0269884	0.00874348	0.0656051	0.514556	0.169745	0.181245
s	0.000247395	0.000513162	0.000186252	0.000858471	0.00322716	0.00224462	0.00302845	0.00502373	0.109476	0.840989	0.0342056
έ	7.61758e-05	0.00241003	0.000611912	0.0019054	0.00944467	0.00667298	0.00929182	0.00619345	0.0751183	0.813697	0.0745782
l	0.00226889	0.00124349	0.00100401	0.00370288	0.00313131	0.0138093	0.00674115	0.0278461	0.071571	0.415488	0.453194
ε	0.0788845	0.0034911	0.0127756	0.0413995	0.0144113	0.23148	0.0605042	0.351802	0.0713486	0.0248054	0.109098
</S>	0.0236604	0.000747086	0.0105249	0.0103793	0.00260807	0.0425775	0.0176585	0.113648	0.0485883	0.0512658	0.678342
