 	j'	aime	plaisanter	avec	mes	amis	</S>
n	0.948895	0.0113344	0.026686	0.00450236	0.00388139	0.00450236	0.000198395
g	0.99335	0.00201761	0.00099307	0.000128287	0.00347397	3.03367e-05	6.93509e-06
á	0.987943	0.00956516	0.00127758	0.000271686	0.000873221	6.1999e-05	7.65932e-06
í	0.475361	0.230589	0.0355118	0.0329777	0.0954134	0.0138944	0.116253
d	0.0438228	0.914209	0.0127218	0.00697304	0.00179649	0.00478171	0.0156956
i	0.164917	0.772216	0.00741686	0.0152956	0.00565515	0.00145649	0.0330434
í	0.0667428	0.714245	0.0848641	0.0152973	0.00399241	0.00102376	0.113834
l	0.441666	0.116565	0.377718	0.0276818	0.0127495	0.00429179	0.0193285
a	0.0875501	0.383929	0.270743	0.0598989	0.0186918	0.000953565	0.178233
p	0.0781527	0.483926	0.251003	0.0536005	0.014151	0.00198569	0.117181
ó	0.00471768	0.290713	0.543549	0.077701	0.000713543	0.00936593	0.0732401
s	0.00170428	0.579863	0.324966	0.0433278	0.00127486	0.000403201	0.0484609
á	0.00190414	0.323437	0.523156	0.0366002	0.000901012	0.011045	0.102956
o	0.0859826	0.0154333	0.634214	0.164783	0.0452927	0.0114505	0.0428443
k	0.00131766	0.0827569	0.781929	0.107156	0.00491732	0.00815302	0.0137702
y	9.73281e-05	0.0466686	0.845475	0.0496261	0.00663897	0.0171776	0.0343161
á	0.00135242	0.0473551	0.857937	0.0533453	0.000777383	0.0078609	0.0313718
k	0.000810101	0.0112214	0.230785	0.164131	0.0115884	0.0164031	0.56506
y	0.000535716	0.00813699	0.539082	0.272837	0.00168007	0.0151407	0.162588
ε	0.000112068	0.012118	0.725478	0.211805	0.00136296	0.00977422	0.0393495
k	0.000465804	0.00201906	0.512732	0.160035	0.0223615	0.0436028	0.258783
y	0.0102984	0.00710095	0.316597	0.409126	0.0136389	0.0988234	0.144415
ε	0.000469404	0.00808943	0.210929	0.583391	0.0241093	0.00907967	0.163932
l	0.00877359	0.00055837	0.0345655	0.345179	0.20924	0.115801	0.285883
a	0.0299553	0.00191792	0.0294521	0.247563	0.380325	0.0539589	0.256828
b	0.00506958	0.000754304	0.00827439	0.0704517	0.816091	0.0199353	0.0794239
i	0.00176717	0.000620659	0.0163738	0.036766	0.0973391	0.839523	0.00761005
a	0.000225338	0.000432601	0.00801293	0.0658916	0.0280251	0.779848	0.117565
</S>	0.00550511	0.000834402	0.00588598	0.0503795	0.343639	0.105103	0.488652
