 	le	verre	s'	est	brisé	en	menus	morceaux	</S>
e	0.813216	0.117815	0.0164685	0.00489858	0.0416373	0.00551395	0.000292158	9.00026e-05	6.81411e-05
w	0.111523	0.841435	0.017807	0.00514451	0.0195366	0.0028312	0.00116256	0.000192104	0.000368036
á	0.153565	0.7164	0.018323	0.0275713	0.0623887	0.0137768	0.0049089	0.00187283	0.00119306
l	0.0468327	0.350756	0.0770075	0.0333053	0.0212819	0.0078322	0.0551289	0.078676	0.329179
á	0.26769	0.396373	0.145402	0.0523259	0.0950474	0.0122152	0.00812547	0.00712388	0.0156967
é	0.103595	0.0661305	0.553234	0.130861	0.0398735	0.0834626	0.0120861	0.00587993	0.00487801
t	0.0166962	0.0308315	0.412229	0.376015	0.0674814	0.0540331	0.0232938	0.012804	0.00661643
s	0.0101484	0.0333221	0.197443	0.353327	0.177964	0.0318901	0.113604	0.0526996	0.0296018
ε	0.0182593	0.0206258	0.158785	0.328667	0.295754	0.0552965	0.0709211	0.0392699	0.0124212
s	0.0170492	0.0120132	0.113094	0.0789044	0.077011	0.31742	0.223662	0.11533	0.0455157
í	0.0447581	0.0154538	0.123652	0.189851	0.136246	0.248637	0.0905077	0.0862615	0.0646327
í	0.00883012	0.00689899	0.0257781	0.0455188	0.0239062	0.330689	0.236535	0.291625	0.0302194
</S>	0.011735	0.0216316	0.0454699	0.039739	0.021478	0.0463936	0.233134	0.562364	0.0180555
