 	il	y	a	une	semaine	de	cela	qu'	il	est	parti	à	brazaville	</S>
e	0.0800454	0.153177	0.069161	0.0426707	0.0545869	0.344114	0.117389	0.0484894	0.0265607	0.0166305	0.00130924	0.0303873	0.00278814	0.0126904
d	0.00090151	0.00400145	0.00216799	0.00741183	0.124312	0.00283164	0.0220768	0.0550724	0.176241	0.166122	0.38792	0.0359576	0.0086317	0.00635228
z	5.95855e-05	0.000918163	0.000760269	0.00339582	0.193358	0.00132957	0.00935093	0.0217003	0.0543562	0.0627619	0.565557	0.0142956	0.00460224	0.0675545
w	0.00046747	0.00125652	0.00158682	0.0139619	0.420498	0.0036577	0.0114102	0.0169427	0.0417446	0.0387141	0.389577	0.0142104	0.00625665	0.0397161
e	0.00127168	0.0015164	0.00699731	0.0373927	0.124499	0.00511518	0.0157368	0.0349215	0.0627133	0.0765116	0.407978	0.0347055	0.0116146	0.179027
w	0.00691705	0.0293836	0.0617246	0.134869	0.113473	0.0472986	0.0429509	0.0555923	0.0675604	0.0862138	0.123803	0.0507862	0.00467167	0.174755
á	0.0219873	0.00923276	0.0308759	0.0400044	0.00323157	0.016037	0.0363888	0.0757078	0.103622	0.0520189	0.0901866	0.152738	0.00997858	0.35799
n	0.0203106	0.0160499	0.0734687	0.0520269	0.026043	0.0307291	0.0600948	0.102395	0.164445	0.128837	0.0986	0.0569787	0.0211373	0.148883
g	0.00276853	0.00290106	0.0168293	0.0610005	0.0701949	0.0195191	0.0225461	0.0156848	0.0161074	0.0195959	0.100468	0.0388694	0.314273	0.299241
y	0.000406572	0.000675937	0.00461448	0.0382268	0.113535	0.00417479	0.00818758	0.00457606	0.00557846	0.0125235	0.107692	0.0145485	0.591335	0.0939249
ε	0.00477126	0.00574208	0.029507	0.276047	0.125684	0.0618756	0.0388443	0.0351508	0.0343321	0.0374054	0.138315	0.038604	0.121615	0.0521066
l	0.000345616	0.00289824	0.00621212	0.0427304	0.0195933	0.117808	0.0511537	0.0488864	0.0407783	0.0738835	0.12081	0.172427	0.0281263	0.274347
έ	0.00171238	0.00687508	0.00568016	0.0179839	0.00918356	0.0765699	0.0841111	0.190478	0.166224	0.08632	0.071859	0.0679147	0.0194091	0.195678
é	0.00212061	0.00601735	0.0224553	0.0103367	0.00123969	0.0463671	0.0547685	0.137655	0.161715	0.251279	0.0983519	0.159863	0.00576393	0.0420668
b	0.00219544	0.0110223	0.0333675	0.0258881	0.00183256	0.014817	0.0381789	0.0690141	0.0759742	0.189229	0.195974	0.213372	0.036477	0.092658
h	0.000967481	0.00458159	0.00705407	0.0325694	0.0018794	0.0111535	0.0524227	0.075317	0.0724574	0.150351	0.142494	0.300816	0.0184166	0.12952
í	0.00137807	0.0019687	0.00715541	0.0550267	0.00308809	0.0234353	0.117834	0.173128	0.11066	0.127086	0.102583	0.168601	0.0118684	0.0961859
l	0.00204898	0.00289041	0.0168616	0.0240953	0.00161648	0.034641	0.0423654	0.0809551	0.0882953	0.11929	0.146914	0.3292	0.026209	0.0846169
a	0.00154897	0.00236989	0.00500861	0.0151199	0.00262019	0.0091838	0.0463306	0.0936671	0.107335	0.102927	0.206118	0.161436	0.0941814	0.152153
l	0.00494142	0.00251633	0.0148227	0.0270579	0.00580123	0.0157407	0.0217443	0.0426341	0.0550242	0.0612951	0.14548	0.109048	0.408424	0.0854706
o	0.00042876	0.000639814	0.00625225	0.0138994	0.00271267	0.00396505	0.0212161	0.0232335	0.0242618	0.0595473	0.143918	0.194136	0.35313	0.15266
n	0.000226464	0.000812081	0.00301155	0.00958121	0.00169704	0.0132326	0.0182937	0.0285641	0.0461626	0.0715143	0.135856	0.110306	0.431154	0.129589
á	0.000610498	0.0010687	0.00277818	0.0141013	0.0228583	0.0146347	0.0143205	0.0150891	0.0210872	0.0408077	0.165411	0.133848	0.436912	0.116473
a	0.00340537	0.00153635	0.0110575	0.0131157	0.00108565	0.0125966	0.0187559	0.0530909	0.0629479	0.0656656	0.096101	0.207024	0.209204	0.244414
</S>	0.000269684	0.0017762	0.0108774	0.0108512	0.00128945	0.00443142	0.0115427	0.0155621	0.0135888	0.041322	0.0528581	0.201313	0.206443	0.427875
