 	il	est	rentré	les	mains	vides	</S>
w	0.865904	0.112969	0.0144643	0.00463825	0.0019656	1.66518e-05	4.24326e-05
a	0.946142	0.024804	0.00210634	0.0159865	0.0106623	0.000276995	2.19441e-05
á	0.213246	0.685723	0.0584263	0.0237455	0.00624625	0.00113631	0.0114765
b	0.0725727	0.38513	0.413334	0.0450694	0.0305535	0.0113061	0.0420348
v	0.0217597	0.0710346	0.832768	0.0440874	0.00598719	0.00276622	0.021597
ú	0.0157442	0.0473976	0.921046	0.0130366	0.00170974	0.000841376	0.000224875
r	0.027763	0.16771	0.541653	0.170231	0.0368419	0.00359024	0.0522114
á	0.0451128	0.349268	0.184561	0.320256	0.0174596	0.000746675	0.0825955
m	0.0425239	0.0643725	0.045665	0.427675	0.360249	0.0399019	0.0196127
á	0.0174575	0.0205551	0.00345572	0.186628	0.22577	0.362704	0.18343
b	0.0256091	0.0217867	0.0134442	0.304666	0.194132	0.416749	0.0236125
ώ	0.00973539	0.0072161	0.0144887	0.132857	0.365734	0.46606	0.00390871
ω	0.000306761	0.00190598	0.0613383	0.0751522	0.167373	0.625818	0.0681055
</S>	0.0059432	0.0136256	0.015552	0.071785	0.0353618	0.0948937	0.762839
