 	le	manioc	que	ta	femmin	a	oté	du	feu	s'	est	déjà	refroidi	</S>
e	0.382434	0.548695	0.0373264	0.00790025	0.001747	0.00430824	0.000136936	0.0151229	0.000502013	0.00126418	0.000375272	6.20246e-05	9.31754e-05	3.28893e-05
k	0.10455	0.759034	0.0139143	0.00616191	0.00423304	0.0249879	0.0317095	0.00227715	0.000988208	0.00159628	0.00425942	0.00336041	0.0406324	0.00229517
ώ	0.00758595	0.948345	0.00929448	0.00131718	0.000617684	0.00564439	0.0062821	0.00298717	0.000258305	0.0023783	0.00343979	0.000394786	0.00749244	0.00396271
ώ	0.0616467	0.829422	0.0522492	0.00787218	0.00399625	0.00819224	0.00383735	0.0149149	0.00140463	0.00237867	0.00249266	0.000422589	0.0062003	0.00497043
y	0.534071	0.0753284	0.295611	0.0331413	0.00319312	0.0169997	0.00127569	0.00925412	0.00205804	0.0054938	0.00462799	0.00195485	0.000443521	0.0165475
é	0.171093	0.0767149	0.17404	0.0313816	0.00994438	0.0697199	0.0243571	0.139812	0.00518468	0.0716111	0.0579596	0.00481184	0.00894929	0.154421
é	0.0956276	0.0135387	0.50298	0.136348	0.110135	0.0264202	0.0116325	0.0269119	0.0191187	0.0208018	0.0094727	0.00336545	0.0012435	0.0224044
l	0.0223885	0.00654004	0.134538	0.0919376	0.16188	0.347517	0.105055	0.00700587	0.0056851	0.0148181	0.0373367	0.0467589	0.00333653	0.0152027
a	0.0106049	0.00634133	0.0668105	0.055463	0.150798	0.164721	0.279348	0.00752633	0.00451796	0.0125295	0.0319101	0.107731	0.0159879	0.0857095
m	0.0479901	0.00649627	0.0955993	0.0755531	0.131537	0.117312	0.296605	0.0138179	0.0127602	0.0124744	0.0255771	0.0473027	0.0115529	0.105422
b	0.0090486	0.000627899	0.0535733	0.0710724	0.160729	0.096705	0.532601	0.0407294	0.0162564	0.0057242	0.00401275	0.00189099	0.000429349	0.00660006
í	0.0917959	0.0163601	0.144208	0.216007	0.103309	0.12529	0.0626316	0.0880937	0.00665659	0.023115	0.0196161	0.00427306	0.00589827	0.0927463
s	0.00802926	0.00217365	0.153222	0.340329	0.168257	0.0843359	0.0274908	0.126384	0.044025	0.029252	0.00640611	0.000747426	0.000636709	0.00871088
í	0.00463894	0.000546854	0.0189275	0.165279	0.319109	0.0864634	0.240111	0.104415	0.0131983	0.0100083	0.00664166	0.00186226	0.00448952	0.0243096
n	0.00219217	0.000476815	0.0413045	0.253307	0.199984	0.0448998	0.00913393	0.212071	0.151043	0.0633743	0.0105944	0.00297326	0.0031077	0.00553829
ω	0.000536875	0.000132219	0.00254635	0.145525	0.751256	0.0140532	0.0288661	0.038515	0.00942648	0.00361772	0.00120047	0.000228662	0.000716191	0.00338072
m	0.000923034	0.000642367	0.0258157	0.0251217	0.0430597	0.127885	0.51399	0.187734	0.0119897	0.0304253	0.0116646	0.00704294	0.00461604	0.00909
w	0.00865568	0.000512594	0.00683613	0.0110389	0.00233355	0.0902106	0.297706	0.303385	0.119834	0.0398754	0.0456917	0.0100024	0.00050857	0.0634102
á	0.00440958	0.00106827	0.00252575	0.0157947	0.00414687	0.0452412	0.226406	0.152842	0.461346	0.0431563	0.0123702	0.00205783	0.00392114	0.0247134
s	0.0170692	0.0016197	0.00588486	0.124532	0.0323495	0.0383717	0.0294751	0.264731	0.406693	0.0508811	0.00742335	0.00259505	0.00060846	0.0177665
í	0.0323317	0.0125956	0.0141544	0.140671	0.0969738	0.0663909	0.141346	0.182318	0.0579749	0.0529368	0.0218581	0.00319442	0.016953	0.160301
é	0.00157989	0.000884243	0.0175128	0.0423554	0.0127785	0.0677405	0.0168789	0.165515	0.051869	0.390667	0.135913	0.0596679	0.0145708	0.0220671
m	0.00253714	0.00227045	0.00711061	0.00475308	0.00265109	0.0806253	0.0144016	0.0172443	0.00971102	0.142934	0.318437	0.353796	0.0271345	0.0163931
i	0.00281694	0.000209416	0.00133438	0.00349194	0.00036583	0.0123292	0.00817427	0.0111188	0.075655	0.0286476	0.17353	0.614659	0.00949077	0.0581777
