 	il	fut	traité	avec	bonté	</S>
á	0.333736	0.511116	0.150413	0.00369765	0.000960482	7.66617e-05
y	0.114603	0.363409	0.147933	0.251438	0.113396	0.00921993
a	0.0622451	0.224708	0.0634238	0.231852	0.0178115	0.399959
m	0.0538836	0.0498932	0.0250079	0.388995	0.0402586	0.441961
b	0.0824577	0.11017	0.100472	0.367633	0.015544	0.323724
á	0.383563	0.11024	0.0699242	0.0596659	0.0442544	0.332352
w	0.362298	0.121104	0.266006	0.130714	0.045245	0.074633
a	0.241321	0.266856	0.395173	0.0437314	0.0373247	0.0155947
m	0.112917	0.229042	0.462748	0.112331	0.0137808	0.0691815
ó	0.0340436	0.0106045	0.180637	0.211263	0.032257	0.531195
ω	0.117406	0.059205	0.187525	0.425413	0.0800077	0.130443
b	0.00285252	0.00293441	0.00532285	0.222338	0.558492	0.20806
v	0.0021577	0.000849216	0.00209565	0.0395138	0.945644	0.00973951
έ	0.00135724	0.00343417	0.00397124	0.0166024	0.97207	0.00256466
</S>	0.00191098	0.00239954	0.00333066	0.00438725	0.126136	0.861836
