 	la	maladie	a	fait	perdre	la	mémoire	à	cette	fille	</S>
i	0.416264	0.486435	0.0525482	0.0106812	0.00522477	0.0111395	0.00303897	0.00985579	0.0044108	0.000136841	0.000264955
k	0.0164191	0.959341	0.00316683	0.00319476	0.00675272	0.00189168	0.00569125	0.0019844	0.000661233	0.000389371	0.000507322
ω	0.00221615	0.969905	0.000702129	0.000997407	0.00176953	0.000448506	0.0186376	0.00250747	0.000392366	0.000404382	0.00201943
n	0.00838363	0.972192	0.00356918	0.00117258	0.00110899	0.0010038	0.00434843	0.00152573	0.00335664	0.00275658	0.000582973
í	0.0552924	0.904467	0.00309852	0.0024503	0.00460328	0.00142065	0.0183363	0.00583511	0.00105601	0.000748982	0.00269117
á	0.1641	0.0328208	0.519224	0.192201	0.0380855	0.0120215	0.00491659	0.0135003	0.00148196	0.000393427	0.0212558
m	0.0316858	0.00500259	0.142823	0.391397	0.248353	0.113647	0.00709841	0.024583	0.013301	0.0016337	0.0204762
i	0.0504389	0.000970514	0.145106	0.301521	0.24031	0.109705	0.0231102	0.018217	0.00602134	0.00535023	0.09925
í	0.00256234	0.00241786	0.00201331	0.0754531	0.708222	0.111024	0.0827223	0.00482809	0.00106019	0.00141293	0.00828425
b	0.0106396	0.00659866	0.00873516	0.0437413	0.371	0.154991	0.291866	0.0275108	0.00536152	0.00490993	0.0746453
h	0.00228093	0.00601452	0.00211665	0.0346533	0.153314	0.126176	0.598826	0.0422386	0.00507121	0.0040893	0.0252197
o	0.00229303	0.00409883	0.00182669	0.0806354	0.331856	0.103265	0.418126	0.0417473	0.00201665	0.00227916	0.0118569
n	0.00288722	0.00131639	0.00212856	0.0247365	0.199758	0.158105	0.550777	0.0483334	0.00618961	0.000998729	0.00477074
í	0.0127939	0.0122402	0.00545538	0.0453577	0.107524	0.254661	0.338987	0.118974	0.0136691	0.00727817	0.0830596
s	0.00791098	0.00138913	0.0381195	0.0694198	0.0297925	0.386757	0.165356	0.210833	0.0621448	0.00644466	0.0218336
á	0.0329136	0.00409073	0.00360803	0.0069042	0.00837793	0.189339	0.179468	0.268569	0.196031	0.0475896	0.0631091
m	0.0218498	0.0032243	0.00876562	0.00698682	0.0025455	0.141147	0.0351968	0.179645	0.417306	0.170097	0.0132359
w	0.00122391	8.32077e-05	0.000804104	0.00158312	0.00242236	0.0282943	0.0247338	0.101383	0.109972	0.635912	0.0935872
á	0.000776826	3.65892e-05	0.000106273	0.000232388	0.000304599	0.00241581	0.0107234	0.0106158	0.00569335	0.950284	0.0188106
n	0.0471923	0.00226249	0.0015336	0.00270629	0.00750968	0.0661679	0.0989451	0.22753	0.217864	0.265284	0.0630042
a	0.0264422	0.00510628	0.0250042	0.0340622	0.0151741	0.067142	0.0614242	0.143742	0.150197	0.388693	0.0830125
o	0.00394893	0.00725866	0.00552718	0.011356	0.00693365	0.076986	0.053397	0.291356	0.434494	0.0524588	0.0562839
y	0.00161756	0.00471905	0.00472901	0.0118397	0.0307598	0.0404842	0.0242239	0.345916	0.218621	0.0735535	0.243536
ú	0.00100363	0.00104893	0.00123181	0.00420776	0.00553909	0.0191487	0.00287949	0.165077	0.590532	0.123395	0.0859365
r	0.00155058	0.000280702	0.00103285	0.00541383	0.0117022	0.0711755	0.0151036	0.367927	0.250099	0.00738856	0.268327
u	0.00205609	0.000581074	0.000366377	0.00507761	0.0131438	0.0767703	0.0971848	0.22608	0.389139	0.0439915	0.145609
w	0.000968752	0.000318441	0.00268937	0.00346721	0.00228475	0.0243182	0.00392837	0.173051	0.255848	0.0209596	0.512167
ó	0.00773503	0.00130889	0.00703995	0.00585557	0.00217849	0.00565932	0.00638569	0.123425	0.414559	0.044528	0.381325
</S>	0.000950062	0.00121643	0.000711874	0.0006028	0.000970976	0.0035511	0.00544461	0.0780776	0.101971	0.0281111	0.778393
