 	cette	manière	de	goûter	la	nourriture	c'	est	de	l'	avidité	</S>
e	0.295182	0.168048	0.240436	0.0122959	0.0797831	0.0352714	0.0145398	0.0326271	0.0415333	0.0486111	0.00336773	0.0283047
m	0.000169926	0.00195855	0.00124059	0.92774	0.00607254	0.00250776	0.00467417	0.00867871	0.0387104	0.00455953	0.0032024	0.000485519
a	7.08057e-05	0.000257967	5.22748e-05	0.997142	0.00140391	0.000397087	0.000565488	5.12217e-05	3.29365e-05	9.91738e-06	8.47509e-06	7.61622e-06
m	0.00307664	0.00801859	0.0199685	0.772363	0.0152714	0.0231798	0.079472	0.0263448	0.0211667	0.00278673	0.00551332	0.0228384
í	0.00347315	0.0194823	0.0248857	0.2656	0.0963571	0.119245	0.163361	0.0765529	0.107543	0.0231287	0.0016313	0.0987393
l	0.18933	0.0212922	0.0734285	0.0273001	0.111402	0.0951749	0.0915521	0.0993826	0.122701	0.101865	0.013268	0.053304
í	0.00991386	0.0109536	0.0133295	0.0117321	0.0220924	0.0268422	0.0792405	0.075793	0.0870725	0.0325746	0.0284549	0.602001
y	0.316434	0.0869998	0.329057	0.0145701	0.0882129	0.0355105	0.0216847	0.0215137	0.0197618	0.0384825	0.0024373	0.025335
a	0.145431	0.0495466	0.186572	0.041843	0.0957045	0.0186649	0.0452125	0.0355023	0.0470814	0.0439938	0.102079	0.188369
b	0.111431	0.0755174	0.209899	0.197554	0.0921898	0.0358067	0.0606677	0.0213942	0.0240456	0.0325195	0.0210707	0.117905
e	0.16944	0.0137994	0.0875677	0.141144	0.0677305	0.111612	0.264875	0.0346899	0.0285893	0.0160979	0.0464077	0.0180469
a	0.00429508	0.000851311	0.0585118	0.0864787	0.286266	0.170623	0.216952	0.0636685	0.0295816	0.0102198	0.0147443	0.0578077
y	0.000644737	0.00110634	0.0320974	0.00118638	0.148675	0.138477	0.198977	0.198395	0.13484	0.126887	0.00331885	0.0153948
é	0.265552	0.0811845	0.11497	0.00581782	0.121436	0.0290563	0.0770837	0.0843823	0.052371	0.0826079	0.0593997	0.02614
é	0.14063	0.036862	0.0855638	0.00559183	0.157111	0.0614479	0.05653	0.0949832	0.0840102	0.204774	0.0371736	0.0353223
d	0.00388143	0.00668699	0.0126433	0.0112327	0.0114019	0.00645066	0.0802465	0.236089	0.306729	0.169687	0.0952718	0.05968
í	0.001762	0.0123777	0.00340559	0.020667	0.00757861	0.00303468	0.0899569	0.161363	0.322058	0.155563	0.0680448	0.154188
o	0.00377207	0.00476687	0.00673671	0.00221186	0.0188754	0.0194649	0.0608371	0.201942	0.250164	0.166374	0.058172	0.206683
t	0.00252848	0.00311938	0.00183587	0.00488113	0.00486144	0.00233987	0.00971738	0.0453885	0.151871	0.154255	0.480662	0.13854
é	2.66781e-05	0.000207808	0.000441981	0.000445865	0.000747473	0.000396286	0.00648928	0.022245	0.0445063	0.0121711	0.862894	0.0494281
m	3.4589e-05	9.58837e-05	0.000678386	0.000100137	0.00343306	0.00196958	0.00710737	0.0539648	0.0919647	0.034886	0.603358	0.202407
a	0.00431179	0.00230495	0.00188851	0.000627792	0.0211828	0.00519492	0.0156602	0.0817719	0.199369	0.220693	0.28553	0.161466
</S>	0.0030405	0.00133845	0.00577795	0.000322577	0.0108589	0.0126402	0.0120857	0.0395294	0.0949585	0.178549	0.0805142	0.560384
