 	il	y	a	des	grenouilles	dans	le	marécage	</S>
a	0.217324	0.379472	0.180794	0.189222	0.00715376	0.0143761	0.0110389	0.000400725	0.000218698
m	0.0379918	0.317726	0.143725	0.143757	0.294609	0.0297402	0.020364	0.0108378	0.00124986
b	0.0334158	0.0891829	0.207863	0.163872	0.414013	0.0544753	0.00899557	0.00125483	0.0269276
a	0.0187197	0.0249523	0.0567342	0.123805	0.689429	0.0560603	0.0087832	0.000420015	0.0210966
m	0.0630325	0.0844917	0.0926021	0.15686	0.494775	0.0559687	0.00819636	0.00285842	0.0412155
b	0.212024	0.0657469	0.162834	0.344943	0.104541	0.0832019	0.0114913	0.000270246	0.0149479
a	0.091748	0.0389954	0.167176	0.271697	0.28115	0.125272	0.0126013	0.000327323	0.0110337
á	0.139216	0.0893554	0.227881	0.186524	0.111512	0.1888	0.0252467	0.00127898	0.0301857
d	0.0140089	0.0175988	0.110041	0.0672189	0.0137962	0.495155	0.238571	0.0191301	0.0244806
i	0.00142074	0.00230427	0.0430992	0.0266152	0.0219688	0.476204	0.142149	0.0181003	0.268139
s	0.00131196	0.00453451	0.0463889	0.0617521	0.0302946	0.507363	0.259365	0.0521752	0.0368147
á	0.000683445	0.00202213	0.0150443	0.0158836	0.00525167	0.231339	0.21106	0.167033	0.351683
d	0.0022313	0.00237345	0.023058	0.0227425	0.0016871	0.0644229	0.179584	0.581312	0.122588
z	0.000656877	0.00058369	0.00280041	0.00236489	0.00136089	0.0272071	0.0243467	0.876971	0.0637081
ω	0.000785199	0.00031356	0.00390045	0.00342641	0.00138859	0.0107243	0.0133164	0.935522	0.0306235
ω	0.00029771	0.00247558	0.00656152	0.00899905	0.0181055	0.0773156	0.0554065	0.682554	0.148285
</S>	0.00132548	0.00336458	0.010924	0.0141633	0.00196718	0.105634	0.322197	0.111641	0.428783
