 	elle	aime	beaucoup	les	bijoux	</S>
w	0.948711	0.028929	0.00590494	0.0155717	0.000680528	0.000203103
a	0.840717	0.010871	0.027015	0.117791	0.00343431	0.000172122
a	0.23904	0.494052	0.144072	0.0466474	0.00845293	0.0677352
p	0.097957	0.440193	0.233828	0.0368855	0.0183784	0.172758
é	0.0335457	0.738608	0.0805362	0.0174385	0.0342797	0.0955915
n	0.0286557	0.590055	0.145749	0.0955084	0.0638715	0.0761603
d	0.191087	0.41977	0.224225	0.0674112	0.0349649	0.0625417
í	0.21749	0.30079	0.283521	0.0684392	0.0155528	0.114207
p	0.159092	0.100132	0.231244	0.398255	0.0971536	0.014123
ó	0.0252456	0.246416	0.0456091	0.0341958	0.629531	0.0190021
s	0.0091539	0.411642	0.149292	0.0537802	0.347151	0.0289799
á	0.00295826	0.340776	0.183458	0.075771	0.361296	0.0357407
i	0.0202356	0.022368	0.0993166	0.36579	0.442893	0.0493967
b	0.00477444	0.0507551	0.222498	0.0977784	0.549194	0.0750004
á	0.0117402	0.0230834	0.296332	0.443141	0.208423	0.01728
n	0.0139143	0.0118609	0.136843	0.486264	0.256742	0.0943753
g	0.00741109	0.0116852	0.241629	0.37186	0.211212	0.156203
a	0.0095513	0.00740403	0.412233	0.242736	0.211306	0.116769
b	0.0070521	0.00843854	0.160885	0.274816	0.0229139	0.525894
á	0.0608582	0.0340978	0.276685	0.466409	0.0357889	0.126161
t	0.0194202	0.013219	0.125836	0.341878	0.129569	0.370078
á	0.00696765	0.0300553	0.0358994	0.0955394	0.746225	0.0853131
l	0.0113193	0.0333092	0.102015	0.248634	0.213124	0.391598
e	0.00154557	0.0256007	0.0305549	0.0302841	0.421541	0.490474
o	0.00203214	0.0338808	0.0816131	0.105169	0.056044	0.721261
y	0.00158527	0.0290768	0.175815	0.0772975	0.00444893	0.711777
í	0.00255349	0.103109	0.382434	0.170993	0.0110229	0.329887
í	0.00192125	0.00688725	0.11396	0.215006	0.0190119	0.643213
</S>	0.00300095	0.0212638	0.154373	0.16277	0.00783884	0.650753
