 	le	guérisseur	a	préparé	un	repas	pour	le	délivrer	d'	un	démon	</S>
n	0.17104	0.716106	0.0763344	0.00337567	0.0143261	0.0113996	0.00427758	0.00248794	0.000133269	0.000249136	0.000199626	4.34921e-06	6.63967e-05
g	0.0638888	0.929885	0.00558564	0.000132209	0.000384474	1.06266e-05	5.69328e-05	3.93139e-05	7.99699e-07	4.06882e-06	9.19936e-06	1.21546e-06	1.90102e-06
a	0.00730158	0.991045	0.00140028	0.000159259	4.53477e-05	1.51051e-05	1.63291e-05	1.19463e-05	9.10305e-07	1.02131e-06	9.68428e-07	2.41984e-06	1.75208e-07
n	0.022365	0.966869	0.00842481	0.000947714	0.000531795	0.000111725	6.7325e-05	7.05088e-05	3.69299e-05	2.9563e-05	2.69146e-05	0.000228578	0.000290064
g	0.0861246	0.753817	0.107615	0.0101028	0.00618698	0.00196615	0.0120947	0.00494971	0.00198808	0.00258305	0.00118918	0.00109136	0.0102907
a	0.0515583	0.870859	0.0689091	0.00385741	0.00179358	0.0012875	0.00058238	0.00020322	0.00010969	0.000100918	0.00011402	0.000205132	0.000419298
á	0.0432746	0.0129456	0.847757	0.0195394	0.0169323	0.00319246	0.0213128	0.0178752	0.00124105	0.00487652	0.00435374	0.000581541	0.00611737
k	0.0347308	0.0095854	0.21483	0.536493	0.0613407	0.00480781	0.025195	0.041022	0.0270591	0.0120491	0.00931454	0.00594884	0.0176234
y	0.00794603	0.00486115	0.0466432	0.598567	0.158294	0.00992244	0.0264846	0.0607334	0.0353194	0.0281257	0.00745685	0.00649081	0.00915558
e	0.171948	0.037083	0.0444633	0.369434	0.115448	0.0130562	0.034506	0.055024	0.119765	0.0274371	0.00437568	0.00141032	0.00604916
w	0.0131637	0.0125032	0.0499592	0.195652	0.130359	0.170805	0.0574695	0.106189	0.180065	0.0476313	0.0116063	0.0100018	0.0145957
a	0.0322814	0.0290149	0.041222	0.0196997	0.139929	0.17046	0.105264	0.0793848	0.248101	0.095503	0.0166204	0.000301214	0.0222184
e	0.00836447	0.00384674	0.0247028	0.0315249	0.0592166	0.455225	0.198494	0.102158	0.066933	0.0243264	0.0120656	0.00621477	0.00692798
l	0.00279199	0.000510097	0.00383653	0.0982581	0.212683	0.061105	0.126541	0.153344	0.236225	0.0504164	0.0136506	0.0313969	0.00924174
á	0.00299733	0.000180558	0.00532783	0.1206	0.294942	0.0258321	0.0676213	0.133634	0.118756	0.104579	0.0447684	0.0530487	0.027714
á	0.00332015	0.000205206	0.00373024	0.034745	0.0904001	0.0967353	0.185644	0.167312	0.145636	0.108978	0.04016	0.0847602	0.0383736
m	0.00310676	0.00021449	0.00152272	0.015363	0.0355352	0.0185328	0.118526	0.194589	0.10124	0.182106	0.173068	0.105429	0.0507674
í	0.00706592	0.000103151	0.00228035	0.0133704	0.0424324	0.0111058	0.0558195	0.0409329	0.0392183	0.0856465	0.147061	0.33409	0.220873
</S>	0.00247705	0.000267135	0.00194999	0.00434083	0.00986056	0.00366532	0.00906077	0.00934115	0.00557142	0.0117046	0.0291032	0.901897	0.0107614
