 	il	me	parle	de	manière	détendue	</S>
w	0.886123	0.103036	0.00227707	0.00256528	0.00386062	0.00149113	0.000647103
a	0.75871	0.228433	0.00180924	0.00616623	0.00296969	0.0016833	0.000228542
l	0.374558	0.539955	0.0377896	0.0136268	0.0102001	0.00658907	0.0172815
á	0.0952748	0.276042	0.099858	0.0782892	0.0390669	0.0183507	0.393118
a	0.113131	0.5044	0.12254	0.0650382	0.0724778	0.0305559	0.0918573
t	0.0158107	0.0972933	0.858126	0.00968404	0.000865745	0.0028233	0.0153965
i	0.0398584	0.0560088	0.852799	0.0097847	0.00109959	0.000953689	0.0394956
á	0.0370034	0.0396231	0.825481	0.0445667	0.00360802	0.00163652	0.0480814
l	0.132638	0.352422	0.253624	0.154702	0.0778095	0.0165046	0.0122994
a	0.0321857	0.0543217	0.348068	0.215945	0.12867	0.0360689	0.184741
n	0.0462615	0.254469	0.139322	0.0598613	0.0871557	0.287879	0.125051
g	0.00410011	0.212984	0.0102819	0.0231062	0.237297	0.495746	0.0164851
á	0.000883989	0.249996	0.00886532	0.015199	0.14182	0.569096	0.0141395
w	0.00816469	0.0108078	0.0767868	0.361009	0.32585	0.0804844	0.136898
a	0.0689984	0.0570821	0.325619	0.13748	0.162131	0.0831031	0.165587
n	0.00421974	0.00879501	0.0859226	0.188374	0.145798	0.328159	0.238732
g	0.00751606	0.029108	0.00422121	0.0380899	0.327219	0.508015	0.0858306
a	7.41298e-05	0.0194394	0.000510359	0.00536059	0.105585	0.85525	0.0137807
l	0.00082202	0.00589564	0.00769706	0.0556526	0.219583	0.286177	0.424173
a	0.004135	0.00686808	0.0319022	0.111177	0.189181	0.417854	0.238883
</S>	0.00302098	0.00305685	0.0167959	0.107729	0.113934	0.163746	0.591717
