 	ce	garçon	trompe	ma	soeur	</S>
m	0.777028	0.216289	0.00171508	0.00210808	0.00269215	0.000167966
w	0.0489482	0.942822	0.00195981	0.00449719	5.0702e-05	0.00172194
á	0.00776659	0.991896	0.000211323	4.58088e-05	6.55972e-05	1.48747e-05
n	0.194933	0.780562	0.000861492	0.00121578	0.00139388	0.0210339
a	0.0870947	0.843431	0.0111758	0.00707478	0.0026061	0.0486175
i	0.914014	0.0225931	0.018415	0.0357584	0.00252924	0.00668989
b	0.135207	0.331516	0.422526	0.018784	0.0138601	0.0781073
a	0.00608626	0.253229	0.409578	0.00505793	0.292372	0.033677
a	0.0985059	0.0301893	0.593813	0.0800823	0.0362696	0.16114
w	0.0565216	0.00458278	0.58658	0.29264	0.00720915	0.0524661
ó	0.0460465	0.0067645	0.634967	0.106617	0.0105125	0.195092
l	0.0461013	0.00841248	0.1915	0.263585	0.010028	0.480373
á	0.00692663	0.00129637	0.179557	0.0733532	0.0107778	0.728089
a	0.0560129	0.00498129	0.158719	0.562872	0.0561858	0.161229
w	0.00934073	0.00353489	0.771738	0.128728	0.0380717	0.0485866
o	0.00189376	0.00328915	0.892729	0.0161594	0.0676341	0.0182946
á	0.00584257	0.000265778	0.713381	0.036218	0.0739835	0.170309
n	0.00826864	0.000336597	0.0446836	0.293426	0.181243	0.472042
g	0.00852472	0.00253307	0.0761693	0.655541	0.0912038	0.166028
á	0.0232302	0.00443352	0.0302389	0.797193	0.077687	0.0672177
b	0.0110661	0.00133211	0.0469999	0.326833	0.298803	0.314966
o	0.000842773	0.000315651	0.0064206	0.0409854	0.933888	0.017548
l	0.00299815	0.000269568	0.177744	0.0433176	0.489722	0.285949
a	0.00970554	0.000954878	0.0524716	0.0961058	0.144313	0.696449
</S>	0.0137791	0.000277892	0.0284437	0.0765766	0.0602679	0.820655
