 	le	chef	de	notre	village	a	une	tête	chauve	</S>
o	0.786104	0.175445	0.0217264	0.00676395	0.00397054	0.0031467	0.00104985	0.00133909	0.000410619	4.34958e-05
k	0.0213942	0.965359	0.00261406	0.000408487	0.00802749	0.000444264	0.00046605	0.000212263	0.000727683	0.000346727
o	0.00162326	0.992005	0.000757853	0.000508023	0.00173189	0.000370436	0.000949356	0.000415847	0.00122511	0.000413275
n	0.00325592	0.976778	0.00266123	0.00158309	0.0055924	0.000673256	0.00277443	0.00191794	0.0032937	0.00147042
d	0.0336716	0.948273	0.00247982	0.00097679	0.00413135	0.000736052	0.00186364	0.000521245	0.00241037	0.00493624
z	0.184423	0.783981	0.00703569	0.00249999	0.00291121	0.00077134	0.000529439	9.71407e-05	0.00181357	0.0159382
i	0.0701865	0.859326	0.00309308	0.00100721	0.0145014	0.00201298	0.00108436	0.000343962	0.0100603	0.0383841
y	0.318451	0.0453679	0.506663	0.065298	0.0154964	0.0197155	0.00597419	0.00554497	0.00116288	0.0163258
a	0.627259	0.00485345	0.0821633	0.13082	0.112484	0.0102347	0.00836972	0.00167308	0.00385624	0.0182863
p	0.212317	0.00112562	0.0278471	0.23256	0.515467	0.00504598	0.00272494	0.000321219	0.000751338	0.0018409
o	0.00703086	0.00154314	0.00423453	0.00716985	0.965173	0.00685401	0.00210779	0.00125734	0.00348587	0.00114407
o	0.00998797	0.000841236	0.00470941	0.00617994	0.968983	0.00523032	0.00313882	0.00033246	0.00019675	0.000399797
y	0.0185453	0.000128277	0.0712066	0.483572	0.028928	0.31817	0.0566563	0.0143529	0.00157684	0.00686421
á	0.150871	0.00086633	0.0463848	0.387908	0.120966	0.148272	0.0875262	0.0322598	0.0107218	0.0142246
b	0.0228597	0.00024455	0.0131255	0.66332	0.101187	0.0993516	0.0621732	0.021341	0.00929424	0.00710355
í	0.013857	0.00321419	0.0285475	0.676521	0.00371256	0.0681397	0.0349551	0.0781336	0.0876522	0.00526745
s	0.0178677	0.00072977	0.0423261	0.588866	0.0159552	0.0520965	0.0242239	0.062118	0.179651	0.0161655
í	0.00719695	0.0113248	0.019473	0.389521	0.00249882	0.13859	0.0766993	0.015457	0.0648802	0.274359
a	0.000676963	0.000180188	0.00985772	0.0261672	0.00424521	0.358398	0.307522	0.200534	0.0270374	0.0653805
d	0.00302071	0.0023989	0.0243372	0.0139916	0.00202393	0.0834567	0.545186	0.199316	0.0522527	0.074017
í	0.00353865	0.000383748	0.00817519	0.0290652	0.000967619	0.0542663	0.427408	0.0365329	0.0417135	0.397949
l	0.00642569	9.27158e-05	0.00521114	0.0514476	0.00453481	0.0861795	0.333982	0.187759	0.0877832	0.236585
i	0.00163443	0.000298711	0.0151458	0.0565607	0.00248589	0.0277614	0.177209	0.0570233	0.109718	0.552163
b	0.00106048	0.000707735	0.0020244	0.00603443	0.00245297	0.00774617	0.0560937	0.0599222	0.742837	0.121121
ε	0.00157214	0.000647901	0.00200284	0.0103877	6.9843e-05	0.00530354	0.0356791	0.0818461	0.856519	0.0059724
n	0.000340873	0.000388801	0.000746223	0.00307558	0.000517415	0.00814008	0.0374398	0.114741	0.738101	0.0965098
g	0.00354442	0.00101854	0.00273129	0.0153889	0.0014208	0.0291535	0.186881	0.113878	0.570048	0.0759348
ε	0.00134103	0.00046777	0.00265605	0.0206298	0.00259982	0.0106727	0.0445607	0.0628155	0.805646	0.0486109
</S>	0.00376403	0.00058991	0.00893874	0.0178795	0.00112549	0.0205869	0.0762331	0.106627	0.0744897	0.689766
