 	je	ne	comprends	pas	comment	il	a	trompé	sa	belle	famille	</S>
e	0.122649	0.0704847	0.0454753	0.3297	0.205798	0.156718	0.0370787	0.00851421	0.0146195	0.00718439	0.00150991	0.000267488
k	0.0137936	0.145366	0.593411	0.0877291	0.0254351	0.0223081	0.0199089	0.0510136	0.0121618	0.00731184	0.017866	0.00369562
u	0.00102354	0.0250406	0.617772	0.205976	0.0404574	0.0145147	0.00991579	0.0323487	0.0232337	0.010581	0.0160745	0.00306198
r	0.00011209	0.0352411	0.602809	0.239129	0.0336649	0.00868791	0.00418072	0.0263439	0.0243457	0.0125754	0.00947069	0.00344014
ú	0.00367406	0.054324	0.261883	0.308785	0.143593	0.030634	0.0181669	0.0609151	0.0714763	0.0313993	0.00821758	0.00693173
ú	0.0219276	0.155853	0.180015	0.249306	0.20674	0.0924899	0.0390302	0.0127246	0.0147121	0.00978207	0.0024102	0.0150083
r	0.122589	0.147731	0.245794	0.0504369	0.0423372	0.0737565	0.0720371	0.0898729	0.0300544	0.0150349	0.0088505	0.101506
ú	0.362269	0.137313	0.0684833	0.025402	0.117751	0.0420212	0.067215	0.0207701	0.0290622	0.0252061	0.0112213	0.0932853
y	0.00838829	0.0785266	0.16544	0.23649	0.173894	0.0770327	0.0793821	0.0332638	0.0394134	0.0386678	0.015762	0.053739
é	0.0174082	0.131661	0.074596	0.213401	0.353183	0.10329	0.0254752	0.0139205	0.0165492	0.0199991	0.00661372	0.0239032
é	0.0732235	0.0414946	0.0528866	0.183837	0.281246	0.188813	0.0891552	0.0343159	0.013305	0.0158112	0.00889844	0.0170132
k	0.0195919	0.0933315	0.059737	0.035047	0.029639	0.0535658	0.336084	0.301181	0.0297498	0.0140921	0.00469589	0.0232857
u	0.000749889	0.106113	0.196757	0.0384045	0.0142554	0.0187909	0.164697	0.379436	0.0489484	0.0118792	0.00473998	0.015229
r	0.003271	0.0677509	0.255465	0.109952	0.0484719	0.030611	0.0660766	0.226576	0.0723855	0.0235621	0.0150152	0.0808623
ú	0.00436631	0.0207084	0.108832	0.158329	0.167351	0.051695	0.0482424	0.278956	0.0907713	0.0382774	0.0096443	0.022827
ú	0.00525742	0.00967593	0.00642053	0.0594411	0.201932	0.27065	0.232292	0.131885	0.0538289	0.0182752	0.0028828	0.00745787
w	0.00231207	0.0141048	0.0127378	0.0635619	0.0512828	0.129295	0.128009	0.437551	0.105804	0.0182396	0.0143764	0.0227248
a	0.00298838	0.00763914	0.0123922	0.0463789	0.0802945	0.120285	0.0748951	0.277179	0.18341	0.0570471	0.0334108	0.10408
a	0.000498342	0.00421998	0.00955379	0.0913474	0.120519	0.095274	0.0918914	0.290728	0.149152	0.0632172	0.0157611	0.0678376
b	0.0022064	0.0142163	0.00750583	0.0157022	0.0154958	0.0426816	0.137377	0.127507	0.356602	0.16318	0.0251745	0.0923508
v	0.0224423	0.0320743	0.0163204	0.0253986	0.0155869	0.0346042	0.119317	0.0706061	0.26779	0.203524	0.08491	0.107426
ú	0.00457015	0.00741112	0.0049577	0.0154102	0.018855	0.0246834	0.0698157	0.0517659	0.283846	0.256504	0.160312	0.101869
ε	0.000358665	0.00267877	0.00676314	0.0213578	0.012112	0.00961773	0.0184801	0.159608	0.472597	0.236274	0.0461681	0.0139847
n	0.00065951	0.00731167	0.00513386	0.0066985	0.00420916	0.00803553	0.0375023	0.0424938	0.299545	0.418001	0.0980165	0.0723937
g	0.00993972	0.00957736	0.00712816	0.0043809	0.00968193	0.00471319	0.0295344	0.0438133	0.279605	0.31837	0.126975	0.156281
á	0.00522771	0.000830237	0.00114694	0.00242661	0.0188854	0.00586737	0.0271429	0.0365774	0.325789	0.380418	0.1258	0.069888
i	0.000302653	0.00147682	0.00148292	0.00651847	0.0072096	0.00827137	0.0109506	0.0102644	0.174317	0.435259	0.233006	0.110941
k	0.00149953	0.0147137	0.0239193	0.00651627	0.00199964	0.00292224	0.0124537	0.0461292	0.136523	0.246078	0.317503	0.189743
ώ	3.65553e-05	0.00325537	0.0256239	0.0166506	0.00156568	0.00137269	0.00655343	0.0596645	0.230622	0.162955	0.397026	0.0946738
n	3.25888e-05	0.000473816	0.00422137	0.00605718	0.00186817	0.00134787	0.00300405	0.0275316	0.232597	0.171604	0.428195	0.123067
d	0.000931322	0.00160287	0.00540254	0.0124793	0.00669097	0.00484099	0.00620976	0.029339	0.25885	0.172134	0.338438	0.163082
í	0.0010925	0.00140514	0.00635751	0.0167389	0.0223561	0.011213	0.00842302	0.0514001	0.232647	0.180373	0.354348	0.113645
o	0.000364879	0.00153696	0.00121156	0.00997701	0.0151023	0.0066333	0.00614567	0.00494869	0.121334	0.368834	0.313602	0.150309
b	9.77302e-05	0.00421304	0.0165606	0.00909917	0.00220371	0.00186648	0.00568717	0.0134033	0.0632785	0.108886	0.452942	0.321762
ó	5.83245e-05	0.0035666	0.0331321	0.022153	0.00457025	0.0047864	0.00920791	0.0420861	0.164356	0.202783	0.326228	0.187073
n	1.58276e-05	0.00175302	0.0139482	0.00660529	0.0021685	0.0010543	0.00670765	0.0982317	0.164932	0.149498	0.149901	0.405184
d	0.000153289	0.00216729	0.0244696	0.0193738	0.011826	0.00291787	0.00788631	0.0369485	0.206709	0.146727	0.179263	0.361559
a	4.82522e-05	0.00108041	0.00813248	0.0109956	0.00470129	0.00184789	0.00206666	0.0336366	0.161617	0.0955705	0.136099	0.544204
</S>	0.00111178	0.000720579	0.00117093	0.00600621	0.0132607	0.00777552	0.00631848	0.0061121	0.0663339	0.102536	0.175922	0.612732
