 	quand	ils	ont	vu	un	voyageur	qui	s'	avançait	enveloppé	dans	un	manteau	</S>
b	0.498231	0.453886	0.0394065	0.00121305	0.00226001	0.000554512	0.00198185	0.00102861	0.00105355	7.89497e-05	0.000169695	0.000112009	1.8916e-05	5.88045e-06
á	0.0894044	0.87033	0.0320762	0.000710134	0.00188266	0.000857521	0.00129491	0.00226376	0.000294048	8.33794e-05	0.000387965	0.000368765	2.3085e-05	2.27273e-05
a	0.012861	0.935637	0.0419602	0.00207085	0.000961419	0.00104103	0.000579815	0.00237732	0.00105902	0.000263927	0.000462789	0.000261958	8.84834e-05	0.000374948
l	0.0805013	0.227513	0.561828	0.061525	0.0101203	0.00332925	0.00601251	0.00634284	0.000779102	0.00872414	0.00502546	0.00412806	0.000368629	0.0238025
ó	0.0776449	0.0207759	0.306821	0.153324	0.0426772	0.00837322	0.0351395	0.0451151	0.00735663	0.0246706	0.0567366	0.0298405	0.00420662	0.187318
t	0.210773	0.0484794	0.304416	0.145231	0.103735	0.00855218	0.0328935	0.0347588	0.00678524	0.00787277	0.0395993	0.0140995	0.00881437	0.03399
á	0.0645679	0.135114	0.222835	0.310153	0.0865189	0.0363124	0.0167511	0.00688323	0.0488567	0.0284687	0.00515069	0.00418354	0.0242475	0.00995731
a	0.0797111	0.249181	0.234621	0.287327	0.0116487	0.00515208	0.00732352	0.0122994	0.00805388	0.0154947	0.0116352	0.00947102	0.0107433	0.057339
o	0.0446638	0.0199998	0.3024	0.349991	0.201331	0.0078048	0.0189309	0.0170976	0.0021653	0.011919	0.00917729	0.00641052	0.000733537	0.00737509
b	0.00080409	9.28813e-05	0.00430284	0.137274	0.360829	0.438704	0.00812453	0.00426773	0.0298453	0.00294995	0.00223213	0.00242067	0.00627271	0.00188076
h	0.000808292	0.000374245	0.00634911	0.0946686	0.269778	0.47557	0.0209207	0.00817226	0.0961926	0.00957522	0.00334728	0.00269697	0.00409242	0.00745428
é	0.00995632	0.00514227	0.00959516	0.077215	0.302947	0.373293	0.0240628	0.0119583	0.128487	0.00671332	0.0172365	0.00932285	0.00815881	0.0159119
m	0.00560288	0.00341461	0.0265533	0.119273	0.322175	0.281728	0.0679825	0.0215776	0.0265832	0.0122889	0.00975631	0.0107837	0.0140688	0.0782119
b	0.0479974	0.0120838	0.013619	0.00936609	0.214403	0.34714	0.223296	0.0803104	0.0170586	0.0108827	0.00512989	0.00212435	0.000181159	0.0164074
i	0.0753821	0.0127562	0.0148125	0.00985561	0.0713173	0.561778	0.0624474	0.0234597	0.0665525	0.0201957	0.00524858	0.00283595	0.00070913	0.0726492
l	0.012693	0.00302456	0.0311277	0.0554423	0.156434	0.0173603	0.438056	0.146717	0.0420994	0.054186	0.0149316	0.00896718	0.00148271	0.0174778
a	0.00847483	0.00120007	0.00873372	0.04826	0.0747629	0.0303803	0.165891	0.108484	0.114277	0.0343542	0.0625297	0.0258199	0.0164695	0.300363
o	0.0124061	0.00237335	0.010325	0.0124156	0.0725216	0.0164438	0.391908	0.28278	0.0903926	0.0327298	0.0267245	0.013122	0.00871103	0.0271464
k	0.000717792	0.000233813	0.000451602	0.00154014	0.0224474	0.116123	0.0651773	0.071055	0.687291	0.0144952	0.003416	0.0023357	0.0117209	0.0029954
á	5.69781e-05	1.72007e-05	6.50669e-05	0.000448863	0.00648304	0.0166423	0.0132089	0.0127026	0.9166	0.00694962	0.00294606	0.00269987	0.0130324	0.00814713
n	0.0013462	0.000634768	0.00103006	0.0111752	0.0187006	0.0361193	0.0355409	0.0412025	0.730751	0.0431446	0.00702365	0.00499497	0.0351484	0.0331873
d	0.00134596	0.000530011	0.000996183	0.00535086	0.00923571	0.00134027	0.0513704	0.0454493	0.682273	0.046869	0.0275908	0.00849662	0.0150149	0.104137
á	0.00735879	0.00215876	0.00147411	0.00425868	0.0163891	0.0061022	0.039699	0.0225504	0.629737	0.0133656	0.020465	0.00346426	0.0172355	0.215741
m	0.00648368	0.0010577	0.00364952	0.00263341	0.00854918	0.00160137	0.15036	0.253874	0.114769	0.31192	0.0886473	0.0254889	0.00526288	0.0257023
á	0.00389499	0.00616635	0.00396968	0.000606074	0.00783637	0.00678926	0.0505774	0.155776	0.0432373	0.400761	0.133969	0.0690781	0.00576976	0.111569
p	0.00895061	0.00227864	0.0109075	0.00428417	0.0154364	0.00286464	0.033611	0.139796	0.0416485	0.324255	0.255038	0.0941356	0.0378076	0.0289866
y	0.000544398	0.00124491	0.00373717	0.00278896	0.00613682	0.00204367	0.0217011	0.0497371	0.0962984	0.511992	0.135008	0.0722253	0.0770474	0.0194947
é	0.000254223	8.22951e-05	0.000137524	0.000499292	0.000957213	0.000939578	0.00579444	0.0109366	0.130952	0.320462	0.148886	0.0661414	0.275052	0.0389058
b	0.000297468	0.00010239	0.000367836	0.00120562	0.00122165	0.00119492	0.00811122	0.023562	0.0644552	0.267636	0.113539	0.0703188	0.178061	0.269927
h	0.000384693	6.53947e-05	0.00012202	0.000632249	0.00117294	0.000176698	0.0125618	0.0154339	0.118468	0.365194	0.173832	0.0804072	0.0690404	0.162508
i	0.00878678	0.000383456	0.000855751	0.00123538	0.00427936	0.00629515	0.0201921	0.0286608	0.157101	0.227399	0.0687657	0.0285398	0.0552219	0.392283
l	0.00485158	0.000434928	0.00160011	0.00168439	0.00223989	0.000296956	0.0134902	0.016256	0.013838	0.270618	0.305286	0.191059	0.05155	0.126795
á	0.00569219	0.000392237	0.00169166	0.00226154	0.00322713	0.000502557	0.015862	0.0221733	0.00879892	0.115402	0.380824	0.129198	0.0613422	0.252633
a	0.00576558	0.00209319	0.0045608	0.00144835	0.00655871	0.000404025	0.0122127	0.0353422	0.00461819	0.0499434	0.34828	0.223369	0.148646	0.156758
b	0.000505832	0.000195831	0.000812359	0.00125296	0.0055585	0.00323445	0.0033848	0.00668179	0.00910017	0.0275959	0.197773	0.220816	0.445564	0.077525
h	8.58482e-05	0.000186431	0.000930613	0.00212964	0.00473118	0.00628214	0.00610232	0.0191259	0.0106004	0.0298778	0.184676	0.271848	0.359624	0.1038
ε	0.00020504	5.98958e-05	0.000369838	0.00151431	0.0103532	0.0155306	0.0105365	0.031849	0.0344499	0.0712851	0.161679	0.192552	0.292057	0.177559
n	0.000422471	0.000483027	0.000166276	0.000135127	0.00214444	0.00105387	0.0111259	0.0114136	0.036497	0.0404636	0.169546	0.127877	0.348371	0.250301
ε	0.00639382	0.00150609	0.000487344	0.000344405	0.00341027	0.000934109	0.0136054	0.0285965	0.05856	0.0299742	0.239625	0.140977	0.377466	0.0981199
ε	0.00197821	0.000100687	0.000436664	0.000116171	0.00143701	6.21328e-05	0.0134521	0.0187859	0.00149252	0.0370559	0.376403	0.209958	0.088763	0.249958
</S>	0.00165312	0.000410714	0.00100041	0.000378129	0.00313089	0.00046494	0.00830106	0.011439	0.00503768	0.0195972	0.187152	0.192668	0.281505	0.287261
